Giocatore,Index,Avversario,Campo,Top
kenan yildiz,88.8,udinese,trasf.,🔥
tasos douvikas,88.6,roma,casa,🔥
santiago castro,87.5,sassuolo,trasf.,🔥
che adams,84.5,parma,casa,🔥
jesus rodriguez,84.4,roma,casa,🔥
donyell malen,83.8,como,trasf.,🔥
rasmus hojlund,82.7,lecce,casa,🔥
keinan davis,82.6,juventus,casa,🔥
rafael leao,82.5,lazio,trasf.,🔥
gift orban,82.4,genoa,casa,🔥
armand lauriente,82.4,bologna,casa,
domenico berardi,81.7,bologna,casa,
gianluca scamacca,81.6,inter,trasf.,
semih kilicsoy,81.0,pisa,trasf.,
marcus thuram,80.9,atalanta,casa,
lorenzo colombo,79.3,verona,trasf.,
andrea pinamonti,78.9,bologna,casa,
duvan zapata,78.8,parma,casa,
giovanni simeone,78.6,parma,casa,
sebastiano esposito,78.5,pisa,trasf.,
mateo pellegrino,78.0,torino,trasf.,
federico bonazzoli,77.5,fiorentina,casa,
vitinha,76.0,verona,trasf.,
caleb ekuban,74.2,verona,trasf.,
christopher nkunku,72.8,lazio,trasf.,
kieron bowie,72.5,genoa,casa,
amin sarr,72.4,genoa,casa,
walid cheddira,72.1,bologna,casa,
matteo cancellieri,71.8,milan,casa,
nikola krstovic,70.5,inter,trasf.,
antonio sanabria,70.4,fiorentina,casa,
stefano moreo,70.3,cagliari,casa,
jonathan david,70.3,udinese,trasf.,
tijjani noslin,70.0,milan,casa,
giovane,69.8,genoa,casa,
roberto piccoli,69.7,cremonese,trasf.,
dusan vlahovic,69.4,udinese,trasf.,
jamie vardy,69.3,fiorentina,casa,
nicolo cambiaghi,69.2,sassuolo,trasf.,
lameck banda,68.7,napoli,trasf.,
rafiu durosinmi,67.8,cagliari,casa,
milan djuric,67.7,torino,trasf.,
alvaro morata,67.6,roma,casa,
benjamin dominguez,67.6,sassuolo,trasf.,
david okereke,67.3,fiorentina,casa,
romelu lukaku,67.3,lecce,casa,
angeyoan bonny,65.9,atalanta,casa,
nikola moro,65.2,sassuolo,trasf.,
pedro,65.2,milan,casa,
niclas fullkrug,65.2,lazio,trasf.,
luca moro,65.2,bologna,casa,
patrick cutrone,65.2,torino,trasf.,
sulemana,65.1,pisa,trasf.,
pio esposito,64.8,atalanta,casa,
adrian benedyczak,64.7,torino,trasf.,
christian kouame,64.6,cremonese,trasf.,
jeff ekhator,64.5,verona,trasf.,
vakoun bayo,64.4,juventus,casa,
henrik meister,64.3,cagliari,casa,
yael trepy,63.9,pisa,trasf.,
daniel mosquera,63.9,genoa,casa,
kamaldeen sulemana,63.6,inter,trasf.,
petar ratkov,63.5,milan,casa,
nicolas kuhn,63.3,roma,casa,
nikola stulic,63.2,napoli,trasf.,
gennaro borrelli,63.0,pisa,trasf.,
antonio caracciolo,63.0,cagliari,casa,
alieu njie,62.5,parma,casa,
mbala nzola,62.4,,trasf.,
adam buksa,62.4,juventus,casa,
andrias edmundsson,62.1,genoa,casa,
thijs dallinga,60.9,sassuolo,trasf.,
ze pedro,60.8,pisa,trasf.,
konan ndri,60.3,napoli,trasf.,
lois openda,60.2,udinese,trasf.,
leonardo pavoletti,59.4,pisa,trasf.,
robinio vaz,59.1,como,trasf.,
idrissa gueye,58.5,juventus,casa,
assane diao,57.6,roma,casa,
isaac,57.0,genoa,casa,
zakaria aboukhlal,56.7,parma,casa,
giuseppe ambrosino,56.0,lecce,casa,
ali dembele,55.5,parma,casa,
faris moumbagna,55.3,fiorentina,casa,
iker bravo,54.9,juventus,casa,
nicholas pierini,54.1,bologna,casa,
