Giocatore,Index,Avversario,Campo,Top
marcus thuram,90.6,cagliari,casa,🔥
donyell malen,84.9,atalanta,casa,🔥
kenan yildiz,81.6,bologna,casa,🔥
che adams,81.3,cremonese,trasf.,🔥
tasos douvikas,81.1,sassuolo,trasf.,🔥
giovanni simeone,80.2,cremonese,trasf.,🔥
angeyoan bonny,79.3,cagliari,casa,🔥
rasmus hojlund,79.1,lazio,casa,🔥
kieron bowie,78.8,milan,casa,🔥
lorenzo colombo,77.3,pisa,trasf.,🔥
armand lauriente,77.3,como,casa,
gift orban,76.6,milan,casa,
stefano moreo,76.2,genoa,casa,
david okereke,76.1,torino,casa,
vitinha,75.9,pisa,trasf.,
sebastiano esposito,75.9,inter,trasf.,
niclas fullkrug,75.4,verona,trasf.,
caleb ekuban,74.5,pisa,trasf.,
roberto piccoli,74.4,lecce,trasf.,
antonio sanabria,74.3,torino,casa,
rafael leao,74.3,verona,trasf.,
giacomo raspadori,73.8,roma,trasf.,
jesus rodriguez,73.6,sassuolo,trasf.,
christopher nkunku,72.5,verona,trasf.,
arkadiusz milik,72.2,bologna,casa,
gianluca scamacca,71.5,roma,trasf.,
federico bonazzoli,71.5,torino,casa,
antonio caracciolo,70.6,genoa,casa,
walid cheddira,70.5,como,casa,
jonathan david,70.2,bologna,casa,
charles de ketelaere,70.2,roma,trasf.,
milan djuric,69.3,udinese,trasf.,
andrea pinamonti,68.9,como,casa,
tijjani noslin,68.7,napoli,trasf.,
jeff ekhator,68.6,pisa,trasf.,
assane diao,68.4,sassuolo,trasf.,
nikola krstovic,67.8,roma,trasf.,
amin sarr,67.6,milan,casa,
rafiu durosinmi,67.6,genoa,casa,
domenico berardi,67.0,como,casa,
santiago castro,66.9,juventus,trasf.,
pio esposito,66.7,cagliari,casa,
manor solomon,66.6,lecce,trasf.,
gennaro borrelli,66.0,inter,trasf.,
petar ratkov,65.7,napoli,trasf.,
soule,65.6,atalanta,casa,
semih kilicsoy,65.6,inter,trasf.,
matteo cancellieri,65.6,napoli,trasf.,
nikola stulic,65.5,fiorentina,casa,
santiago gimenez,65.3,verona,trasf.,
henrik meister,64.9,genoa,casa,
giovane,64.5,milan,casa,
nicolas kuhn,64.4,sassuolo,trasf.,
sulemana,64.0,inter,trasf.,
idrissa gueye,63.9,parma,casa,
alvaro morata,63.8,sassuolo,trasf.,
nicolo cambiaghi,63.7,juventus,trasf.,
lameck banda,63.7,fiorentina,casa,
nikola moro,63.2,juventus,trasf.,
christian kouame,63.1,lecce,trasf.,
adam buksa,63.1,parma,casa,
robinio vaz,63.1,atalanta,casa,
adrian benedyczak,62.9,udinese,trasf.,
alieu njie,62.1,cremonese,trasf.,
lois openda,61.7,bologna,casa,
pedro,61.3,napoli,trasf.,
vakoun bayo,61.0,parma,casa,
patrick cutrone,60.8,udinese,trasf.,
konan ndri,60.6,fiorentina,casa,
ze pedro,60.2,inter,trasf.,
luca moro,59.8,como,casa,
andrias edmundsson,59.6,milan,casa,
mbala nzola,59.6,,trasf.,
andrea belotti,59.3,inter,trasf.,
yael trepy,59.1,inter,trasf.,
kamaldeen sulemana,58.2,roma,trasf.,
iker bravo,58.0,parma,casa,
pontus almqvist,57.8,udinese,trasf.,
daniel mosquera,57.6,milan,casa,
ali dembele,56.4,cremonese,trasf.,
isaac,56.2,milan,casa,
giuseppe ambrosino,56.1,lazio,casa,
nicholas pierini,53.9,como,casa,
