Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
nico paz,90.2,genoa,trasf.,🔥,6.0
martin baturina,86.6,genoa,trasf.,🔥,6.5
abdou harroui,84.4,lecce,casa,🔥,5.0
hakan calhanoglu,84.1,torino,trasf.,🔥,6.5
piotr zielinski,84.1,torino,trasf.,🔥,6.0
mattia zaccagni,83.8,udinese,casa,🔥,3.5
cristian volpato,83.5,fiorentina,trasf.,🔥,6.5
toma basic,83.1,udinese,casa,🔥,7.0
matteo tramoni,82.7,parma,trasf.,🔥,5.5
arthur atta,82.7,lazio,trasf.,🔥,13.0
riccardo orsolini,81.3,roma,casa,,6.0
maximo perrone,80.3,genoa,trasf.,,6.0
matteo politano,80.3,cremonese,casa,,6.0
jonathan rowe,80.0,roma,casa,,5.5
daniel maldini,79.7,udinese,casa,,9.5
lucas da cunha,79.1,genoa,trasf.,,8.5
nikola vlasic,78.8,inter,casa,,10.0
jurgen ekkelenkamp,78.4,lazio,trasf.,,7.0
cher ndour,78.3,sassuolo,casa,,5.5
adrien rabiot,77.7,juventus,casa,,7.0
nicolo barella,77.7,torino,trasf.,,5.5
tommaso baldanzi,77.5,bologna,trasf.,,8.0
lassana coulibaly,76.6,verona,trasf.,,6.0
santiago pierotti,76.6,verona,trasf.,,6.0
gianluca gaetano,75.9,atalanta,casa,,7.0
christian pulisic,75.8,juventus,casa,,5.0
albert gudmundsson,75.5,sassuolo,casa,,6.0
alieu fadera,75.5,fiorentina,trasf.,,5.5
lazar samardzic,75.5,cagliari,trasf.,,6.0
bryan cristante,75.3,bologna,trasf.,,6.5
gustav isaksen,75.2,udinese,casa,,6.5
eljif elmas,75.2,cremonese,casa,,6.0
mario pasalic,75.2,cagliari,trasf.,,5.5
adrian bernabe,75.0,pisa,casa,,5.0
weston mckennie,74.1,milan,trasf.,,5.5
jack harrison,74.0,sassuolo,casa,,5.5
jacopo fazzini,73.8,sassuolo,casa,,6.0
kephren thuram,73.6,milan,trasf.,,6.5
fisayo delebashiru,73.6,udinese,casa,,5.5
francisco conceicao,73.5,milan,trasf.,,7.0
marten de roon,72.1,cagliari,trasf.,,5.0
nicola zalewski,72.1,cagliari,trasf.,,5.5
ylber ramadani,71.1,verona,trasf.,,5.5
zambo anguissa,70.9,cremonese,casa,,4.5
alexis saelemaekers,70.4,juventus,casa,,6.5
maxence caqueret,70.4,genoa,trasf.,,7.5
kristian thorstvedt,70.3,fiorentina,trasf.,,6.0
scott mctominay,69.9,cremonese,casa,,7.5
ismael kone,69.4,fiorentina,trasf.,,5.5
nicolo zaniolo,68.9,lazio,trasf.,,6.0
ederson,68.6,cagliari,trasf.,,5.5
antoine bernede,68.3,lecce,casa,,6.5
luka modric,68.2,juventus,casa,,6.0
remo freuler,68.2,roma,casa,,5.0
jesper karlstrom,67.9,lazio,trasf.,,5.5
junior messias,67.8,como,casa,,5.5
malthe hojholt,67.7,parma,trasf.,,5.5
alberto grassi,67.6,napoli,trasf.,,5.0
