Giocatore,Index,Avversario,Campo,Top
nico paz,90.2,genoa,trasf.,🔥
martin baturina,86.6,genoa,trasf.,🔥
abdou harroui,84.4,lecce,casa,🔥
hakan calhanoglu,84.1,torino,trasf.,🔥
piotr zielinski,84.1,torino,trasf.,🔥
mattia zaccagni,83.8,udinese,casa,🔥
cristian volpato,83.5,fiorentina,trasf.,🔥
toma basic,83.1,udinese,casa,🔥
matteo tramoni,82.7,parma,trasf.,🔥
arthur atta,82.7,lazio,trasf.,🔥
riccardo orsolini,81.3,roma,casa,
maximo perrone,80.3,genoa,trasf.,
matteo politano,80.3,cremonese,casa,
jonathan rowe,80.0,roma,casa,
daniel maldini,79.7,udinese,casa,
lucas da cunha,79.1,genoa,trasf.,
nikola vlasic,78.8,inter,casa,
jurgen ekkelenkamp,78.4,lazio,trasf.,
cher ndour,78.3,sassuolo,casa,
adrien rabiot,77.7,juventus,casa,
nicolo barella,77.7,torino,trasf.,
tommaso baldanzi,77.5,bologna,trasf.,
lassana coulibaly,76.6,verona,trasf.,
santiago pierotti,76.6,verona,trasf.,
gianluca gaetano,75.9,atalanta,casa,
christian pulisic,75.8,juventus,casa,
albert gudmundsson,75.5,sassuolo,casa,
alieu fadera,75.5,fiorentina,trasf.,
lazar samardzic,75.5,cagliari,trasf.,
bryan cristante,75.3,bologna,trasf.,
gustav isaksen,75.2,udinese,casa,
eljif elmas,75.2,cremonese,casa,
mario pasalic,75.2,cagliari,trasf.,
adrian bernabe,75.0,pisa,casa,
weston mckennie,74.1,milan,trasf.,
jack harrison,74.0,sassuolo,casa,
jacopo fazzini,73.8,sassuolo,casa,
kephren thuram,73.6,milan,trasf.,
fisayo delebashiru,73.6,udinese,casa,
francisco conceicao,73.5,milan,trasf.,
marten de roon,72.1,cagliari,trasf.,
nicola zalewski,72.1,cagliari,trasf.,
ylber ramadani,71.1,verona,trasf.,
zambo anguissa,70.9,cremonese,casa,
alexis saelemaekers,70.4,juventus,casa,
maxence caqueret,70.4,genoa,trasf.,
kristian thorstvedt,70.3,fiorentina,trasf.,
scott mctominay,69.9,cremonese,casa,
ismael kone,69.4,fiorentina,trasf.,
nicolo zaniolo,68.9,lazio,trasf.,
ederson,68.6,cagliari,trasf.,
antoine bernede,68.3,lecce,casa,
luka modric,68.2,juventus,casa,
remo freuler,68.2,roma,casa,
jesper karlstrom,67.9,lazio,trasf.,
junior messias,67.8,como,casa,
malthe hojholt,67.7,parma,trasf.,
alberto grassi,67.6,napoli,trasf.,
michael folorunsho,67.5,atalanta,casa,
henrikh mkhitaryan,67.4,torino,trasf.,
omri gandelman,67.3,verona,trasf.,
gaetano oristanio,67.2,pisa,casa,
alessio zerbin,67.2,napoli,trasf.,
manuel locatelli,66.0,milan,trasf.,
