Giocatore,Index,Avversario,Campo,Top
federico dimarco,86.5,fiorentina,trasf.,🔥
leo ostigard,84.5,udinese,casa,🔥
fabiano parisi,84.0,inter,casa,🔥
evan ndicka,83.4,lecce,casa,🔥
mergim vojvoda,82.4,pisa,casa,🔥
marcoliver kempf,82.4,pisa,casa,🔥
jacobo ramon,82.4,pisa,casa,🔥
davide zappacosta,82.2,verona,casa,🔥
alex valle,81.9,pisa,casa,🔥
brooke nortoncuffy,81.3,udinese,casa,🔥
davide bartesaghi,79.8,torino,casa,
yann bisseck,79.5,fiorentina,trasf.,
strahinja pavlovic,79.3,torino,casa,
giorgio scalvini,78.9,verona,casa,
leonardo spinazzola,78.2,cagliari,trasf.,
diego carlos,77.7,pisa,casa,
aaron martin,77.2,udinese,casa,
manuel akanji,77.0,fiorentina,trasf.,
thomas kristensen,76.8,genoa,trasf.,
ignace van der brempt,76.4,pisa,casa,
alberto moreno,76.1,pisa,casa,
dodo,76.0,inter,casa,
alessandro marcandalli,76.0,udinese,casa,
alessandro bastoni,75.4,fiorentina,trasf.,
marco palestra,74.9,napoli,casa,
johan vasquez,73.5,udinese,casa,
lorenzo bernasconi,73.2,verona,casa,
jhon lucumi,72.2,lazio,casa,
andrea cambiaso,72.0,sassuolo,casa,
carlos augusto,72.0,fiorentina,trasf.,
mario hermoso,71.2,lecce,casa,
emanuele valeri,71.2,cremonese,casa,
bremer,71.1,sassuolo,casa,
sebastiano luperto,70.9,parma,trasf.,
rafael obrador,70.7,milan,trasf.,
stefan de vrij,70.4,fiorentina,trasf.,
oliver provstgaard,70.4,bologna,trasf.,
gianluca mancini,70.4,lecce,casa,
martin vitik,70.4,lazio,casa,
berat gjimshiti,69.6,verona,casa,
koni de winter,69.2,torino,casa,
alessandro buongiorno,68.8,cagliari,trasf.,
ivan smolcic,68.4,pisa,casa,
robin gosens,67.8,inter,casa,
luca ranieri,67.8,inter,casa,
miguel gutierrez,66.9,cagliari,trasf.,
patric,66.6,bologna,trasf.,
rafik belghali,66.5,atalanta,trasf.,
martin frese,66.5,atalanta,trasf.,
lloyd kelly,66.5,sassuolo,casa,
stefano sabelli,66.0,udinese,casa,
hassane kamara,65.8,genoa,trasf.,
zachary athekame,65.7,torino,casa,
victor nelsson,65.3,atalanta,trasf.,
nadir zortea,65.2,lazio,casa,
isak hien,64.8,verona,casa,
estupinan,64.7,torino,casa,
pasquale mazzocchi,64.7,cagliari,trasf.,
sam beukema,64.6,cagliari,trasf.,
gabriele zappa,64.2,napoli,casa,
odilon kossounou,64.1,verona,casa,
filippo terracciano,64.1,parma,trasf.,
mariano troilo,63.9,cremonese,casa,
daniele ghilardi,63.5,lecce,casa,
federico gatti,63.3,sassuolo,casa,
marin pongracic,63.3,inter,casa,
samuele angori,63.3,como,trasf.,
juan miranda,63.1,lazio,casa,
juan cuadrado,63.0,como,trasf.,
raul albiol,63.0,como,trasf.,
tarik muharemovic,62.9,juventus,trasf.,
enrico del prato,62.5,cremonese,casa,
alessandro circati,62.4,cremonese,casa,
antonino gallo,62.3,roma,trasf.,
konstantinos tsimikas,62.1,lecce,casa,
yerry mina,62.0,napoli,casa,
jay idzes,62.0,juventus,trasf.,
tiago gabriel,61.9,roma,trasf.,
sead kolasinac,61.8,verona,casa,
marcus pedersen,61.6,milan,trasf.,
joao mario,61.6,sassuolo,casa,
mario gila,61.5,bologna,trasf.,
denzel dumfries,61.4,fiorentina,trasf.,
mathias olivera,61.4,cagliari,trasf.,
matteo darmian,61.2,fiorentina,trasf.,
jeandaniel akpaakpro,61.2,atalanta,trasf.,
juan cabal,61.1,sassuolo,casa,
raoul bellanova,60.7,verona,casa,
devyne rensch,60.7,lecce,casa,
adam marusic,60.6,bologna,trasf.,
juan rodriguez,60.6,napoli,casa,
josh doig,60.5,juventus,trasf.,
ardian ismajli,60.5,milan,trasf.,
fikayo tomori,60.4,torino,casa,
danilo veiga,60.1,roma,trasf.,
jan ziolkowski,60.1,lecce,casa,
filippo romagna,60.0,juventus,trasf.,
jamil siebert,60.0,roma,trasf.,
niels nkounkou,60.0,milan,trasf.,
corrie ndaba,60.0,roma,trasf.,
giuseppe pezzella,59.9,parma,trasf.,
simone canestrelli,59.9,como,trasf.,
daniele rugani,59.7,sassuolo,casa,
nicolas valentini,59.7,atalanta,trasf.,
charalampos lykogiannis,59.6,lazio,casa,
torbjorn heggem,59.4,lazio,casa,
enzo ebosse,59.1,atalanta,trasf.,
kingsley ehizibue,59.1,genoa,trasf.,
gaby jean,58.8,roma,trasf.,
pietro comuzzo,58.7,inter,casa,
honest ahanor,58.6,verona,casa,
lautaro valenti,58.5,cremonese,casa,
arturo calabresi,58.2,como,trasf.,
nicolo casale,58.0,lazio,casa,
matteo bianchetti,57.9,parma,trasf.,
sebastian walukiewicz,57.7,juventus,trasf.,
angelino,57.6,lecce,casa,
mikayil faye,57.1,parma,trasf.,
tommaso barbieri,57.0,parma,trasf.,
saul coco,56.8,milan,trasf.,
federico ceccherini,56.5,parma,trasf.,
nuno tavares,56.4,bologna,trasf.,
guillermo maripan,56.2,milan,trasf.,
eddy kouadio,56.1,inter,casa,
francesco acerbi,56.1,fiorentina,trasf.,
francesco folino,55.8,parma,trasf.,
sebastian otoa,55.1,udinese,casa,
alessandro di pardo,55.0,napoli,casa,
rui modesto,55.0,genoa,trasf.,
daniel oyegoke,55.0,atalanta,trasf.,
alberto dossena,54.3,napoli,casa,
juan arizala,52.9,genoa,trasf.,
luca marianucci,52.7,milan,trasf.,
francesco coppola,52.0,como,trasf.,
niccolo fortini,51.7,inter,casa,
elseid hysaj,51.6,bologna,trasf.,
valentino lazaro,51.5,milan,trasf.,
mathias lovik,51.3,cremonese,casa,
matteo palma,51.1,genoa,trasf.,
luca pellegrini,50.6,bologna,trasf.,
fallou cham,50.5,atalanta,trasf.,
valentin carboni,49.7,udinese,casa,
manuel lazzari,49.6,bologna,trasf.,
cristiano biraghi,49.4,milan,trasf.,
matias perez,49.0,roma,trasf.,
rosen bozhinov,48.7,como,trasf.,
pablo mari,48.3,inter,casa,
jean onana,48.3,udinese,casa,
saba goglichidze,48.2,genoa,trasf.,
mattia viti,48.1,inter,casa,
giovanni bonfanti,47.6,como,trasf.,
adam masina,47.3,milan,trasf.,
owen kouassi,47.1,roma,trasf.,
pol lirola,44.9,atalanta,trasf.,
mateus lusuardi,44.2,como,trasf.,
