Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
mario hermoso,83.7,bologna,trasf.,🔥,5.5
giorgio scalvini,83.4,cagliari,trasf.,🔥,5.5
alessandro buongiorno,83.2,cremonese,casa,🔥,6.0
davide zappacosta,81.9,cagliari,trasf.,🔥,5.0
alex valle,81.8,genoa,trasf.,🔥,6.5
federico dimarco,81.6,torino,trasf.,🔥,9.5
leonardo spinazzola,80.9,cremonese,casa,🔥,4.5
rafik belghali,80.2,lecce,casa,🔥,6.5
alberto moreno,79.3,genoa,trasf.,🔥,4.5
oumar solet,79.2,lazio,trasf.,🔥,5.5
mergim vojvoda,79.2,genoa,trasf.,,5.0
oliver provstgaard,78.5,udinese,casa,,5.5
evan ndicka,78.5,bologna,trasf.,,6.0
marcus pedersen,77.9,inter,casa,,6.5
samuele angori,77.9,parma,trasf.,,6.0
davide bartesaghi,77.6,juventus,casa,,4.5
simone canestrelli,77.3,parma,trasf.,,5.5
marcoliver kempf,77.3,genoa,trasf.,,5.5
lloyd kelly,77.1,milan,trasf.,,6.5
patric,76.7,udinese,casa,,5.0
tiago gabriel,76.5,verona,trasf.,,9.0
bremer,76.1,milan,trasf.,,6.5
miguel gutierrez,75.9,cremonese,casa,,7.0
domagoj bradaric,75.9,lecce,casa,,5.0
denzel dumfries,75.5,torino,trasf.,,6.0
diego carlos,74.9,genoa,trasf.,,5.5
leo ostigard,74.3,como,casa,,6.5
devyne rensch,74.0,bologna,trasf.,,5.5
manuel lazzari,73.9,udinese,casa,,5.0
aaron martin,73.6,como,casa,,6.0
manuel akanji,73.5,torino,trasf.,,5.0
juan miranda,73.4,roma,casa,,5.0
yann bisseck,73.4,torino,trasf.,,10.0
andrea cambiaso,73.2,milan,trasf.,,5.0
rafael obrador,72.7,inter,casa,,6.0
mariano troilo,72.7,pisa,casa,,6.0
ignace van der brempt,72.4,genoa,trasf.,,6.0
jhon lucumi,72.4,roma,casa,,5.0
antonino gallo,72.0,verona,trasf.,,6.0
sascha britschgi,71.8,pisa,casa,,6.0
nuno tavares,71.8,udinese,casa,,s.v.
stefano sabelli,71.7,como,casa,,5.5
alessio romagnoli,71.6,udinese,casa,,6.0
giuseppe pezzella,71.4,napoli,trasf.,,5.0
nadir zortea,71.3,roma,casa,,5.5
marco palestra,71.2,atalanta,casa,,6.0
nicolas valentini,70.9,lecce,casa,,4.5
tarik muharemovic,70.8,fiorentina,trasf.,,6.5
mathias olivera,70.5,cremonese,casa,,6.5
mario gila,70.5,udinese,casa,,7.5
adam obert,70.4,atalanta,casa,,6.5
enzo ebosse,70.1,lecce,casa,,5.5
mehmet celik,70.1,bologna,trasf.,,5.5
strahinja pavlovic,70.0,juventus,casa,,6.5
emanuele valeri,69.3,pisa,casa,,6.5
guillermo maripan,69.2,inter,casa,,6.0
enrico del prato,68.9,pisa,casa,,6.5
honest ahanor,68.9,cagliari,trasf.,,6.0
raoul bellanova,68.6,cagliari,trasf.,,4.5
berat gjimshiti,67.9,cagliari,trasf.,,5.0
victor nelsson,67.8,lecce,casa,,6.0
danilo veiga,67.8,verona,trasf.,,5.5
martin frese,67.8,lecce,casa,,5.0
kingsley ehizibue,67.5,lazio,trasf.,,9.5
matteo bianchetti,67.2,napoli,trasf.,,5.0
joao mario,67.0,milan,trasf.,,4.5
jeandaniel akpaakpro,66.9,lecce,casa,,4.5
juan jesus,66.9,cremonese,casa,,5.0
yerry mina,66.9,atalanta,casa,,7.0
jacobo ramon,66.7,genoa,trasf.,,6.0
sam beukema,66.4,cremonese,casa,,6.0
lorenzo bernasconi,66.0,cagliari,trasf.,,6.0
federico baschirotto,65.9,napoli,trasf.,,5.0
dodo,65.7,sassuolo,casa,,6.0
hassane kamara,65.3,lazio,trasf.,,5.5
matteo darmian,65.1,torino,trasf.,,6.0
sebastiano luperto,65.0,napoli,trasf.,,5.0
torbjorn heggem,64.7,roma,casa,,5.0
johan vasquez,64.4,como,casa,,6.0
odilon kossounou,64.4,cagliari,trasf.,,6.0
martin vitik,64.2,roma,casa,,6.0
juan rodriguez,64.1,atalanta,casa,,6.0
thomas kristensen,64.1,lazio,trasf.,,5.5
konstantinos tsimikas,63.9,bologna,trasf.,,6.0
alessandro circati,63.9,pisa,casa,,6.0
angelino,63.6,bologna,trasf.,,6.0
stefan de vrij,63.6,torino,trasf.,,6.5
pasquale mazzocchi,63.5,cremonese,casa,,6.0
koni de winter,63.4,juventus,casa,,4.0
niakhate ndiaye,63.4,pisa,casa,,6.0
saul coco,63.2,inter,casa,,5.5
luca marianucci,63.1,inter,casa,,6.5
alessandro marcandalli,63.0,como,casa,,5.0
federico gatti,62.9,milan,trasf.,,s.v.
filippo terracciano,62.9,napoli,trasf.,,2.5
jay idzes,62.5,fiorentina,trasf.,,6.0
zachary athekame,62.4,juventus,casa,,5.5
corrie ndaba,62.2,verona,trasf.,,s.v.
fikayo tomori,62.0,juventus,casa,,6.0
pol lirola,62.0,lecce,casa,,s.v.
luca ranieri,61.9,sassuolo,casa,,6.0
matteo gabbia,61.7,juventus,casa,,6.5
francesco acerbi,61.5,torino,trasf.,,5.0
arturo calabresi,61.4,parma,trasf.,,5.0
cristiano biraghi,61.3,inter,casa,,6.0
raul albiol,61.3,parma,trasf.,,5.0
pietro comuzzo,61.0,sassuolo,casa,,6.0
estupinan,60.6,juventus,casa,,5.5
juan cuadrado,60.6,parma,trasf.,,5.0
carlos augusto,60.6,torino,trasf.,,5.0
ivan smolcic,60.5,genoa,trasf.,,6.0
juan arizala,60.3,lazio,trasf.,,6.0
lautaro valenti,59.6,pisa,casa,,6.5
sebastian walukiewicz,59.5,fiorentina,trasf.,,5.5
sead kolasinac,59.1,cagliari,trasf.,,6.0
jamil siebert,59.1,verona,trasf.,,6.5
tommaso barbieri,58.9,napoli,trasf.,,s.v.
daniele ghilardi,58.9,bologna,trasf.,,6.0
woyo coulibaly,58.8,fiorentina,trasf.,,6.0
daniele rugani,58.2,milan,trasf.,,6.0
valentino lazaro,57.9,inter,casa,,5.0
federico ceccherini,57.8,napoli,trasf.,,6.5
gabriele zappa,57.2,atalanta,casa,,6.0
marin pongracic,57.1,sassuolo,casa,,6.0
charalampos lykogiannis,56.8,roma,casa,,5.5
francesco folino,56.0,napoli,trasf.,,5.5
elseid hysaj,56.0,udinese,casa,,s.v.
fallou cham,55.9,lecce,casa,,6.0
tobias slotsager,55.2,lecce,casa,,6.0
rui modesto,55.0,lazio,trasf.,,7.0
gaby jean,54.8,verona,trasf.,,6.0
adam masina,54.6,inter,casa,,5.5
amir rrahmani,54.4,cremonese,casa,,6.5
mathias lovik,54.3,pisa,casa,,s.v.
jan ziolkowski,54.2,bologna,trasf.,,s.v.
eddy kouadio,54.0,sassuolo,casa,,s.v.
lorenzo de silvestri,53.8,roma,casa,,5.5
sebastian otoa,53.5,como,casa,,5.0
francesco coppola,53.1,parma,trasf.,,s.v.
owen kouassi,52.9,verona,trasf.,,4.0
alberto dossena,52.9,atalanta,casa,,6.0
niels nkounkou,52.8,inter,casa,,s.v.
mikayil faye,52.7,napoli,trasf.,,5.5
saba goglichidze,52.5,lazio,trasf.,,s.v.
pablo mari,51.7,sassuolo,casa,,6.0
mattia viti,51.7,sassuolo,casa,,5.0
mateus lusuardi,51.7,parma,trasf.,,5.0
alessandro di pardo,51.5,atalanta,casa,,s.v.
rosen bozhinov,51.5,parma,trasf.,,6.0
matteo palma,50.9,lazio,trasf.,,6.0
valentin carboni,50.7,como,casa,,s.v.
matias perez,50.5,verona,trasf.,,5.5
giovanni bonfanti,49.1,parma,trasf.,,6.0
