Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
Donyell Malen,89.9,Verona,Trasf.,🔥,7.5
Paulo Dybala,88.7,Verona,Trasf.,🔥,10.5
Marcus Thuram,88.7,Bologna,Trasf.,🔥,7.5
Rasmus Hojlund,85.8,Udinese,Casa,🔥,10.0
Lautaro Martinez,83.9,Bologna,Trasf.,🔥,5.0
Tijjani Noslin,82.3,Pisa,Casa,🔥,6.5
Andrea Pinamonti,81.5,Parma,Trasf.,🔥,5.5
Keinan Davis,81.5,Napoli,Trasf.,🔥,5.5
Dusan Vlahovic,81.5,Torino,Trasf.,🔥,14.0
Armand Lauriente,81.1,Parma,Trasf.,🔥,5.0
Kieron Bowie,80.1,Roma,Casa,,4.5
Lameck Banda,79.2,Genoa,Casa,,10.0
Manor Solomon,79.0,Atalanta,Casa,,5.5
Tasos Douvikas,77.9,Cremonese,Trasf.,,10.5
Walid Cheddira,77.8,Parma,Trasf.,,6.5
Kenan Yildiz,77.5,Torino,Trasf.,,4.5
Nikola Stulic,77.4,Genoa,Casa,,s.v.
Federico Bonazzoli,76.8,Como,Casa,,8.5
Soule,76.0,Verona,Trasf.,,6.0
Charles De Ketelaere,75.1,Fiorentina,Trasf.,,5.5
Christopher Nkunku,74.7,Cagliari,Casa,,4.0
Sebastiano Esposito,73.6,Milan,Trasf.,,7.0
David Okereke,73.0,Como,Casa,,5.5
Jeff Ekhator,72.3,Lecce,Trasf.,,6.0
Jamie Vardy,71.9,Como,Casa,,5.5
Giovanni Simeone,71.2,Juventus,Casa,,6.0
Adam Buksa,70.9,Napoli,Trasf.,,5.0
Niclas Fullkrug,70.5,Cagliari,Casa,,4.0
Roberto Piccoli,70.5,Atalanta,Casa,,9.0
Duvan Zapata,70.2,Juventus,Casa,,5.5
Vakoun Bayo,69.3,Napoli,Trasf.,,6.0
Pedro,68.9,Pisa,Casa,,10.5
Gianluca Scamacca,68.7,Fiorentina,Trasf.,,s.v.
Nikola Krstovic,68.6,Fiorentina,Trasf.,,5.0
Mateo Pellegrino,68.6,Sassuolo,Casa,,10.0
Giacomo Raspadori,68.5,Fiorentina,Trasf.,,5.5
Vitinha,68.5,Lecce,Trasf.,,5.5
Lorenzo Colombo,68.2,Lecce,Trasf.,,5.5
Pio Esposito,68.1,Bologna,Trasf.,,9.0
Amin Sarr,67.7,Roma,Casa,,5.5
Antonio Sanabria,67.6,Como,Casa,,5.5
Angeyoan Bonny,67.5,Bologna,Trasf.,,6.0
Henrik Meister,67.4,Lazio,Trasf.,,5.5
Stefano Moreo,67.4,Lazio,Trasf.,,9.5
Caleb Ekuban,67.0,Lecce,Trasf.,,6.0
Gift Orban,66.9,Roma,Casa,,5.0
Pedro Felipe,66.8,Parma,Trasf.,,6.0
Che Adams,66.2,Juventus,Casa,,10.0
Idrissa Gueye,66.0,Napoli,Trasf.,,5.0
Thijs Dallinga,65.7,Inter,Casa,,s.v.
Rafael Leao,65.5,Cagliari,Casa,,4.0
Santiago Castro,65.2,Inter,Casa,,5.5
Assane Diao,65.1,Cremonese,Trasf.,,7.0
Francesco Camarda,64.7,Genoa,Casa,,6.0
Nicolas Kuhn,64.3,Cremonese,Trasf.,,s.v.
Jonathan David,63.9,Torino,Trasf.,,5.0
Nikola Moro,63.6,Inter,Casa,,6.0
Andrias Edmundsson,63.2,Roma,Casa,,6.0
Giovane,63.2,Roma,Casa,,5.0
Alieu Njie,62.9,Juventus,Casa,,6.5
Mbala Nzola,62.7,,Trasf.,,5.5
Andrea Belotti,62.5,Milan,Trasf.,,s.v.
Sulemana,62.5,Milan,Trasf.,,5.5
Petar Ratkov,62.2,Pisa,Casa,,6.0
Kamaldeen Sulemana,61.7,Fiorentina,Trasf.,,5.0
Ze Pedro,61.4,Milan,Trasf.,,6.0
Robinio Vaz,61.3,Verona,Trasf.,,s.v.
Konan Ndri,61.2,Genoa,Casa,,6.5
Christian Kouame,61.1,Atalanta,Casa,,6.0
Alvaro Morata,60.7,Cremonese,Trasf.,,s.v.
Patrick Cutrone,60.6,Sassuolo,Casa,,6.0
Milan Djuric,60.3,Sassuolo,Casa,,s.v.
Adrian Benedyczak,59.9,Sassuolo,Casa,,5.5
Pontus Almqvist,59.7,Sassuolo,Casa,,7.5
Santiago Gimenez,59.2,Cagliari,Casa,,5.0
Benjamin Dominguez,59.0,Inter,Casa,,s.v.
Semih Kilicsoy,58.6,Milan,Trasf.,,6.0
Antonio Caracciolo,58.3,Lazio,Trasf.,,5.0
Rafiu Durosinmi,58.2,Lazio,Trasf.,,5.5
Giuseppe Ambrosino,57.7,Udinese,Casa,,s.v.
Isaac,57.4,Roma,Casa,,s.v.
Luca Moro,57.0,Parma,Trasf.,,s.v.
Ali Dembele,55.5,Juventus,Casa,,6.0
Iker Bravo,55.4,Napoli,Trasf.,,5.5
Nicholas Pierini,54.9,Parma,Trasf.,,6.0
Yael Trepy,54.9,Milan,Trasf.,,s.v.
Lois Openda,53.1,Torino,Trasf.,,s.v.
