Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
Adrien Rabiot,88.7,Sassuolo,Trasf.,🔥,5.0
Kevin De Bruyne,88.2,Como,Trasf.,🔥,5.0
Alisson Santos,86.8,Como,Trasf.,🔥,6.0
Arthur Atta,85.4,Torino,Casa,🔥,6.5
Scott Mctominay,84.7,Como,Trasf.,🔥,5.5
Francisco Conceicao,84.3,Verona,Casa,🔥,7.0
Daniel Maldini,82.5,Cremonese,Trasf.,🔥,6.0
Kristian Thorstvedt,81.8,Milan,Casa,🔥,9.0
Gustav Isaksen,81.2,Cremonese,Trasf.,🔥,10.0
Piotr Zielinski,81.2,Parma,Casa,🔥,7.0
Lucas Da Cunha,80.8,Napoli,Casa,,6.0
Jonathan Rowe,80.5,Cagliari,Casa,,6.0
Maximo Perrone,80.3,Napoli,Casa,,6.0
Nikola Vlasic,79.9,Udinese,Trasf.,,6.0
Cristian Volpato,79.2,Milan,Casa,,5.5
Martin Baturina,78.9,Napoli,Casa,,5.5
Tommaso Baldanzi,78.9,Fiorentina,Casa,,8.0
Riccardo Orsolini,78.7,Cagliari,Casa,,5.5
Henrikh Mkhitaryan,78.7,Parma,Casa,,9.5
Matteo Politano,78.7,Como,Trasf.,,6.0
Nicolo Barella,77.6,Parma,Casa,,7.0
Lassana Coulibaly,76.8,Pisa,Trasf.,,6.0
Jack Harrison,76.7,Roma,Trasf.,,4.0
Weston Mckennie,76.7,Verona,Casa,,5.0
Jens Odgaard,76.7,Cagliari,Casa,,5.0
Nicolo Fagioli,76.2,Roma,Trasf.,,4.0
Alexis Saelemaekers,76.2,Sassuolo,Trasf.,,5.0
Kephren Thuram,76.1,Verona,Casa,,4.5
Ruben Loftuscheek,75.9,Sassuolo,Trasf.,,4.5
Toma Basic,75.3,Cremonese,Trasf.,,6.0
Alessandro Deiola,75.0,Bologna,Trasf.,,6.0
Eljif Elmas,74.9,Como,Trasf.,,6.0
Maxence Caqueret,74.7,Napoli,Casa,,7.5
Bryan Cristante,74.3,Fiorentina,Casa,,6.5
Santiago Pierotti,73.6,Pisa,Trasf.,,7.0
Ndary Adopo,73.1,Bologna,Trasf.,,5.5
Lazar Samardzic,72.9,Genoa,Casa,,5.0
Cesare Casadei,72.2,Udinese,Trasf.,,5.0
Albert Gudmundsson,72.2,Roma,Trasf.,,4.0
Remo Freuler,71.8,Cagliari,Casa,,5.0
Emirhan Ilkhan,71.8,Udinese,Trasf.,,5.5
Christian Pulisic,71.7,Sassuolo,Trasf.,,5.0
Antoine Bernede,69.9,Juventus,Trasf.,,5.5
Billy Gilmour,69.2,Como,Trasf.,,6.5
Nicola Zalewski,69.1,Genoa,Casa,,5.5
Stephan El Shaarawy,68.8,Fiorentina,Casa,,5.5
Stanislav Lobotka,68.8,Como,Trasf.,,6.0
Samuele Ricci,68.6,Sassuolo,Trasf.,,4.5
Neil El Aynaoui,68.2,Fiorentina,Casa,,11.0
Marten De Roon,68.1,Genoa,Casa,,5.5
Ederson,67.8,Genoa,Casa,,5.5
Jacopo Fazzini,67.6,Roma,Trasf.,,6.0
Mario Pasalic,66.6,Genoa,Casa,,6.0
Ylber Ramadani,65.7,Pisa,Trasf.,,6.5
Manuel Locatelli,65.7,Verona,Casa,,4.5
Jesper Karlstrom,65.7,Torino,Casa,,5.5
Luis Henrique,65.6,Parma,Casa,,6.0
Hans Caviglia,65.6,Inter,Trasf.,,5.5
Gianluca Gaetano,65.5,Bologna,Trasf.,,6.5
Kenneth Taylor,65.5,Cremonese,Trasf.,,6.0
Roberto Gagliardini,65.3,Juventus,Trasf.,,5.5
Michael Folorunsho,65.3,Bologna,Trasf.,,6.5
Edon Zhegrova,65.2,Verona,Casa,,6.5
Rolando Mandragora,65.1,Roma,Trasf.,,5.0
Zambo Anguissa,65.0,Como,Trasf.,,5.5
Nicolo Zaniolo,65.0,Torino,Casa,,7.0
Adrian Bernabe,64.8,Inter,Trasf.,,5.5
Ebenezer Akinsanmiro,64.8,Lecce,Casa,,5.0
Michel Aebischer,64.7,Lecce,Casa,,5.0
Ismael Kone,64.7,Milan,Casa,,5.5
Jari Vandeputte,64.6,Lazio,Casa,,5.5
Oliver Sorensen,64.4,Inter,Trasf.,,6.0
Nemanja Matic,64.3,Milan,Casa,,6.0
Petar Sucic,64.3,Parma,Casa,,6.5
Tommaso Pobega,64.2,Cagliari,Casa,,5.0
Jakub Piotrowski,64.1,Torino,Casa,,6.0
Christian Kabasele,63.9,Torino,Casa,,5.5
Cher Ndour,63.6,Roma,Trasf.,,4.0
Patrizio Masini,63.6,Atalanta,Trasf.,,s.v.
Malthe Hojholt,63.4,Lecce,Casa,,5.5
Niccolo Pisilli,63.4,Fiorentina,Casa,,12.0
Alieu Fadera,63.2,Milan,Casa,,5.5
Morten Frendrup,63.2,Atalanta,Trasf.,,6.5
Alessio Zerbin,63.1,Lazio,Casa,,5.0
Junior Messias,63.0,Atalanta,Trasf.,,6.0
Romano Floriani,62.9,Lazio,Casa,,6.0
Teun Koopmeiners,62.8,Verona,Casa,,5.5
Gvidas Gineitis,62.5,Udinese,Trasf.,,5.5
Idrissa Toure,62.2,Lecce,Casa,,6.0
Gabriele Piccinini,62.0,Lecce,Casa,,5.0
Danilo Cataldi,61.9,Cremonese,Trasf.,,6.0
Mandela Keita,61.8,Inter,Trasf.,,6.0
Youssef Maleh,61.8,Pisa,Trasf.,,6.0
Mikael Ellertsson,61.4,Atalanta,Trasf.,,6.0
Lennon Miller,61.0,Torino,Casa,,7.0
Tomas Suslov,61.0,Juventus,Trasf.,,6.0
Fisayo Delebashiru,61.0,Cremonese,Trasf.,,5.5
Abdou Harroui,60.6,Juventus,Trasf.,,5.5
Nahuel Estevez,60.6,Inter,Trasf.,,6.0
Oier Zarraga,60.4,Torino,Casa,,6.0
Omri Gandelman,60.3,Pisa,Trasf.,,s.v.
Kouadio Kone,60.0,Fiorentina,Casa,,8.0
Al Musrati,60.0,Juventus,Trasf.,,5.0
Sandi Lovric,59.5,Juventus,Trasf.,,6.0
Isak Vural,59.4,Lecce,Casa,,6.0
Lorran,59.4,Lecce,Casa,,5.0
Simon Sohm,59.0,Roma,Trasf.,,5.0
Marco Brescianini,59.0,Roma,Trasf.,,4.0
Lorenzo Venturino,58.8,Fiorentina,Casa,,6.0
Jacob Ondrejka,58.6,Inter,Trasf.,,6.0
Matteo Prati,58.3,Udinese,Trasf.,,5.5
Giovanni Fabbian,58.3,Roma,Trasf.,,6.0
Edoardo Iannoni,58.1,Milan,Casa,,s.v.
Fabio Miretti,58.1,Verona,Casa,,5.0
Alberto Grassi,57.9,Lazio,Casa,,5.0
