Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
Yann Bisseck,86.1,Lazio,Trasf.,🔥,6.5
Thomas Kristensen,85.3,Cagliari,Trasf.,🔥,7.0
Wesley,84.7,Parma,Trasf.,🔥,6.0
Oumar Solet,84.3,Cagliari,Trasf.,🔥,7.0
Fabiano Parisi,82.8,Genoa,Casa,🔥,6.0
Enrico Del Prato,81.9,Roma,Casa,🔥,6.0
Samuele Angori,81.8,Cremonese,Trasf.,🔥,6.0
Kingsley Ehizibue,80.8,Cagliari,Trasf.,🔥,5.5
Gianluca Mancini,80.2,Parma,Trasf.,🔥,5.0
Evan Ndicka,79.9,Parma,Trasf.,🔥,6.0
Bremer,78.5,Lecce,Trasf.,,6.0
Emanuele Valeri,78.5,Roma,Casa,,6.5
Isak Hien,77.7,Milan,Trasf.,,6.5
Mariano Troilo,77.3,Roma,Casa,,5.0
Federico Dimarco,77.3,Lazio,Trasf.,,7.0
Mario Hermoso,76.8,Parma,Trasf.,,5.0
Strahinja Pavlovic,75.8,Atalanta,Casa,,8.5
Diego Carlos,75.6,Verona,Trasf.,,6.5
Adam Marusic,75.3,Inter,Casa,,5.0
Lloyd Kelly,75.2,Lecce,Trasf.,,6.5
Alex Valle,74.2,Verona,Trasf.,,5.0
Rafael Obrador,74.1,Sassuolo,Casa,,6.5
Miguel Gutierrez,73.8,Bologna,Casa,,5.0
Dodo,73.6,Genoa,Casa,,5.5
Andrea Cambiaso,73.6,Lecce,Trasf.,,7.5
Denzel Dumfries,73.5,Lazio,Trasf.,,6.0
Manuel Akanji,72.9,Lazio,Trasf.,,7.0
Oliver Provstgaard,72.8,Inter,Casa,,5.0
Leonardo Spinazzola,72.8,Bologna,Casa,,s.v.
Saul Coco,72.1,Sassuolo,Casa,,5.5
Giorgio Scalvini,71.7,Milan,Trasf.,,6.0
Marco Palestra,71.6,Udinese,Casa,,5.0
Nuno Tavares,71.0,Inter,Casa,,6.5
Marcus Pedersen,70.6,Sassuolo,Casa,,10.0
Mehmet Celik,70.0,Parma,Trasf.,,6.0
Rafik Belghali,69.5,Como,Casa,,6.5
Marcoliver Kempf,69.3,Verona,Trasf.,,7.5
