,Porta Squadra,Index,Avversario,Campo,Top
1,Atalanta,83.8,Udinese,Casa,🔥
2,Lecce,83.5,Cremonese,Casa,🔥
3,Como,81.7,Cagliari,Trasf.,🔥
4,Roma,81.3,Genoa,Trasf.,🔥
5,Fiorentina,79.4,Parma,Casa,🔥
6,Parma,79.3,Fiorentina,Trasf.,🔥
7,Cremonese,79.2,Lecce,Trasf.,🔥
8,Napoli,78.9,Torino,Casa,🔥
9,Inter,77.8,Milan,Trasf.,🔥
10,Bologna,77.4,Verona,Casa,🔥
11,Cagliari,77.4,Como,Casa,
12,Milan,75.5,Inter,Casa,
13,Udinese,74.4,Atalanta,Trasf.,
14,Verona,74.4,Bologna,Trasf.,
15,Juventus,73.9,Pisa,Casa,
16,Lazio,73.7,Sassuolo,Casa,
17,Genoa,72.9,Roma,Casa,
18,Torino,72.7,Napoli,Trasf.,
19,Pisa,71.6,Juventus,Trasf.,
20,Sassuolo,70.8,Lazio,Trasf.,
