Giocatore
Aboukhlal Z.
Addai J.
Anjorin T.
Bakola D.
Bastoni A.
Bella-Kotchap A.
Berisha M.
Bernardeschi F.
Bernasconi L.
Bertola N.
Bijlow J.
Boloca D.
Cabal J.
Calhanoglu H.
Cande F.
Casale N.
Cornet M.
Cremaschi B.
Dallinga T.
Davis K.
Denoon D.
Di Lorenzo G.
Dovbyk A.
Durosinmi R.
Ekkelenkamp J.
Felici M.
Ferguson E.
Fofana S.
Fortini N.
Frigan M.
Furlanetto A.
Gaspar K.
Gigot S.
Gila M.
Gosens Robin
Idrissi R.
Kean M.
Kone M.
Lamptey T.
Leris M.
Luis Henrique
Lukaku R.
Marin M.
Mario J.
Martinez L.
Mazzitelli L.
Milik A.
Modric L.
Mosquera D.
Moumbagna F.
Neres D.
Niasse C.
Norton-Cuffy B.
Oyegoke D.
Parisi F.
Pavoletti L.
Paz N.
Pellegrini Lo.
Piccoli R.
Pieragnolo E.
Provedel I.
Roberto S.
Rovella N.
Serdar S.
Siegrist B.
Skorupski L.
Sottil R.
Tramoni M.
Vardy J.
Vergara A.
Vojvoda M.
Zaccagni M.
Zanoli A.
Zemura J.
