stagione,giornata,squadra,player,player_norm,voto_gds,fantavoto,gol,assist,ammonizioni,espulsioni,autogol,rig_segnati,rig_sbagliati,avversario,partita
2026-2027,1,Atalanta,CARNESECCHI,carnesecchi,6.5,5.5,-1,0,0,0,0,0,0,Sassuolo,Atalanta - Sassuolo
2026-2027,1,Atalanta,PARDEL,pardel,,,0,0,0,0,0,0,0,Sassuolo,Atalanta - Sassuolo
2026-2027,1,Atalanta,ROSSI,rossi,,,0,0,0,0,0,0,0,Sassuolo,Atalanta - Sassuolo
2026-2027,1,Atalanta,SPORTIELLO,sportiello,,,0,0,0,0,0,0,0,Sassuolo,Atalanta - Sassuolo
2026-2027,1,Atalanta,AHANOR,ahanor,,,0,0,0,0,0,0,0,Sassuolo,Atalanta - Sassuolo
2026-2027,1,Atalanta,BAKKER,bakker,,,0,0,0,0,0,0,0,Sassuolo,Atalanta - Sassuolo
2026-2027,1,Atalanta,BELLANOVA,bellanova,,,0,0,0,0,0,0,0,Sassuolo,Atalanta - Sassuolo
2026-2027,1,Atalanta,BERNASCONI,bernasconi,6.0,6.0,0,0,0,0,0,0,0,Sassuolo,Atalanta - Sassuolo
2026-2027,1,Atalanta,COMI,comi,,,0,0,0,0,0,0,0,Sassuolo,Atalanta - Sassuolo
2026-2027,1,Atalanta,HIEN,hien,,,0,0,0,0,0,0,0,Sassuolo,Atalanta - Sassuolo
2026-2027,1,Atalanta,KOLASINAC,kolasinac,6.0,6.0,0,0,0,0,0,0,0,Sassuolo,Atalanta - Sassuolo
2026-2027,1,Atalanta,KOSSOUNOU,kossounou,5.5,5.5,0,0,0,0,0,0,0,Sassuolo,Atalanta - Sassuolo
2026-2027,1,Atalanta,KRISTENSEN,kristensen,,,0,0,0,0,0,0,0,Sassuolo,Atalanta - Sassuolo
2026-2027,1,Atalanta,SCALVINI,scalvini,6.0,6.0,0,0,0,0,0,0,0,Sassuolo,Atalanta - Sassuolo
2026-2027,1,Atalanta,ZAPPACOSTA,zappacosta,6.5,6.5,0,0,0,0,0,0,0,Sassuolo,Atalanta - Sassuolo
2026-2027,1,Atalanta,DE ROON,de roon,,,0,0,0,0,0,0,0,Sassuolo,Atalanta - Sassuolo
2026-2027,1,Atalanta,EDERSON,ederson,5.5,5.5,0,0,0,0,0,0,0,Sassuolo,Atalanta - Sassuolo
2026-2027,1,Atalanta,ELMAS,elmas,,,0,0,0,0,0,0,0,Sassuolo,Atalanta - Sassuolo
2026-2027,1,Atalanta,GAETANO,gaetano,7.0,8.0,0,1,0,0,0,0,0,Sassuolo,Atalanta - Sassuolo
2026-2027,1,Atalanta,PASALIC,pasalic,6.0,6.0,0,0,0,0,0,0,0,Sassuolo,Atalanta - Sassuolo
2026-2027,1,Atalanta,SAMARDZIC,samardzic,6.0,6.0,0,0,0,0,0,0,0,Sassuolo,Atalanta - Sassuolo
2026-2027,1,Atalanta,SULEMANA,sulemana,,,0,0,0,0,0,0,0,Sassuolo,Atalanta - Sassuolo
2026-2027,1,Atalanta,ZALEWSKI,zalewski,5.5,5.5,0,0,0,0,0,0,0,Sassuolo,Atalanta - Sassuolo
2026-2027,1,Atalanta,DE KETELAERE,de ketelaere,5.5,5.5,0,0,0,0,0,0,0,Sassuolo,Atalanta - Sassuolo
2026-2027,1,Atalanta,KRSTOVIC,krstovic,6.5,9.5,1,0,0,0,0,0,0,Sassuolo,Atalanta - Sassuolo
2026-2027,1,Atalanta,RASPADORI,raspadori,6.5,9.5,1,0,0,0,0,0,0,Sassuolo,Atalanta - Sassuolo
2026-2027,1,Atalanta,SCAMACCA,scamacca,6.0,6.0,0,0,0,0,0,0,0,Sassuolo,Atalanta - Sassuolo
2026-2027,1,Atalanta,SULEMANA,sulemana,,,0,0,0,0,0,0,0,Sassuolo,Atalanta - Sassuolo
2026-2027,1,Atalanta,SARRI,sarri,6.5,4.0,0,0,0,0,0,0,0,Sassuolo,Atalanta - Sassuolo
2026-2027,1,Bologna,HAPPONEN,happonen,,,0,0,0,0,0,0,0,Lazio,Bologna - Lazio
2026-2027,1,Bologna,PESSINA,pessina,,,0,0,0,0,0,0,0,Lazio,Bologna - Lazio
2026-2027,1,Bologna,SKORUPSKI,skorupski,6.0,5.0,-1,0,0,0,0,0,0,Lazio,Bologna - Lazio
2026-2027,1,Bologna,ALHASSANE,alhassane,,,0,0,0,0,0,0,0,Lazio,Bologna - Lazio
2026-2027,1,Bologna,CASALE,casale,,,0,0,0,0,0,0,0,Lazio,Bologna - Lazio
2026-2027,1,Bologna,DE SILVESTRI,de silvestri,,,0,0,0,0,0,0,0,Lazio,Bologna - Lazio
2026-2027,1,Bologna,HEGGEM,heggem,5.5,5.0,0,0,1,0,0,0,0,Lazio,Bologna - Lazio
2026-2027,1,Bologna,HELLAND,helland,5.5,5.5,0,0,0,0,0,0,0,Lazio,Bologna - Lazio
2026-2027,1,Bologna,HOLM,holm,5.5,5.5,0,0,0,0,0,0,0,Lazio,Bologna - Lazio
2026-2027,1,Bologna,MIRANDA,miranda,6.0,6.0,0,0,0,0,0,0,0,Lazio,Bologna - Lazio
2026-2027,1,Bologna,VITIK,vitik,,,0,0,0,0,0,0,0,Lazio,Bologna - Lazio
2026-2027,1,Bologna,ZORTEA,zortea,5.5,5.5,0,0,0,0,0,0,0,Lazio,Bologna - Lazio
2026-2027,1,Bologna,AMONDARAIN,amondarain,,6.0,0,0,0,0,0,0,0,Lazio,Bologna - Lazio
