Giocatore,Index,Avversario,Campo,Top
marcus thuram,84.3,torino,trasf.,🔥
mateo pellegrino,83.2,pisa,casa,🔥
donyell malen,83.0,bologna,trasf.,🔥
gianluca scamacca,82.7,cagliari,trasf.,🔥
vitinha,82.6,como,casa,🔥
nikola krstovic,82.2,cagliari,trasf.,🔥
soule,81.3,bologna,trasf.,🔥
kieron bowie,80.2,lecce,casa,🔥
kenan yildiz,80.0,milan,trasf.,🔥
tasos douvikas,80.0,genoa,trasf.,🔥
tijjani noslin,78.9,udinese,casa,
rasmus hojlund,78.4,cremonese,casa,
nikola stulic,77.8,verona,trasf.,
stefano moreo,77.7,parma,trasf.,
matteo cancellieri,76.8,udinese,casa,
santiago castro,75.9,roma,casa,
andrea pinamonti,75.6,fiorentina,trasf.,
sebastiano esposito,74.4,atalanta,casa,
lameck banda,74.3,verona,trasf.,
amin sarr,74.3,lecce,casa,
gift orban,74.2,lecce,casa,
charles de ketelaere,74.0,cagliari,trasf.,
nicolo cambiaghi,73.5,roma,casa,
federico bonazzoli,73.5,napoli,trasf.,
jeff ekhator,73.1,como,casa,
rafael leao,72.8,juventus,casa,
armand lauriente,72.4,fiorentina,trasf.,
milan djuric,72.0,pisa,casa,
david okereke,72.0,napoli,trasf.,
roberto piccoli,71.8,sassuolo,casa,
jesus rodriguez,71.5,genoa,trasf.,
jonathan david,70.7,milan,trasf.,
nicolas kuhn,70.2,genoa,trasf.,
angeyoan bonny,70.0,torino,trasf.,
giovanni simeone,69.7,inter,casa,
pio esposito,69.7,torino,trasf.,
antonio sanabria,69.6,napoli,trasf.,
domenico berardi,69.3,fiorentina,trasf.,
giacomo raspadori,69.1,cagliari,trasf.,
walid cheddira,68.6,fiorentina,trasf.,
manor solomon,68.6,sassuolo,casa,
che adams,68.2,inter,casa,
henrik meister,68.2,parma,trasf.,
christopher nkunku,67.9,juventus,casa,
adam buksa,67.8,lazio,trasf.,
lorenzo colombo,67.7,como,casa,
niclas fullkrug,67.7,juventus,casa,
antonio caracciolo,67.1,parma,trasf.,
nikola moro,66.7,roma,casa,
caleb ekuban,66.7,como,casa,
petar ratkov,66.4,udinese,casa,
assane diao,66.3,genoa,trasf.,
gennaro borrelli,66.3,atalanta,casa,
alieu njie,65.5,inter,casa,
alvaro morata,65.3,genoa,trasf.,
rafiu durosinmi,65.2,parma,trasf.,
konan ndri,64.4,verona,trasf.,
adrian benedyczak,64.0,pisa,casa,
giovane,63.9,lecce,casa,
pedro,63.8,udinese,casa,
robinio vaz,63.7,bologna,trasf.,
semih kilicsoy,63.7,atalanta,casa,
ze pedro,63.6,atalanta,casa,
mbala nzola,63.3,,trasf.,
idrissa gueye,63.2,lazio,trasf.,
patrick cutrone,63.2,pisa,casa,
sulemana,62.7,atalanta,casa,
santiago gimenez,62.5,juventus,casa,
christian kouame,61.6,sassuolo,casa,
andrias edmundsson,61.2,lecce,casa,
francesco camarda,60.3,verona,trasf.,
kamaldeen sulemana,58.0,cagliari,trasf.,
luca moro,58.0,fiorentina,trasf.,
daniel mosquera,57.9,lecce,casa,
yael trepy,57.8,atalanta,casa,
pontus almqvist,57.8,pisa,casa,
vakoun bayo,57.2,lazio,trasf.,
andrea belotti,56.9,atalanta,casa,
giuseppe ambrosino,56.7,cremonese,casa,
iker bravo,56.3,lazio,trasf.,
isaac,56.2,lecce,casa,
ali dembele,56.0,inter,casa,
lois openda,56.0,milan,trasf.,
nicholas pierini,53.6,fiorentina,trasf.,
