Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
gianluca scamacca,92.7,genoa,casa,🔥,5.5
marcus thuram,92.1,parma,casa,🔥,10.5
donyell malen,91.8,fiorentina,casa,🔥,9.0
kenan yildiz,89.7,verona,casa,🔥,5.0
rasmus hojlund,87.0,como,trasf.,🔥,5.5
giovanni simeone,82.7,udinese,trasf.,🔥,6.5
nikola krstovic,82.4,genoa,casa,🔥,4.5
tasos douvikas,81.7,napoli,casa,🔥,5.5
duvan zapata,81.2,udinese,trasf.,🔥,7.0
tijjani noslin,77.5,cremonese,trasf.,🔥,11.5
jonathan david,76.7,verona,casa,,4.5
che adams,76.6,udinese,trasf.,,5.5
soule,75.9,fiorentina,casa,,6.0
nicolo cambiaghi,75.0,cagliari,casa,,6.0
jesus rodriguez,74.8,napoli,casa,,6.0
lameck banda,73.8,pisa,trasf.,,10.0
armand lauriente,73.0,milan,casa,,12.0
jeff ekhator,72.8,atalanta,trasf.,,6.5
giacomo raspadori,71.9,genoa,casa,,5.0
assane diao,71.7,napoli,casa,,6.0
manor solomon,71.7,roma,trasf.,,4.0
santiago castro,70.3,cagliari,casa,,5.5
andrea pinamonti,70.1,milan,casa,,s.v.
sebastiano esposito,69.6,bologna,trasf.,,6.0
gennaro borrelli,69.3,bologna,trasf.,,9.5
federico bonazzoli,69.3,lazio,casa,,9.5
nikola moro,69.3,cagliari,casa,,6.0
andrea belotti,69.3,bologna,trasf.,,5.0
vakoun bayo,69.2,torino,casa,,7.5
angeyoan bonny,69.0,parma,casa,,6.0
kieron bowie,68.7,juventus,trasf.,,10.0
vitinha,68.6,atalanta,trasf.,,6.5
pio esposito,68.6,parma,casa,,6.0
adam buksa,68.3,torino,casa,,6.0
stefano moreo,68.2,lecce,casa,,6.0
david okereke,67.8,lazio,casa,,4.5
mateo pellegrino,67.6,inter,trasf.,,5.0
lorenzo colombo,67.5,atalanta,trasf.,,6.0
charles de ketelaere,67.3,genoa,casa,,5.0
dusan vlahovic,67.1,verona,casa,,9.5
antonio sanabria,66.9,lazio,casa,,4.5
alieu njie,66.7,udinese,trasf.,,6.0
nicolas kuhn,66.2,napoli,casa,,s.v.
domenico berardi,66.0,milan,casa,,10.0
mbala nzola,65.7,,trasf.,,6.5
caleb ekuban,65.7,atalanta,trasf.,,6.0
antonio caracciolo,65.5,lecce,casa,,5.0
nikola stulic,65.4,pisa,trasf.,,4.5
idrissa gueye,65.2,torino,casa,,6.0
robinio vaz,64.9,fiorentina,casa,,s.v.
niclas fullkrug,64.5,sassuolo,trasf.,,5.0
gift orban,64.3,juventus,trasf.,,5.0
konan ndri,64.3,pisa,trasf.,,5.5
petar ratkov,64.2,cremonese,trasf.,,6.0
giovane,64.0,juventus,trasf.,,6.5
rafael leao,63.9,sassuolo,trasf.,,4.5
christopher nkunku,63.9,sassuolo,trasf.,,5.0
pontus almqvist,63.7,inter,trasf.,,6.0
paulo dybala,63.6,fiorentina,casa,,6.0
alvaro morata,63.5,napoli,casa,,6.0
pedro,62.8,cremonese,trasf.,,6.0
andrias edmundsson,62.4,juventus,trasf.,,7.0
milan djuric,62.2,inter,trasf.,,s.v.
walid cheddira,61.6,milan,casa,,10.5
henrik meister,61.6,lecce,casa,,5.0
santiago gimenez,61.5,sassuolo,trasf.,,5.0
adrian benedyczak,61.2,inter,trasf.,,5.5
ze pedro,61.1,bologna,trasf.,,6.0
sulemana,60.2,bologna,trasf.,,6.0
christian kouame,60.2,roma,trasf.,,6.0
francesco camarda,59.9,pisa,trasf.,,6.0
kamaldeen sulemana,59.4,genoa,casa,,s.v.
patrick cutrone,59.2,inter,trasf.,,6.0
amin sarr,59.1,juventus,trasf.,,5.0
semih kilicsoy,59.0,bologna,trasf.,,6.0
giuseppe ambrosino,58.1,como,trasf.,,s.v.
isaac,57.5,juventus,trasf.,,s.v.
benjamin dominguez,57.4,cagliari,casa,,5.5
luca moro,56.5,milan,casa,,s.v.
iker bravo,56.1,torino,casa,,5.5
ali dembele,56.0,udinese,trasf.,,6.0
yael trepy,55.3,bologna,trasf.,,s.v.
nicholas pierini,54.8,milan,casa,,6.0
lois openda,54.1,verona,casa,,s.v.
