Giocatore,Index,Avversario,Campo,Top
nico paz,91.5,udinese,trasf.,🔥
martin baturina,87.3,udinese,trasf.,🔥
albert gudmundsson,86.8,verona,trasf.,🔥
riccardo orsolini,85.6,cremonese,trasf.,🔥
jari vandeputte,85.0,bologna,casa,🔥
francisco conceicao,84.9,genoa,casa,🔥
youssouf fofana,84.9,napoli,trasf.,🔥
lazar samardzic,84.8,lecce,trasf.,🔥
matteo tramoni,83.7,torino,casa,🔥
matteo politano,83.1,milan,casa,🔥
adrien rabiot,82.7,napoli,trasf.,
maximo perrone,82.5,udinese,trasf.,
cristian volpato,82.4,cagliari,casa,
kristian thorstvedt,81.8,cagliari,casa,
alexis saelemaekers,81.8,napoli,trasf.,
federico bernardeschi,81.6,cremonese,trasf.,
mario pasalic,81.4,lecce,trasf.,
michael folorunsho,81.3,sassuolo,trasf.,
manuel locatelli,80.3,genoa,casa,
marco brescianini,80.3,verona,trasf.,
weston mckennie,80.0,genoa,casa,
christian pulisic,79.1,napoli,trasf.,
daniel maldini,79.0,parma,casa,
nikola vlasic,77.6,pisa,trasf.,
fisayo delebashiru,76.3,parma,casa,
cher ndour,75.9,verona,trasf.,
santiago pierotti,75.8,atalanta,casa,
lorenzo pellegrini,75.6,inter,trasf.,
jonathan rowe,75.3,cremonese,trasf.,
emirhan ilkhan,74.9,pisa,trasf.,
nicolo barella,74.8,roma,casa,
bryan cristante,74.5,inter,trasf.,
marten de roon,74.2,lecce,trasf.,
luka modric,74.2,napoli,trasf.,
nicolo fagioli,74.0,verona,trasf.,
piotr zielinski,73.4,roma,casa,
gianluca gaetano,72.8,sassuolo,trasf.,
gustav isaksen,72.3,parma,casa,
luca mazzitelli,72.0,sassuolo,trasf.,
scott mctominay,71.8,milan,casa,
eljif elmas,71.6,milan,casa,
petar sucic,71.2,roma,casa,
ardon jashari,70.4,napoli,trasf.,
lucas da cunha,70.4,udinese,trasf.,
youssef maleh,69.9,atalanta,casa,
alessio zerbin,69.7,bologna,casa,
kouadio kone,69.7,inter,trasf.,
kenneth taylor,69.5,parma,casa,
nicola zalewski,69.3,lecce,trasf.,
nicolo zaniolo,69.1,como,casa,
cesare casadei,68.8,pisa,trasf.,
malthe hojholt,68.7,torino,casa,
ismael kone,68.6,cagliari,casa,
mehdi leris,68.4,torino,casa,
romano floriani,68.3,bologna,casa,
reda belahyane,67.8,parma,casa,
ebenezer akinsanmiro,67.7,torino,casa,
luis henrique,67.7,roma,casa,
alisson santos,67.6,milan,casa,
christian kabasele,67.5,como,casa,
jack harrison,65.7,verona,trasf.,
tommaso baldanzi,65.7,inter,trasf.,
nemanja matic,65.4,cagliari,casa,
fabio miretti,65.4,genoa,casa,
zambo anguissa,65.4,milan,casa,
samuele ricci,65.2,napoli,trasf.,
ederson,64.9,lecce,trasf.,
billy gilmour,64.8,milan,casa,
niccolo pisilli,64.7,inter,trasf.,
teun koopmeiners,64.7,genoa,casa,
ndary adopo,64.4,sassuolo,trasf.,
stephan el shaarawy,64.4,inter,trasf.,
remo freuler,64.3,cremonese,trasf.,
oliver sorensen,64.3,lazio,trasf.,
roberto gagliardini,64.2,fiorentina,casa,
cheikh niasse,64.2,fiorentina,casa,
alberto grassi,64.1,bologna,casa,
maxence caqueret,64.0,udinese,trasf.,
yunus musah,63.9,lecce,trasf.,
giovanni fabbian,63.9,verona,trasf.,
gaetano oristanio,63.8,lazio,trasf.,
christian ordonez,63.8,lazio,trasf.,
mandela keita,63.8,lazio,trasf.,
riccardo sottil,63.5,atalanta,casa,
simon sohm,63.4,verona,trasf.,
nahuel estevez,63.4,lazio,trasf.,
joseph liteta,63.4,sassuolo,trasf.,
kevin de bruyne,63.3,milan,casa,
hakan calhanoglu,63.2,roma,casa,
omri gandelman,63.2,atalanta,casa,
idrissa toure,63.1,torino,casa,
arthur atta,62.9,como,casa,
jurgen ekkelenkamp,62.8,como,casa,
junior messias,62.6,juventus,trasf.,
lorenzo venturino,62.5,inter,trasf.,
aster vranckx,62.5,cagliari,casa,
morten thorsby,62.3,juventus,trasf.,
gabriele piccinini,62.2,torino,casa,
abdou harroui,62.0,fiorentina,casa,
gvidas gineitis,62.0,pisa,trasf.,
jesper karlstrom,61.9,como,casa,
edon zhegrova,61.8,genoa,casa,
oumar ngom,61.8,atalanta,casa,
sergi roberto,61.8,udinese,trasf.,
luca lipani,61.8,cagliari,casa,
jacopo fazzini,61.7,verona,trasf.,
morten frendrup,61.7,juventus,trasf.,
hans caviglia,61.6,lazio,trasf.,
ylber ramadani,61.5,atalanta,casa,
davide frattesi,61.3,roma,casa,
abdelhamid sabiri,61.0,verona,trasf.,
matteo prati,60.8,pisa,trasf.,
mikael ellertsson,60.7,juventus,trasf.,
lennon miller,60.6,como,casa,
jakub piotrowski,60.6,como,casa,
oier zarraga,60.3,como,casa,
ivan ilic,59.6,pisa,trasf.,
antoine bernede,59.4,fiorentina,casa,
andy diouf,59.0,roma,casa,
stanislav lobotka,58.8,milan,casa,
alessandro deiola,58.5,sassuolo,trasf.,
martin payero,58.5,bologna,casa,
al musrati,58.3,fiorentina,casa,
nicolae stanciu,58.2,juventus,trasf.,
patrizio masini,58.0,juventus,trasf.,
neil el aynaoui,57.5,inter,trasf.,
faustino anjorin,57.3,pisa,trasf.,
kristjan asllani,56.7,pisa,trasf.,
amir richardson,56.6,verona,trasf.,
ruslan malinovskiy,56.6,juventus,trasf.,
jacob ondrejka,56.5,lazio,trasf.,
tomas suslov,56.2,fiorentina,casa,
edoardo iannoni,55.9,cagliari,casa,
filip kostic,55.2,genoa,casa,
adrien tameze,54.6,pisa,trasf.,
maxwel cornet,54.6,juventus,trasf.,
olaf gorter,53.0,atalanta,casa,
hernani,53.0,lazio,trasf.,
jeremy sarmiento,52.8,bologna,casa,
vasilije adzic,52.7,genoa,casa,
alex sala,52.5,atalanta,casa,
lorran,52.3,torino,casa,
seydou fini,52.2,juventus,trasf.,
thorir helgason,52.0,atalanta,casa,
grigoris kastanos,51.7,fiorentina,casa,
