Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
adrien rabiot,88.7,sassuolo,trasf.,🔥,5.0
kevin de bruyne,88.2,como,trasf.,🔥,5.0
alisson santos,86.8,como,trasf.,🔥,6.0
arthur atta,85.4,torino,casa,🔥,6.5
scott mctominay,84.7,como,trasf.,🔥,5.5
francisco conceicao,84.3,verona,casa,🔥,7.0
daniel maldini,82.5,cremonese,trasf.,🔥,6.0
kristian thorstvedt,81.8,milan,casa,🔥,9.0
gustav isaksen,81.2,cremonese,trasf.,🔥,10.0
piotr zielinski,81.2,parma,casa,🔥,7.0
lucas da cunha,80.8,napoli,casa,,6.0
jonathan rowe,80.5,cagliari,casa,,6.0
maximo perrone,80.3,napoli,casa,,6.0
nikola vlasic,79.9,udinese,trasf.,,6.0
cristian volpato,79.2,milan,casa,,5.5
martin baturina,78.9,napoli,casa,,5.5
tommaso baldanzi,78.9,fiorentina,casa,,8.0
riccardo orsolini,78.7,cagliari,casa,,5.5
henrikh mkhitaryan,78.7,parma,casa,,9.5
matteo politano,78.7,como,trasf.,,6.0
nicolo barella,77.6,parma,casa,,7.0
lassana coulibaly,76.8,pisa,trasf.,,6.0
jack harrison,76.7,roma,trasf.,,4.0
weston mckennie,76.7,verona,casa,,5.0
jens odgaard,76.7,cagliari,casa,,5.0
nicolo fagioli,76.2,roma,trasf.,,4.0
alexis saelemaekers,76.2,sassuolo,trasf.,,5.0
kephren thuram,76.1,verona,casa,,4.5
ruben loftuscheek,75.9,sassuolo,trasf.,,4.5
toma basic,75.3,cremonese,trasf.,,6.0
alessandro deiola,75.0,bologna,trasf.,,6.0
eljif elmas,74.9,como,trasf.,,6.0
maxence caqueret,74.7,napoli,casa,,7.5
bryan cristante,74.3,fiorentina,casa,,6.5
santiago pierotti,73.6,pisa,trasf.,,7.0
ndary adopo,73.1,bologna,trasf.,,5.5
lazar samardzic,72.9,genoa,casa,,5.0
cesare casadei,72.2,udinese,trasf.,,5.0
albert gudmundsson,72.2,roma,trasf.,,4.0
remo freuler,71.8,cagliari,casa,,5.0
emirhan ilkhan,71.8,udinese,trasf.,,5.5
christian pulisic,71.7,sassuolo,trasf.,,5.0
antoine bernede,69.9,juventus,trasf.,,5.5
billy gilmour,69.2,como,trasf.,,6.5
nicola zalewski,69.1,genoa,casa,,5.5
stephan el shaarawy,68.8,fiorentina,casa,,5.5
stanislav lobotka,68.8,como,trasf.,,6.0
samuele ricci,68.6,sassuolo,trasf.,,4.5
neil el aynaoui,68.2,fiorentina,casa,,11.0
marten de roon,68.1,genoa,casa,,5.5
ederson,67.8,genoa,casa,,5.5
jacopo fazzini,67.6,roma,trasf.,,6.0
mario pasalic,66.6,genoa,casa,,6.0
ylber ramadani,65.7,pisa,trasf.,,6.5
manuel locatelli,65.7,verona,casa,,4.5
jesper karlstrom,65.7,torino,casa,,5.5
luis henrique,65.6,parma,casa,,6.0
hans caviglia,65.6,inter,trasf.,,5.5
gianluca gaetano,65.5,bologna,trasf.,,6.5
kenneth taylor,65.5,cremonese,trasf.,,6.0
roberto gagliardini,65.3,juventus,trasf.,,5.5
michael folorunsho,65.3,bologna,trasf.,,6.5
edon zhegrova,65.2,verona,casa,,6.5
rolando mandragora,65.1,roma,trasf.,,5.0
zambo anguissa,65.0,como,trasf.,,5.5
nicolo zaniolo,65.0,torino,casa,,7.0
adrian bernabe,64.8,inter,trasf.,,5.5
ebenezer akinsanmiro,64.8,lecce,casa,,5.0
michel aebischer,64.7,lecce,casa,,5.0
ismael kone,64.7,milan,casa,,5.5
jari vandeputte,64.6,lazio,casa,,5.5
oliver sorensen,64.4,inter,trasf.,,6.0
nemanja matic,64.3,milan,casa,,6.0
petar sucic,64.3,parma,casa,,6.5
tommaso pobega,64.2,cagliari,casa,,5.0
jakub piotrowski,64.1,torino,casa,,6.0
christian kabasele,63.9,torino,casa,,5.5
cher ndour,63.6,roma,trasf.,,4.0
patrizio masini,63.6,atalanta,trasf.,,s.v.
malthe hojholt,63.4,lecce,casa,,5.5
niccolo pisilli,63.4,fiorentina,casa,,12.0
alieu fadera,63.2,milan,casa,,5.5
morten frendrup,63.2,atalanta,trasf.,,6.5
alessio zerbin,63.1,lazio,casa,,5.0
junior messias,63.0,atalanta,trasf.,,6.0
romano floriani,62.9,lazio,casa,,6.0
teun koopmeiners,62.8,verona,casa,,5.5
gvidas gineitis,62.5,udinese,trasf.,,5.5
idrissa toure,62.2,lecce,casa,,6.0
gabriele piccinini,62.0,lecce,casa,,5.0
danilo cataldi,61.9,cremonese,trasf.,,6.0
mandela keita,61.8,inter,trasf.,,6.0
youssef maleh,61.8,pisa,trasf.,,6.0
mikael ellertsson,61.4,atalanta,trasf.,,6.0
lennon miller,61.0,torino,casa,,7.0
tomas suslov,61.0,juventus,trasf.,,6.0
fisayo delebashiru,61.0,cremonese,trasf.,,5.5
abdou harroui,60.6,juventus,trasf.,,5.5
nahuel estevez,60.6,inter,trasf.,,6.0
oier zarraga,60.4,torino,casa,,6.0
omri gandelman,60.3,pisa,trasf.,,s.v.
kouadio kone,60.0,fiorentina,casa,,8.0
al musrati,60.0,juventus,trasf.,,5.0
sandi lovric,59.5,juventus,trasf.,,6.0
isak vural,59.4,lecce,casa,,6.0
lorran,59.4,lecce,casa,,5.0
simon sohm,59.0,roma,trasf.,,5.0
marco brescianini,59.0,roma,trasf.,,4.0
lorenzo venturino,58.8,fiorentina,casa,,6.0
jacob ondrejka,58.6,inter,trasf.,,6.0
matteo prati,58.3,udinese,trasf.,,5.5
giovanni fabbian,58.3,roma,trasf.,,6.0
edoardo iannoni,58.1,milan,casa,,s.v.
fabio miretti,58.1,verona,casa,,5.0
alberto grassi,57.9,lazio,casa,,5.0
davide frattesi,57.5,parma,casa,,s.v.
martin payero,57.5,lazio,casa,,5.5
christian ordonez,57.5,inter,trasf.,,6.0
oumar ngom,56.7,pisa,trasf.,,5.5
luca lipani,56.7,milan,casa,,6.5
ruslan malinovskiy,56.5,atalanta,trasf.,,s.v.
ardon jashari,56.2,sassuolo,trasf.,,4.5
reda belahyane,56.0,cremonese,trasf.,,s.v.
andy diouf,55.9,parma,casa,,5.5
joseph liteta,55.6,bologna,trasf.,,7.0
warren bondo,55.6,lazio,casa,,5.5
abdelhamid sabiri,55.6,roma,trasf.,,5.5
gaetano oristanio,55.4,inter,trasf.,,6.0
kristjan asllani,55.3,udinese,trasf.,,5.5
filip kostic,54.9,verona,casa,,5.5
vasilije adzic,54.8,verona,casa,,s.v.
michele collocolo,54.6,lazio,casa,,6.0
seydou fini,54.6,atalanta,trasf.,,6.0
yunus musah,54.4,genoa,casa,,s.v.
