Giocatore,Index,Avversario,Campo,Top
federico dimarco,83.2,torino,trasf.,🔥
mario hermoso,82.4,bologna,trasf.,🔥
davide zappacosta,82.3,cagliari,trasf.,🔥
marcus pedersen,81.8,inter,casa,🔥
oumar solet,81.1,lazio,trasf.,🔥
giorgio scalvini,80.7,cagliari,trasf.,🔥
alex valle,80.2,genoa,trasf.,🔥
evan ndicka,79.9,bologna,trasf.,🔥
diego carlos,79.3,genoa,trasf.,🔥
mariano troilo,78.9,pisa,casa,🔥
bremer,78.7,milan,trasf.,
tiago gabriel,76.8,verona,trasf.,
rafael obrador,76.5,inter,casa,
mario gila,76.4,udinese,casa,
manuel akanji,76.4,torino,trasf.,
jhon lucumi,76.3,roma,casa,
rafik belghali,76.3,lecce,casa,
oliver provstgaard,75.9,udinese,casa,
leo ostigard,75.7,como,casa,
lloyd kelly,75.6,milan,trasf.,
samuele angori,74.9,parma,trasf.,
denzel dumfries,74.9,torino,trasf.,
yann bisseck,74.5,torino,trasf.,
nuno tavares,74.4,udinese,casa,
enrico del prato,73.7,pisa,casa,
mergim vojvoda,73.6,genoa,trasf.,
marco palestra,73.2,atalanta,casa,
leonardo spinazzola,73.1,cremonese,casa,
alberto moreno,72.9,genoa,trasf.,
strahinja pavlovic,72.4,juventus,casa,
tarik muharemovic,71.8,fiorentina,trasf.,
stefano sabelli,71.7,como,casa,
sebastiano luperto,71.6,napoli,trasf.,
andrea cambiaso,71.3,milan,trasf.,
davide bartesaghi,71.0,juventus,casa,
emanuele valeri,70.8,pisa,casa,
alessandro buongiorno,70.7,cremonese,casa,
berat gjimshiti,70.7,cagliari,trasf.,
patric,70.6,udinese,casa,
alessio romagnoli,70.6,udinese,casa,
simone canestrelli,70.5,parma,trasf.,
miguel gutierrez,70.2,cremonese,casa,
joao mario,70.0,milan,trasf.,
stefan de vrij,69.6,torino,trasf.,
marcoliver kempf,69.5,genoa,trasf.,
manuel lazzari,69.4,udinese,casa,
dodo,68.1,sassuolo,casa,
domagoj bradaric,68.1,lecce,casa,
giuseppe pezzella,67.9,napoli,trasf.,
matteo gabbia,67.8,juventus,casa,
honest ahanor,67.6,cagliari,trasf.,
federico baschirotto,67.6,napoli,trasf.,
aaron martin,67.4,como,casa,
devyne rensch,67.4,bologna,trasf.,
antonino gallo,67.2,verona,trasf.,
ignace van der brempt,67.0,genoa,trasf.,
matteo darmian,66.6,torino,trasf.,
thomas kristensen,66.5,lazio,trasf.,
saul coco,66.5,inter,casa,
jacobo ramon,66.5,genoa,trasf.,
juan miranda,66.2,roma,casa,
nadir zortea,66.0,roma,casa,
adam obert,65.9,atalanta,casa,
lorenzo bernasconi,65.8,cagliari,trasf.,
federico gatti,65.3,milan,trasf.,
johan vasquez,65.1,como,casa,
sascha britschgi,64.3,pisa,casa,
alessandro marcandalli,64.2,como,casa,
kingsley ehizibue,64.2,lazio,trasf.,
victor nelsson,64.0,lecce,casa,
guillermo maripan,63.8,inter,casa,
nicolas valentini,63.6,lecce,casa,
juan jesus,63.5,cremonese,casa,
ivan smolcic,63.4,genoa,trasf.,
alessandro circati,63.2,pisa,casa,
fikayo tomori,63.2,juventus,casa,
luca ranieri,63.1,sassuolo,casa,
martin vitik,63.1,roma,casa,
jeandaniel akpaakpro,63.0,lecce,casa,
danilo veiga,62.9,verona,trasf.,
yerry mina,62.8,atalanta,casa,
hassane kamara,62.5,lazio,trasf.,
mathias olivera,62.1,cremonese,casa,
jay idzes,62.0,fiorentina,trasf.,
enzo ebosse,62.0,lecce,casa,
mehmet celik,61.9,bologna,trasf.,
francesco acerbi,61.9,torino,trasf.,
filippo terracciano,61.8,napoli,trasf.,
carlos augusto,61.8,torino,trasf.,
raoul bellanova,61.7,cagliari,trasf.,
odilon kossounou,61.7,cagliari,trasf.,
marin pongracic,61.6,sassuolo,casa,
angelino,61.5,bologna,trasf.,
pasquale mazzocchi,61.4,cremonese,casa,
torbjorn heggem,61.2,roma,casa,
sam beukema,61.1,cremonese,casa,
matteo bianchetti,61.1,napoli,trasf.,
zachary athekame,60.7,juventus,casa,
juan arizala,60.6,lazio,trasf.,
juan cuadrado,60.5,parma,trasf.,
konstantinos tsimikas,60.3,bologna,trasf.,
martin frese,60.3,lecce,casa,
cristiano biraghi,60.2,inter,casa,
juan rodriguez,60.2,atalanta,casa,
koni de winter,60.0,juventus,casa,
niakhate ndiaye,59.7,pisa,casa,
lautaro valenti,59.6,pisa,casa,
woyo coulibaly,59.6,fiorentina,trasf.,
sebastian walukiewicz,59.0,fiorentina,trasf.,
arturo calabresi,58.9,parma,trasf.,
luca marianucci,58.6,inter,casa,
raul albiol,58.2,parma,trasf.,
sead kolasinac,58.1,cagliari,trasf.,
daniele ghilardi,57.6,bologna,trasf.,
pietro comuzzo,57.2,sassuolo,casa,
tommaso barbieri,56.8,napoli,trasf.,
daniele rugani,56.1,milan,trasf.,
jamil siebert,55.6,verona,trasf.,
eddy kouadio,55.6,sassuolo,casa,
gabriele zappa,55.6,atalanta,casa,
corrie ndaba,55.4,verona,trasf.,
estupinan,54.7,juventus,casa,
lorenzo de silvestri,54.7,roma,casa,
niels nkounkou,54.4,inter,casa,
rui modesto,54.3,lazio,trasf.,
alessandro di pardo,53.7,atalanta,casa,
federico ceccherini,53.6,napoli,trasf.,
charalampos lykogiannis,53.2,roma,casa,
amir rrahmani,53.2,cremonese,casa,
tobias slotsager,53.2,lecce,casa,
mikayil faye,53.2,napoli,trasf.,
sebastian otoa,53.2,como,casa,
gaby jean,53.1,verona,trasf.,
elseid hysaj,53.0,udinese,casa,
francesco folino,52.9,napoli,trasf.,
valentino lazaro,52.7,inter,casa,
jan ziolkowski,52.5,bologna,trasf.,
fallou cham,51.9,lecce,casa,
mathias lovik,51.9,pisa,casa,
pol lirola,51.1,lecce,casa,
matteo palma,50.5,lazio,trasf.,
alberto dossena,50.0,atalanta,casa,
matias perez,49.0,verona,trasf.,
adam masina,48.8,inter,casa,
valentin carboni,48.8,como,casa,
giovanni bonfanti,48.7,parma,trasf.,
francesco coppola,48.2,parma,trasf.,
pablo mari,47.9,sassuolo,casa,
mattia viti,47.7,sassuolo,casa,
saba goglichidze,47.6,lazio,trasf.,
owen kouassi,47.4,verona,trasf.,
rosen bozhinov,46.0,parma,trasf.,
mateus lusuardi,45.4,parma,trasf.,
