Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
federico dimarco,87.9,parma,casa,🔥,7.0
wesley,86.5,fiorentina,casa,🔥,10.5
mario hermoso,83.2,fiorentina,casa,🔥,11.0
davide zappacosta,82.4,genoa,casa,🔥,5.5
bremer,82.3,verona,casa,🔥,4.5
denzel dumfries,80.8,parma,casa,🔥,6.0
yann bisseck,80.7,parma,casa,🔥,7.0
alex valle,80.2,napoli,casa,🔥,6.0
matteo gabbia,80.2,sassuolo,trasf.,🔥,5.0
evan ndicka,79.3,fiorentina,casa,🔥,6.5
marcus pedersen,78.1,udinese,trasf.,,6.5
tiago gabriel,78.0,pisa,trasf.,,6.5
dodo,77.9,roma,trasf.,,4.5
giorgio scalvini,77.6,genoa,casa,,6.5
jhon lucumi,77.5,cagliari,casa,,6.0
rafael obrador,76.7,udinese,trasf.,,4.5
devyne rensch,75.9,fiorentina,casa,,5.5
sam beukema,75.9,como,trasf.,,6.0
leonardo spinazzola,75.7,como,trasf.,,6.0
strahinja pavlovic,75.2,sassuolo,trasf.,,6.0
amir rrahmani,74.0,como,trasf.,,6.5
oumar solet,74.0,torino,casa,,7.0
jacobo ramon,74.0,napoli,casa,,6.0
lloyd kelly,73.8,verona,casa,,5.5
rafik belghali,73.8,juventus,trasf.,,6.0
mehmet celik,73.4,fiorentina,casa,,6.0
thomas kristensen,72.7,torino,casa,,10.0
honest ahanor,72.3,genoa,casa,,5.5
mariano troilo,72.2,inter,trasf.,,6.0
marcoliver kempf,72.2,napoli,casa,,5.5
odilon kossounou,72.2,genoa,casa,,6.0
marco palestra,71.8,bologna,trasf.,,6.0
andrea cambiaso,71.6,verona,casa,,6.0
ivan smolcic,71.6,napoli,casa,,6.0
ardian ismajli,71.6,udinese,trasf.,,6.5
gianluca mancini,71.2,fiorentina,casa,,10.5
guillermo maripan,71.1,udinese,trasf.,,6.0
manuel akanji,71.0,parma,casa,,7.0
berat gjimshiti,70.7,genoa,casa,,6.5
hassane kamara,70.5,torino,casa,,6.0
patric,70.2,cremonese,trasf.,,5.0
alberto moreno,70.2,napoli,casa,,6.0
matteo darmian,70.1,parma,casa,,6.0
alessio romagnoli,70.0,cremonese,trasf.,,6.5
stefan de vrij,70.0,parma,casa,,6.5
zachary athekame,70.0,sassuolo,trasf.,,5.5
samuele angori,69.9,lecce,casa,,6.5
nuno tavares,69.4,cremonese,trasf.,,6.5
victor nelsson,69.2,juventus,trasf.,,7.0
emil holm,69.2,verona,casa,,6.0
kingsley ehizibue,69.0,torino,casa,,9.5
alessandro buongiorno,68.6,como,trasf.,,6.0
antonino gallo,68.3,pisa,trasf.,,6.0
nadir zortea,68.1,cagliari,casa,,s.v.
johan vasquez,67.5,atalanta,trasf.,,6.5
yerry mina,67.4,bologna,trasf.,,6.5
luca marianucci,67.2,udinese,trasf.,,6.0
daniele ghilardi,67.0,fiorentina,casa,,6.0
fikayo tomori,66.8,sassuolo,trasf.,,3.0
koni de winter,66.7,sassuolo,trasf.,,4.0
diego carlos,66.7,napoli,casa,,6.5
sead kolasinac,66.7,genoa,casa,,6.0
miguel gutierrez,66.5,como,trasf.,,6.0
oliver provstgaard,66.4,cremonese,trasf.,,6.0
leo ostigard,66.2,atalanta,trasf.,,7.0
emanuele valeri,65.9,inter,trasf.,,6.0
sebastiano luperto,65.5,lazio,casa,,6.0
carlos augusto,65.4,parma,casa,,6.0
pasquale mazzocchi,65.3,como,trasf.,,6.0
enrico del prato,64.9,inter,trasf.,,5.5
pietro comuzzo,64.8,roma,trasf.,,4.5
davide bartesaghi,64.4,sassuolo,trasf.,,4.5
francesco acerbi,64.2,parma,casa,,5.0
filippo terracciano,63.8,lazio,casa,,5.0
juan miranda,63.8,cagliari,casa,,5.0
torbjorn heggem,63.7,cagliari,casa,,5.0
adam obert,63.7,bologna,trasf.,,6.5
marin pongracic,63.7,roma,trasf.,,3.5
gaby jean,63.7,pisa,trasf.,,5.5
mathias olivera,63.6,como,trasf.,,6.5
saul coco,63.6,udinese,trasf.,,5.5
tarik muharemovic,63.4,milan,casa,,6.5
woyo coulibaly,63.3,milan,casa,,6.5
stefano sabelli,63.3,atalanta,trasf.,,6.5
juan arizala,62.4,torino,casa,,s.v.
simone canestrelli,61.9,lecce,casa,,6.0
danilo veiga,61.9,pisa,trasf.,,6.0
aaron martin,61.9,atalanta,trasf.,,s.v.
adam marusic,61.7,cremonese,trasf.,,6.5
arturo calabresi,61.6,lecce,casa,,5.0
martin frese,61.6,juventus,trasf.,,5.5
francesco folino,61.5,lazio,casa,,5.5
domagoj bradaric,61.5,juventus,trasf.,,7.5
jay idzes,61.5,milan,casa,,6.0
federico baschirotto,61.5,lazio,casa,,6.0
daniele rugani,61.3,verona,casa,,6.0
sascha britschgi,61.2,inter,trasf.,,6.0
ignace van der brempt,61.2,napoli,casa,,6.0
manuel lazzari,60.7,cremonese,trasf.,,5.0
luca ranieri,60.3,roma,trasf.,,4.0
federico gatti,60.2,verona,casa,,s.v.
lorenzo de silvestri,60.2,cagliari,casa,,6.0
angelino,59.9,fiorentina,casa,,6.0
jean onana,59.8,atalanta,trasf.,,6.0
filippo romagna,59.7,milan,casa,,6.5
juan cuadrado,59.7,lecce,casa,,s.v.
lautaro valenti,59.6,inter,trasf.,,6.5
giuseppe pezzella,59.6,lazio,casa,,5.0
jamil siebert,59.3,pisa,trasf.,,5.0
josh doig,59.3,milan,casa,,5.0
juan jesus,59.0,como,trasf.,,5.0
raoul bellanova,58.4,genoa,casa,,4.5
sebastian otoa,58.3,atalanta,trasf.,,5.0
martin vitik,58.2,cagliari,casa,,6.0
niakhate ndiaye,58.0,inter,trasf.,,5.0
enzo ebosse,57.8,juventus,trasf.,,6.0
jeandaniel akpaakpro,57.8,juventus,trasf.,,7.0
tommaso barbieri,57.6,lazio,casa,,5.0
valentino lazaro,57.2,udinese,trasf.,,5.5
alessandro circati,57.2,inter,trasf.,,5.5
alessandro marcandalli,57.2,atalanta,trasf.,,6.5
cristiano biraghi,56.7,udinese,trasf.,,6.0
sebastian walukiewicz,56.6,milan,casa,,6.0
eivind helland,56.4,cagliari,casa,,5.5
alberto dossena,56.1,bologna,trasf.,,6.5
isak hien,56.1,genoa,casa,,6.0
rui modesto,55.9,torino,casa,,7.0
raul albiol,55.6,lecce,casa,,5.0
juan rodriguez,55.5,bologna,trasf.,,6.0
rosen bozhinov,55.4,lecce,casa,,5.0
estupinan,55.4,sassuolo,trasf.,,4.5
eddy kouadio,55.2,roma,trasf.,,s.v.
konstantinos tsimikas,55.1,fiorentina,casa,,6.0
corrie ndaba,53.4,pisa,trasf.,,s.v.
alessandro di pardo,53.4,bologna,trasf.,,s.v.
gabriele zappa,53.3,bologna,trasf.,,s.v.
elseid hysaj,53.1,cremonese,trasf.,,s.v.
mikayil faye,52.8,lazio,casa,,5.5
matteo bianchetti,52.7,lazio,casa,,5.5
charalampos lykogiannis,52.6,cagliari,casa,,5.5
niels nkounkou,52.5,udinese,trasf.,,s.v.
jan ziolkowski,51.8,fiorentina,casa,,s.v.
matteo palma,51.7,torino,casa,,6.0
tobias slotsager,51.6,juventus,trasf.,,6.0
mathias lovik,51.4,inter,trasf.,,s.v.
federico ceccherini,51.4,lazio,casa,,6.5
giovanni bonfanti,50.6,lecce,casa,,6.0
fallou cham,49.9,juventus,trasf.,,6.0
matias perez,49.5,pisa,trasf.,,5.5
adam masina,49.4,udinese,trasf.,,5.5
saba goglichidze,48.9,torino,casa,,s.v.
pol lirola,48.7,juventus,trasf.,,s.v.
