Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
Donyell Malen,92.1,Atalanta,Casa,🔥,6.5
Marcus Thuram,89.9,Cagliari,Casa,🔥,10.0
Giovanni Simeone,84.5,Cremonese,Trasf.,🔥,5.5
Che Adams,84.3,Cremonese,Trasf.,🔥,5.5
Kenan Yildiz,81.6,Bologna,Casa,🔥,6.0
Giacomo Raspadori,79.3,Roma,Trasf.,🔥,6.5
Rasmus Hojlund,79.2,Lazio,Casa,🔥,4.5
Tasos Douvikas,76.9,Sassuolo,Trasf.,🔥,5.0
Sebastiano Esposito,76.6,Inter,Trasf.,🔥,4.5
Caleb Ekuban,76.3,Pisa,Trasf.,🔥,6.0
Gift Orban,75.9,Milan,Casa,,5.0
Federico Bonazzoli,74.8,Torino,Casa,,7.0
Armand Lauriente,74.8,Como,Casa,,8.0
Vitinha,74.4,Pisa,Trasf.,,6.0
Charles De Ketelaere,74.2,Roma,Trasf.,,5.5
David Okereke,74.2,Torino,Casa,,6.0
Kieron Bowie,73.2,Milan,Casa,,9.0
Arkadiusz Milik,72.0,Bologna,Casa,,6.0
Lorenzo Colombo,71.9,Pisa,Trasf.,,10.0
Andrea Pinamonti,71.5,Como,Casa,,6.0
Gianluca Scamacca,71.3,Roma,Trasf.,,6.0
Nikola Krstovic,71.2,Roma,Trasf.,,9.5
Jesus Rodriguez,70.6,Sassuolo,Trasf.,,5.5
Angeyoan Bonny,69.0,Cagliari,Casa,,6.0
Tijjani Noslin,68.9,Napoli,Trasf.,,6.5
Stefano Moreo,68.8,Genoa,Casa,,5.0
Assane Diao,68.3,Sassuolo,Trasf.,,5.5
Roberto Piccoli,68.1,Lecce,Trasf.,,5.5
Antonio Sanabria,67.8,Torino,Casa,,4.5
Jonathan David,67.2,Bologna,Casa,,10.0
Pio Esposito,67.2,Cagliari,Casa,,6.5
Niclas Fullkrug,66.9,Verona,Trasf.,,5.0
Christopher Nkunku,66.9,Verona,Trasf.,,6.0
Santiago Castro,66.2,Juventus,Trasf.,,5.0
Mateo Pellegrino,66.0,Udinese,Trasf.,,5.5
Matteo Cancellieri,65.7,Napoli,Trasf.,,11.0
Soule,65.5,Atalanta,Casa,,6.5
Robinio Vaz,65.4,Atalanta,Casa,,6.0
Antonio Caracciolo,65.4,Genoa,Casa,,5.0
Milan Djuric,65.2,Udinese,Trasf.,,s.v.
Gennaro Borrelli,65.1,Inter,Trasf.,,4.5
Petar Ratkov,64.8,Napoli,Trasf.,,6.0
Nikola Moro,64.8,Juventus,Trasf.,,6.0
Jeff Ekhator,64.1,Pisa,Trasf.,,9.5
Walid Cheddira,63.8,Como,Casa,,5.0
Manor Solomon,63.7,Lecce,Trasf.,,5.0
Giovane,63.6,Milan,Casa,,5.0
Ze Pedro,63.5,Inter,Trasf.,,5.0
Rafael Leao,63.0,Verona,Trasf.,,7.0
Santiago Gimenez,62.9,Verona,Trasf.,,5.0
Idrissa Gueye,62.7,Parma,Casa,,6.0
Nicolo Cambiaghi,62.2,Juventus,Trasf.,,5.0
Nikola Stulic,62.1,Fiorentina,Casa,,5.5
Adam Buksa,62.0,Parma,Casa,,5.5
Lameck Banda,61.7,Fiorentina,Casa,,6.0
Christian Kouame,61.7,Lecce,Trasf.,,6.0
Amin Sarr,61.7,Milan,Casa,,s.v.
Pedro,61.6,Napoli,Trasf.,,5.5
Henrik Meister,61.6,Genoa,Casa,,5.0
Nicolas Kuhn,61.5,Sassuolo,Trasf.,,5.5
Alvaro Morata,61.4,Sassuolo,Trasf.,,4.0
Adrian Benedyczak,61.3,Udinese,Trasf.,,5.5
Alieu Njie,61.3,Cremonese,Trasf.,,5.5
Semih Kilicsoy,61.1,Inter,Trasf.,,6.0
Konan Ndri,61.0,Fiorentina,Casa,,5.5
Rafiu Durosinmi,60.8,Genoa,Casa,,5.0
Andrea Belotti,60.7,Inter,Trasf.,,s.v.
Andrias Edmundsson,60.3,Milan,Casa,,5.5
Patrick Cutrone,59.9,Udinese,Trasf.,,6.0
Sulemana,59.9,Inter,Trasf.,,5.5
Luca Moro,59.2,Como,Casa,,s.v.
Kamaldeen Sulemana,59.2,Roma,Trasf.,,s.v.
Mbala Nzola,59.0,,Trasf.,,11.5
Pontus Almqvist,57.9,Udinese,Trasf.,,5.5
Giuseppe Ambrosino,57.8,Lazio,Casa,,s.v.
Vakoun Bayo,57.6,Parma,Casa,,4.5
Isaac,57.5,Milan,Casa,,s.v.
Yael Trepy,57.0,Inter,Trasf.,,s.v.
Lois Openda,56.4,Bologna,Casa,,s.v.
Ali Dembele,56.1,Cremonese,Trasf.,,6.0
Iker Bravo,56.1,Parma,Casa,,5.5
Daniel Mosquera,56.1,Milan,Casa,,6.0
Nicholas Pierini,55.0,Como,Casa,,6.0
