Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
Arthur Atta,89.8,Cagliari,Trasf.,🔥,6.0
Martin Baturina,83.7,Verona,Trasf.,🔥,6.5
Nikola Vlasic,83.7,Sassuolo,Casa,🔥,7.0
Francisco Conceicao,83.6,Lecce,Trasf.,🔥,6.0
Gustav Isaksen,82.8,Inter,Casa,🔥,6.5
Alisson Santos,80.8,Bologna,Casa,🔥,9.5
Nicolo Barella,79.4,Lazio,Trasf.,🔥,6.5
Niccolo Pisilli,79.3,Parma,Trasf.,🔥,6.0
Nico Paz,78.8,Verona,Trasf.,🔥,6.0
Cristian Volpato,78.2,Torino,Trasf.,🔥,5.0
Mehdi Leris,78.2,Cremonese,Trasf.,,5.0
Mattia Zaccagni,78.1,Inter,Casa,,6.5
Henrikh Mkhitaryan,76.7,Lazio,Trasf.,,9.5
Toma Basic,76.5,Inter,Casa,,5.0
Lucas Da Cunha,76.5,Verona,Trasf.,,6.5
Kristian Thorstvedt,76.3,Torino,Trasf.,,9.0
Jari Vandeputte,75.0,Pisa,Casa,,8.0
Ismael Kone,75.0,Torino,Trasf.,,5.5
Daniel Maldini,74.9,Inter,Casa,,6.0
Nicolo Zaniolo,73.9,Cagliari,Trasf.,,6.0
Jacopo Fazzini,73.5,Genoa,Casa,,6.0
Piotr Zielinski,72.6,Lazio,Trasf.,,7.0
Alessandro Deiola,72.4,Udinese,Casa,,6.0
Gianluca Gaetano,72.3,Udinese,Casa,,6.0
Alieu Fadera,72.3,Torino,Trasf.,,5.5
Matteo Politano,71.9,Bologna,Casa,,4.5
Alexis Saelemaekers,71.7,Atalanta,Casa,,4.0
Michael Folorunsho,71.4,Udinese,Casa,,6.0
Emirhan Ilkhan,71.3,Sassuolo,Casa,,6.5
Maximo Perrone,70.4,Verona,Trasf.,,5.5
Gvidas Gineitis,69.5,Sassuolo,Casa,,5.5
Scott Mctominay,69.5,Bologna,Casa,,5.5
Maxence Caqueret,69.3,Verona,Trasf.,,5.5
Kouadio Kone,69.2,Parma,Trasf.,,6.0
Billy Gilmour,69.2,Bologna,Casa,,5.5
Adrien Rabiot,68.7,Atalanta,Casa,,5.0
Nicolo Fagioli,68.3,Genoa,Casa,,5.0
Federico Bernardeschi,67.8,Napoli,Trasf.,,9.5
Cesare Casadei,67.7,Sassuolo,Casa,,5.0
Antoine Bernede,66.8,Como,Casa,,5.0
Edon Zhegrova,66.7,Lecce,Trasf.,,s.v.
Stephan El Shaarawy,66.5,Parma,Trasf.,,5.5
Bryan Cristante,66.2,Parma,Trasf.,,5.5
Weston Mckennie,66.1,Lecce,Trasf.,,6.5
Jens Odgaard,66.1,Napoli,Trasf.,,5.0
Eljif Elmas,65.9,Bologna,Casa,,5.5
Isak Vural,65.7,Cremonese,Trasf.,,5.5
Mandela Keita,65.7,Roma,Casa,,9.5
Jesper Karlstrom,65.4,Cagliari,Trasf.,,6.5
Fisayo Delebashiru,65.4,Inter,Casa,,4.5
Luca Lipani,65.3,Torino,Trasf.,,7.0
Kephren Thuram,65.2,Lecce,Trasf.,,4.5
Lennon Miller,65.0,Cagliari,Trasf.,,6.0
Ndary Adopo,65.0,Udinese,Casa,,6.0
Fabio Miretti,64.8,Lecce,Trasf.,,5.0
Nahuel Estevez,64.8,Roma,Casa,,7.0
Kevin De Bruyne,64.8,Bologna,Casa,,5.0
Mario Pasalic,64.7,Milan,Trasf.,,6.0
Nicola Zalewski,64.2,Milan,Trasf.,,6.0
Oier Zarraga,64.2,Cagliari,Trasf.,,6.0
Hans Caviglia,64.1,Roma,Casa,,8.5
Neil El Aynaoui,63.9,Parma,Trasf.,,6.5
Romano Floriani,63.9,Pisa,Casa,,6.0
Stanislav Lobotka,63.8,Bologna,Casa,,5.5
Santiago Pierotti,63.8,Juventus,Casa,,5.5
Adrian Bernabe,63.8,Roma,Casa,,5.5
Oliver Sorensen,63.8,Roma,Casa,,6.0
Christian Ordonez,63.8,Roma,Casa,,6.0
Tomas Suslov,63.1,Como,Casa,,6.5
Christian Pulisic,63.0,Atalanta,Casa,,5.0
Lazar Samardzic,63.0,Milan,Trasf.,,5.0
Zambo Anguissa,63.0,Bologna,Casa,,5.5
Alessio Zerbin,62.8,Pisa,Casa,,7.0
Samuele Ricci,62.8,Atalanta,Casa,,6.0
Idrissa Toure,62.8,Cremonese,Trasf.,,6.0
Teun Koopmeiners,62.6,Lecce,Trasf.,,6.5
Junior Messias,62.6,Fiorentina,Trasf.,,6.0
Petar Sucic,62.5,Lazio,Trasf.,,10.0
Omri Gandelman,62.5,Juventus,Casa,,s.v.
Danilo Cataldi,62.4,Inter,Casa,,6.0
Ederson,62.3,Milan,Trasf.,,11.5
Remo Freuler,62.3,Napoli,Trasf.,,6.0
Morten Frendrup,61.7,Fiorentina,Trasf.,,6.0
Riccardo Orsolini,61.6,Napoli,Trasf.,,10.0
Gabriele Piccinini,61.6,Cremonese,Trasf.,,5.0
Nemanja Matic,61.5,Torino,Trasf.,,5.5
Luis Henrique,61.3,Lazio,Trasf.,,6.5
Ebenezer Akinsanmiro,61.3,Cremonese,Trasf.,,5.0
Ruben Loftuscheek,61.3,Atalanta,Casa,,4.0
Cher Ndour,61.3,Genoa,Casa,,5.0
Manuel Locatelli,61.1,Lecce,Trasf.,,6.0
Jack Harrison,61.0,Genoa,Casa,,4.0
Marten De Roon,60.6,Milan,Trasf.,,6.0
Matteo Prati,60.6,Sassuolo,Casa,,5.0
Christian Kabasele,60.6,Cagliari,Trasf.,,5.5
Lassana Coulibaly,60.5,Juventus,Casa,,5.5
Marco Brescianini,60.5,Genoa,Casa,,5.0
Albert Gudmundsson,60.3,Genoa,Casa,,s.v.
Ylber Ramadani,60.2,Juventus,Casa,,6.0
Michel Aebischer,60.2,Cremonese,Trasf.,,5.0
Mikael Ellertsson,59.5,Fiorentina,Trasf.,,5.5
Lorran,59.5,Cremonese,Trasf.,,5.0
Ardon Jashari,59.4,Atalanta,Casa,,4.5
Roberto Gagliardini,59.4,Como,Casa,,6.0
Rolando Mandragora,59.4,Genoa,Casa,,5.0
Malthe Hojholt,59.1,Cremonese,Trasf.,,4.0
Youssef Maleh,59.1,Juventus,Casa,,6.5
Martin Payero,58.6,Pisa,Casa,,5.5
Sandi Lovric,58.6,Como,Casa,,5.5
Giovanni Fabbian,58.2,Genoa,Casa,,5.0
Alberto Grassi,57.8,Pisa,Casa,,7.0
Sergi Roberto,57.8,Verona,Trasf.,,s.v.
Jacob Ondrejka,57.0,Roma,Casa,,6.0
Edoardo Iannoni,57.0,Torino,Trasf.,,s.v.
Patrizio Masini,56.9,Fiorentina,Trasf.,,s.v.
Oumar Ngom,56.9,Juventus,Casa,,6.0
Simon Sohm,56.8,Genoa,Casa,,s.v.
Warren Bondo,56.7,Pisa,Casa,,5.5
Al Musrati,56.5,Como,Casa,,5.0
Lorenzo Venturino,56.4,Parma,Trasf.,,6.0
Abdou Harroui,56.2,Como,Casa,,5.5
Abdelhamid Sabiri,55.9,Genoa,Casa,,5.5
Andy Diouf,55.9,Lazio,Trasf.,,7.0
Joseph Liteta,55.9,Udinese,Casa,,7.0
Kristjan Asllani,55.4,Sassuolo,Casa,,5.5
Tommaso Pobega,55.1,Napoli,Trasf.,,6.0
Filip Kostic,55.1,Lecce,Trasf.,,5.5
Gaetano Oristanio,55.0,Roma,Casa,,6.0
Michele Collocolo,54.9,Pisa,Casa,,6.0
Vasilije Adzic,54.9,Lecce,Trasf.,,s.v.
Ruslan Malinovskiy,54.9,Fiorentina,Trasf.,,s.v.
Jeremy Sarmiento,54.7,Pisa,Casa,,5.5
Seydou Fini,54.6,Fiorentina,Trasf.,,6.0
Grigoris Kastanos,54.4,Como,Casa,,s.v.
Davide Frattesi,54.2,Lazio,Trasf.,,6.0
Ivan Ilic,54.1,Sassuolo,Casa,,6.0
Aster Vranckx,53.8,Torino,Trasf.,,s.v.
Hernani,53.7,Roma,Casa,,5.5
Yunus Musah,52.8,Milan,Trasf.,,s.v.
Adrien Tameze,52.8,Sassuolo,Casa,,s.v.
Calvin Stengs,52.7,Cremonese,Trasf.,,5.5
Morten Thorsby,52.6,Fiorentina,Trasf.,,6.0
Reda Belahyane,52.3,Inter,Casa,,s.v.
Alex Sala,52.2,Juventus,Casa,,s.v.
Nicolae Stanciu,51.6,Fiorentina,Trasf.,,1.5
