Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
Federico Dimarco,85.5,Roma,Casa,🔥,6.0
Davide Zappacosta,83.7,Lecce,Trasf.,🔥,6.0
Fabiano Parisi,82.0,Verona,Trasf.,🔥,6.5
Evan Ndicka,81.8,Inter,Trasf.,🔥,4.0
Dodo,81.4,Verona,Trasf.,🔥,7.0
Adam Marusic,81.3,Parma,Casa,🔥,5.0
Diego Carlos,80.9,Udinese,Trasf.,🔥,6.0
Strahinja Pavlovic,80.1,Napoli,Trasf.,🔥,6.5
Yann Bisseck,79.6,Roma,Casa,🔥,6.5
Oliver Provstgaard,79.5,Parma,Casa,🔥,5.0
Zachary Athekame,79.2,Napoli,Trasf.,,5.5
Brooke Nortoncuffy,79.1,Juventus,Trasf.,,5.5
Marcoliver Kempf,77.9,Udinese,Trasf.,,6.5
Rafael Obrador,76.7,Pisa,Trasf.,,6.0
Bremer,76.7,Genoa,Casa,,8.5
Leo Ostigard,76.5,Juventus,Trasf.,,5.0
Manuel Akanji,76.2,Roma,Casa,,7.0
Giorgio Scalvini,75.9,Lecce,Trasf.,,10.0
Alessandro Bastoni,75.6,Roma,Casa,,6.5
Johan Vasquez,74.8,Juventus,Trasf.,,5.5
Rafik Belghali,74.6,Fiorentina,Casa,,6.0
Alberto Moreno,74.5,Udinese,Trasf.,,7.5
Sebastiano Luperto,74.5,Bologna,Casa,,5.5
Ignace Van Der Brempt,73.6,Udinese,Trasf.,,s.v.
Robin Gosens,73.2,Verona,Trasf.,,5.5
Leonardo Spinazzola,73.1,Milan,Casa,,6.5
Mario Gila,73.1,Parma,Casa,,6.0
Miguel Gutierrez,72.7,Milan,Casa,,6.0
Koni De Winter,72.4,Napoli,Trasf.,,6.0
Lloyd Kelly,72.4,Genoa,Casa,,7.0
Patric,72.4,Parma,Casa,,6.5
Francesco Acerbi,72.0,Roma,Casa,,6.5
Alessandro Buongiorno,71.6,Milan,Casa,,6.0
Nuno Tavares,71.3,Parma,Casa,,5.5
Denzel Dumfries,70.5,Roma,Casa,,6.0
Mario Hermoso,70.4,Inter,Trasf.,,5.0
Oumar Solet,70.2,Como,Casa,,7.0
Filippo Terracciano,70.2,Bologna,Casa,,5.0
Andrea Cambiaso,70.0,Genoa,Casa,,6.5
Marcus Pedersen,69.7,Pisa,Trasf.,,8.0
Jeandaniel Akpaakpro,69.4,Fiorentina,Casa,,6.0
Ardian Ismajli,69.1,Pisa,Trasf.,,7.0
Marco Palestra,69.0,Sassuolo,Trasf.,,6.0
Wesley,69.0,Inter,Trasf.,,4.5
Marin Pongracic,68.6,Verona,Trasf.,,6.0
Davide Bartesaghi,68.6,Napoli,Trasf.,,5.0
Juan Miranda,67.8,Cremonese,Trasf.,,8.5
Alex Valle,67.8,Udinese,Trasf.,,6.0
Fikayo Tomori,67.0,Napoli,Trasf.,,6.0
Thomas Kristensen,66.8,Como,Casa,,5.5
Sam Beukema,66.7,Milan,Casa,,s.v.
Yerry Mina,66.5,Sassuolo,Trasf.,,6.0
Jay Idzes,65.3,Cagliari,Casa,,6.0
Mergim Vojvoda,65.3,Udinese,Trasf.,,5.0
Berat Gjimshiti,65.3,Lecce,Trasf.,,6.5
Martin Frese,64.7,Fiorentina,Casa,,6.0
Saul Coco,64.3,Pisa,Trasf.,,6.0
Samuele Angori,63.6,Torino,Casa,,6.0
Lorenzo Bernasconi,63.5,Lecce,Trasf.,,6.5
Luca Ranieri,63.5,Verona,Trasf.,,6.0
Jhon Lucumi,63.0,Cremonese,Trasf.,,6.5
Nadir Zortea,62.9,Cremonese,Trasf.,,6.0
Antonino Gallo,62.9,Atalanta,Casa,,5.5
Torbjorn Heggem,62.8,Cremonese,Trasf.,,6.0
Raul Albiol,62.4,Torino,Casa,,5.0
Emanuele Valeri,62.3,Lazio,Trasf.,,6.5
Tiago Gabriel,62.2,Atalanta,Casa,,5.5
Tarik Muharemovic,62.1,Cagliari,Casa,,6.5
Alessandro Marcandalli,62.0,Juventus,Trasf.,,5.5
Martin Vitik,61.9,Cremonese,Trasf.,,6.5
Konstantinos Tsimikas,61.5,Inter,Trasf.,,5.0
Angelino,61.4,Inter,Trasf.,,5.5
Devyne Rensch,60.8,Inter,Trasf.,,6.5
Arturo Calabresi,60.6,Torino,Casa,,6.0
Stefan De Vrij,60.5,Roma,Casa,,6.0
Ivan Smolcic,60.4,Udinese,Trasf.,,5.5
Simone Canestrelli,60.3,Torino,Casa,,6.0
Victor Nelsson,60.3,Fiorentina,Casa,,5.5
Adam Obert,60.3,Sassuolo,Trasf.,,5.0
Pasquale Mazzocchi,60.1,Milan,Casa,,6.0
Stefano Sabelli,59.7,Juventus,Trasf.,,6.0
Aaron Martin,59.6,Juventus,Trasf.,,2.0
Guillermo Maripan,59.6,Pisa,Trasf.,,5.5
Enzo Ebosse,59.4,Fiorentina,Casa,,6.5
Federico Gatti,59.4,Genoa,Casa,,6.0
Hassane Kamara,59.1,Como,Casa,,6.0
Nicolas Valentini,59.1,Fiorentina,Casa,,5.5
Sebastian Walukiewicz,58.9,Cagliari,Casa,,6.0
Alessandro Circati,58.6,Lazio,Trasf.,,5.0
Gabriele Zappa,58.4,Sassuolo,Trasf.,,s.v.
Danilo Veiga,58.3,Atalanta,Casa,,5.0
Juan Cuadrado,58.3,Torino,Casa,,s.v.
Matteo Bianchetti,58.3,Bologna,Casa,,5.0
Kingsley Ehizibue,58.2,Como,Casa,,5.5
Pietro Comuzzo,58.1,Verona,Trasf.,,5.5
Enrico Del Prato,58.1,Lazio,Trasf.,,9.5
Daniele Rugani,57.9,Genoa,Casa,,s.v.
Joao Mario,57.8,Genoa,Casa,,10.0
Charalampos Lykogiannis,57.3,Cremonese,Trasf.,,5.5
Juan Cabal,57.3,Genoa,Casa,,6.0
Jamil Siebert,57.2,Atalanta,Casa,,4.5
Mathias Olivera,57.1,Milan,Casa,,7.0
Tommaso Barbieri,57.0,Bologna,Casa,,5.5
Giuseppe Pezzella,57.0,Bologna,Casa,,5.5
Matteo Darmian,56.8,Roma,Casa,,6.0
Daniele Ghilardi,56.4,Inter,Trasf.,,5.0
Eddy Kouadio,56.3,Verona,Trasf.,,s.v.
Josh Doig,56.2,Cagliari,Casa,,s.v.
Daniel Oyegoke,56.1,Fiorentina,Casa,,6.5
Francesco Folino,55.9,Bologna,Casa,,s.v.
Odilon Kossounou,55.9,Lecce,Trasf.,,6.0
Sead Kolasinac,55.8,Lecce,Trasf.,,6.0
Raoul Bellanova,55.8,Lecce,Trasf.,,6.0
Niels Nkounkou,55.4,Pisa,Trasf.,,s.v.
Filippo Romagna,55.4,Cagliari,Casa,,6.5
Lautaro Valenti,55.1,Lazio,Trasf.,,5.5
Juan Jesus,54.9,Milan,Casa,,6.5
Jan Ziolkowski,54.8,Inter,Trasf.,,s.v.
Manuel Lazzari,54.8,Parma,Casa,,6.5
Corrie Ndaba,54.6,Atalanta,Casa,,4.5
Federico Ceccherini,54.5,Bologna,Casa,,6.5
Rui Modesto,54.3,Como,Casa,,7.0
Nicolo Casale,54.1,Cremonese,Trasf.,,6.0
Mikayil Faye,54.1,Bologna,Casa,,5.5
Gaby Jean,53.8,Atalanta,Casa,,5.5
Estupinan,53.5,Napoli,Trasf.,,3.5
Alessandro Di Pardo,53.2,Sassuolo,Trasf.,,s.v.
Niccolo Fortini,53.2,Verona,Trasf.,,6.0
Valentino Lazaro,53.1,Pisa,Trasf.,,s.v.
Sebastian Otoa,53.0,Juventus,Trasf.,,3.5
Tobias Slotsager,52.3,Fiorentina,Casa,,6.0
Luca Pellegrini,52.3,Parma,Casa,,4.0
Elseid Hysaj,51.7,Parma,Casa,,5.5
Honest Ahanor,51.6,Lecce,Trasf.,,s.v.
Luca Marianucci,51.1,Pisa,Trasf.,,s.v.
Fallou Cham,51.0,Fiorentina,Casa,,6.0
Matteo Palma,50.6,Como,Casa,,6.0
Cristiano Biraghi,50.5,Pisa,Trasf.,,5.0
Giovanni Bonfanti,50.5,Torino,Casa,,6.0
Francesco Coppola,50.4,Torino,Casa,,4.5
Mathias Lovik,50.1,Lazio,Trasf.,,s.v.
Juan Arizala,49.9,Como,Casa,,6.0
Matias Perez,49.5,Atalanta,Casa,,5.5
Adam Masina,49.0,Pisa,Trasf.,,5.5
Valentin Carboni,48.5,Juventus,Trasf.,,s.v.
Mattia Viti,48.4,Verona,Trasf.,,5.0
Saba Goglichidze,47.6,Como,Casa,,s.v.
Pablo Mari,47.6,Verona,Trasf.,,6.0
Rosen Bozhinov,47.4,Torino,Casa,,5.0
Owen Kouassi,47.0,Atalanta,Casa,,4.0
Mateus Lusuardi,45.4,Torino,Casa,,5.0
Pol Lirola,43.9,Fiorentina,Casa,,5.0
