,Porta Squadra,Index,Avversario,Campo,Top
1,Lecce,82.5,Napoli,Trasf.,🔥
2,Cagliari,81.7,Pisa,Trasf.,🔥
3,Milan,80.8,Lazio,Trasf.,🔥
4,Parma,80.1,Torino,Trasf.,🔥
5,Torino,80,Parma,Casa,🔥
6,Fiorentina,80,Cremonese,Trasf.,🔥
7,Napoli,79.3,Lecce,Casa,🔥
8,Lazio,78.8,Milan,Casa,🔥
9,Inter,77.9,Atalanta,Casa,🔥
10,Genoa,77.9,Verona,Trasf.,🔥
11,Roma,77.7,Como,Trasf.,
12,Cremonese,77.4,Fiorentina,Casa,
13,Como,77.1,Roma,Casa,
14,Atalanta,76.3,Inter,Trasf.,
15,Verona,76.1,Genoa,Casa,
16,Pisa,75.3,Cagliari,Casa,
17,Bologna,74.8,Sassuolo,Trasf.,
18,Juventus,73.1,Udinese,Trasf.,
19,Udinese,71.4,Juventus,Casa,
20,Sassuolo,68.4,Bologna,Casa,
