iter	MAE	RMSE
0	0.5252231012	0.6916160457
1	0.5222097185	0.6884001666
2	0.5191456602	0.6853260924
3	0.5163121005	0.6822710613
4	0.5132036732	0.679160726
5	0.5104530006	0.6762514603
6	0.5079905324	0.6737015868
7	0.5058061637	0.6711996397
8	0.5036097792	0.6685071384
9	0.5018742116	0.6657138416
10	0.5005571432	0.6633309527
11	0.4994517863	0.6612091934
12	0.4982140533	0.6589099476
13	0.4969093066	0.6563670835
14	0.4959197964	0.6542747178
15	0.4949990022	0.6521737625
16	0.4938607529	0.6499163695
17	0.4926667252	0.6475512839
18	0.4914656618	0.64528102
19	0.4903906368	0.6432477621
20	0.4893374026	0.6413164563
21	0.488395179	0.6395357776
22	0.4874036094	0.6375736494
23	0.4865878101	0.63585122
24	0.4856448973	0.6340563466
25	0.4850033684	0.632625813
26	0.483981733	0.6309145751
27	0.4831531632	0.6294135714
28	0.4822071832	0.6278483919
29	0.4809954907	0.626275629
30	0.4803980886	0.6250895609
31	0.4794387832	0.6236236361
32	0.4784390956	0.6220088817
33	0.4777049375	0.6206962805
34	0.4770266916	0.6194045387
35	0.4759174793	0.6180657444
36	0.4752871042	0.6169249971
37	0.4745271716	0.6156064403
38	0.4738271948	0.614457795
39	0.473253851	0.6134305355
40	0.472432795	0.6121518396
41	0.4719442982	0.6112038976
42	0.4711503765	0.6101091195
43	0.470770277	0.6092313569
44	0.4702055137	0.6082472838
45	0.469712643	0.6072723053
46	0.4691703124	0.6063577036
47	0.4686425247	0.6054171751
48	0.4681995343	0.6045532771
49	0.4675976039	0.6036083531
50	0.4671214854	0.6027442187
51	0.4664765074	0.6017963578
52	0.4659888947	0.601024757
53	0.4653489202	0.6000649375
54	0.4648583234	0.5994011267
55	0.4642878454	0.5984602784
56	0.4638007049	0.5976697772
57	0.4634189073	0.5968655389
58	0.4628914997	0.5961526145
59	0.4624908119	0.5953971902
60	0.4622183657	0.5947688949
61	0.4617023743	0.5940756287
62	0.461400687	0.5934500176
63	0.4611688449	0.5928550904
64	0.4607107959	0.5921615615
65	0.4603168625	0.5915351802
66	0.4599129388	0.5908562655
67	0.4594420252	0.5901865876
68	0.4591149966	0.5895895798
69	0.45884459	0.5890597944
