iter	MAE	RMSE
0	0.524962586	0.691389591
1	0.521567766	0.6876179295
2	0.5184729669	0.6841903471
3	0.5151959947	0.6807735375
4	0.5120263826	0.6773781484
5	0.5088580637	0.6741187246
6	0.5061634089	0.6710479848
7	0.5038961161	0.6683008062
8	0.5017514415	0.6653020094
9	0.4997869234	0.6625393067
10	0.4980294272	0.6597801901
11	0.4968494792	0.6573625483
12	0.4958364155	0.6551680696
13	0.4946573987	0.6526001976
14	0.4935351276	0.650320071
15	0.4923847705	0.6479414645
16	0.4911096816	0.6456491721
17	0.4900866048	0.6435529187
18	0.4891083095	0.6414975611
19	0.4882381125	0.6397052372
20	0.4872181879	0.6377190079
21	0.4862654101	0.6359237037
22	0.4854020209	0.6341240979
23	0.4843977329	0.6322408001
24	0.4832335866	0.6304125369
25	0.4821992548	0.628683367
26	0.4813984707	0.6271891453
27	0.4803824463	0.625478604
28	0.479590179	0.6240357717
29	0.4788643749	0.622716347
30	0.4781818261	0.6213982512
31	0.4772070408	0.6199956136
32	0.4764223074	0.6187299855
33	0.4754594785	0.6173309916
34	0.4747438084	0.61608619
35	0.4738759287	0.6147716239
36	0.4733040589	0.6137007693
37	0.472520155	0.6124604166
38	0.4719287568	0.6114425861
39	0.4714605831	0.6104943878
40	0.4708622285	0.6094377883
41	0.4703517974	0.6084673792
42	0.4696916078	0.6073766772
43	0.4692006888	0.6064284578
44	0.4686985277	0.6054272496
45	0.468278004	0.6045577907
46	0.4676734165	0.6036719845
47	0.4670408762	0.60265675
48	0.4665867294	0.6018406226
49	0.4659503016	0.6008884699
50	0.4655608608	0.6001287456
51	0.4652120187	0.5993922991
52	0.4646859885	0.5985765333
53	0.4643957132	0.5979025913
54	0.4641608116	0.5972559184
55	0.4638346285	0.5965008238
56	0.4633015754	0.5957062948
57	0.4627465759	0.5949635908
58	0.4623045492	0.5942969364
59	0.4620414403	0.5937136998
60	0.4615912257	0.5931067615
61	0.4610758582	0.5923807749
62	0.4608155951	0.5917684467
63	0.4605190702	0.5911879473
64	0.4601921794	0.5907326249
65	0.4596914225	0.5900602529
66	0.4594590057	0.589575127
67	0.4591613397	0.5890503174
68	0.4589478102	0.588557274
69	0.4587404444	0.5880610386
70	0.4582949489	0.5874786213
71	0.457866862	0.5868768636
72	0.4574801825	0.5863641955
73	0.4572871152	0.5859586188
74	0.4571025007	0.5855594128
75	0.4567621686	0.5850986435
76	0.4564497994	0.5846426536
77	0.4560189162	0.5841030895
78	0.455855935	0.5837312329
79	0.4556977829	0.5833576675
80	0.4553221594	0.5828891332
81	0.4550548016	0.5825562592
82	0.4548022276	0.5822494918
83	0.454660966	0.5819013651
84	0.4544153578	0.5815976089
85	0.4542780889	0.5812686699
86	0.4539693151	0.5808958259
87	0.4538511814	0.580586718
88	0.4536114005	0.5802936868
89	0.4532309939	0.5798840163
90	0.4529919188	0.5795138611
91	0.4527911636	0.5792605231
92	0.4525967677	0.5790138352
93	0.4523058578	0.5786215327
94	0.4521259676	0.5783218156
95	0.4517894986	0.5779435288
96	0.4515995278	0.5777160454
97	0.4514502656	0.5775162645
98	0.4512866594	0.5773122876
99	0.4511847258	0.5770735555
100	0.451009635	0.5768602904
101	0.4508544543	0.5766616518
102	0.4506965078	0.5764677392
103	0.4505516886	0.5763058008
104	0.4503020305	0.5760250463
105	0.4501327131	0.5758274036
106	0.449837181	0.5755113856
107	0.4496656789	0.5752270186
108	0.4493931927	0.5749161651
109	0.4492424947	0.5747025299
110	0.4491816759	0.5745144239
111	0.4490027093	0.5743128573
112	0.4488763354	0.5741748079
113	0.4487298405	0.5739606581
114	0.4484735876	0.5736956495
115	0.4483340816	0.5735076527
116	0.4481555669	0.5732622219
117	0.4480406872	0.5731354688
118	0.4479626771	0.5729583951
119	0.4479040767	0.5727967698
120	0.4476488255	0.5725320775
121	0.4475834686	0.5723978319
122	0.4474769761	0.5722901702
123	0.4473601464	0.5721032363
124	0.4472719854	0.5719313451
125	0.4471808623	0.5717949332
126	0.4470952103	0.5716394745
127	0.4469571722	0.5714589669
128	0.4467184031	0.571245781
129	0.4466326182	0.5711653015
130	0.4464053905	0.5709652592
131	0.4462398991	0.5708018188
132	0.4461569823	0.5707263676
133	0.4458958424	0.5704939571
134	0.4458022446	0.5703003218
135	0.4456914312	0.5701405057
136	0.4456349049	0.5700160174
137	0.4454317258	0.5697964109
138	0.4451952746	0.5695933008
139	0.4450931352	0.5694923696
140	0.4448991118	0.5693280055
141	0.4448365314	0.5691714556
142	0.444700359	0.569036646
143	0.4446189732	0.568962644
144	0.444534324	0.5689031656
145	0.4443586592	0.5686927779
146	0.444307421	0.5685790993
147	0.444099281	0.5683824371
148	0.4440568082	0.5682833196
149	0.4438945292	0.568122138
150	0.44369139	0.5679239903
151	0.4435643149	0.567789302
152	0.4434931335	0.567719516
153	0.4434379063	0.5675969571
154	0.4433186041	0.5674731129
155	0.4432624849	0.5673850275
156	0.4431899894	0.5672413872
157	0.4431559281	0.5672167964
158	0.4430877781	0.567103564
159	0.4430061248	0.5670203568
160	0.4429744415	0.5669709953
161	0.4428491659	0.56680193
162	0.4427215115	0.5666072112
163	0.4425467837	0.5664852512
164	0.44243349	0.5663703043
165	0.4423517517	0.5663088304
166	0.4422023976	0.5661845177
167	0.442051545	0.5660549337
168	0.4420221935	0.5660279441
169	0.4419175163	0.565902031
170	0.4418773964	0.5658590184
171	0.4417986551	0.5657666959
172	0.4417569718	0.5657196394
173	0.4416917813	0.5656615252
174	0.441572964	0.5655279314
175	0.4415243412	0.5654511705
176	0.4413699681	0.5652113457
177	0.4412933569	0.5651076363
178	0.4411489255	0.5649855536
179	0.441106984	0.5649462035
180	0.4410712636	0.5649138821
181	0.4409769697	0.5648059209
182	0.440910592	0.5647218031
183	0.4408559484	0.5645909159
184	0.4407374389	0.564398603
185	0.4406507535	0.5642483476
186	0.4405255975	0.5641282101
187	0.4404108248	0.5640124376
188	0.4402870535	0.5638973041
189	0.4401389378	0.5637450179
190	0.4400327048	0.5636510788
191	0.4399434011	0.5635051178
192	0.4398021989	0.5633713114
193	0.4397467841	0.5633305815
194	0.4396843157	0.563246071
195	0.4395992751	0.5631563882
196	0.4394807162	0.5630350245
197	0.4393565908	0.5629263608
198	0.4392736726	0.5628203144
199	0.439132027	0.5626559106
200	0.4390704212	0.5625670302
201	0.4390552042	0.5625289515
202	0.4390101276	0.562456017
203	0.4389692569	0.5624192429
204	0.4389156463	0.5623139978
205	0.4388684038	0.5622284321
206	0.4387607127	0.5620886965
207	0.4387284714	0.5620611979
208	0.4386400874	0.5619818755
209	0.4385984733	0.5619069794
210	0.4384819412	0.5617322482
211	0.438421874	0.5616575912
212	0.4383288862	0.5615651162
213	0.4382393026	0.5614676375
214	0.4382248897	0.5614482467
215	0.4382147734	0.5614241673
216	0.4380832131	0.5613134359
217	0.438046737	0.5612804035
218	0.4380191639	0.5612557915
219	0.4379770768	0.5611736171
220	0.4379375225	0.5611411338
221	0.4378228366	0.5610258631
222	0.437700997	0.5609357522
223	0.437600802	0.5608201841
224	0.437450865	0.5606906128
225	0.4374158093	0.5606254779
226	0.4373111469	0.5605370226
227	0.4372126458	0.5604294865
228	0.4371509352	0.5603304871
229	0.4371100909	0.5602640432
230	0.4370204965	0.5601309154
231	0.436964962	0.5600429672
232	0.4368839116	0.5599439709
233	0.4368475481	0.5598762074
234	0.4368185351	0.5598532767
235	0.4367399454	0.5597645881
236	0.4366264774	0.5596438112
237	0.4365035111	0.5594452169
238	0.4364491565	0.5593966909
239	0.4363328382	0.5592658561
240	0.4362520633	0.5591808981
241	0.4361841635	0.5591087012
242	0.4361594625	0.5590903245
243	0.4360465767	0.5589706958
244	0.435947432	0.5588879255
245	0.4358412832	0.5587781583
246	0.435742759	0.5586466115
247	0.4356460455	0.5585402693
248	0.4355798128	0.5584591007
249	0.4355211341	0.5583728452
250	0.4354725222	0.5583267627
251	0.4353932152	0.5582398186
252	0.4353623963	0.55819588
253	0.4352940949	0.5581196161
254	0.4352553764	0.5580810506
255	0.4352205422	0.5580373691
256	0.4351397411	0.5579314079
257	0.4349785899	0.5577667705
258	0.4348659261	0.5576376478
259	0.434791725	0.5575537617
260	0.4347070297	0.5574387298
261	0.4346576595	0.5573853189
262	0.4346117972	0.5572948182
263	0.4345371444	0.5571849005
264	0.4344897299	0.5570962249
265	0.4344110649	0.5570030485
266	0.4343224021	0.5568623661
267	0.4342607051	0.5568059361
268	0.4342063917	0.5567473821
269	0.4341245327	0.5566589498
270	0.4340113861	0.5565321067
271	0.4339991588	0.556523997
272	0.4338950957	0.5563577664
273	0.433815361	0.556272803
274	0.433723321	0.5561475082
275	0.433637707	0.5560435579
276	0.4335750374	0.5559782744
277	0.4334811552	0.5558941478
278	0.4334461512	0.5558497684
279	0.4333867195	0.5557805032
280	0.4333167893	0.5556855356
281	0.4331991042	0.555579763
282	0.4330735189	0.5554465684
283	0.4330030124	0.5553638288
284	0.4328709463	0.5552164573
285	0.432786738	0.5551213738
286	0.4327232868	0.5550408594
287	0.4326434379	0.5549330711
288	0.432558779	0.554825281
289	0.4324833191	0.5547428502
290	0.4323942916	0.5546248824
291	0.4323025677	0.5545074741
292	0.4322686009	0.5544459521
293	0.4321971666	0.5543479948
294	0.4321047528	0.5542550966
295	0.4320344514	0.5541635664
296	0.4319515492	0.5540821299
