iter	Passed	Remaining
0	4	4910
1	11	6727
2	34	13932
3	41	12373
4	43	10488
5	46	9230
6	52	8992
7	67	10068
8	70	9312
9	102	12163
10	124	13458
11	147	14644
12	171	15692
13	175	14833
14	200	15853
15	203	15085
16	210	14661
17	214	14100
18	236	14731
19	259	15318
20	266	14961
21	291	15596
22	312	15997
23	314	15424
24	322	15155
25	343	15524
26	364	15831
27	377	15800
28	390	15768
29	414	16168
30	438	16517
31	451	16469
32	477	16885
33	501	17197
34	521	17348
35	545	17632
36	568	17862
37	570	17439
38	578	17235
39	602	17466
40	605	17122
41	613	16924
42	635	17088
43	656	17254
44	658	16911
45	680	17067
46	700	17195
47	722	17346
48	743	17465
49	746	17158
50	767	17295
51	790	17449
52	813	17614
53	843	17909
54	870	18117
55	873	17851
56	896	17970
57	917	18072
58	940	18192
59	973	18505
60	977	18254
61	1001	18385
62	1004	18133
63	1028	18250
64	1052	18382
65	1058	18186
66	1086	18365
67	1108	18455
68	1129	18519
69	1153	18616
70	1179	18759
71	1204	18870
72	1234	19060
73	1262	19215
74	1280	19202
75	1316	19469
76	1352	19732
77	1382	19888
78	1392	19759
79	1432	20052
80	1465	20247
81	1479	20166
82	1494	20117
83	1499	19918
84	1503	19723
85	1510	19562
86	1539	19697
87	1566	19793
88	1594	19909
89	1620	19980
90	1647	20079
91	1650	19872
92	1672	19912
93	1693	19928
94	1713	19934
95	1740	20015
96	1744	19833
97	1756	19749
98	1759	19563
99	1764	19406
100	1767	19235
101	1790	19276
102	1793	19098
103	1797	18941
104	1804	18816
105	1806	18646
106	1828	18673
107	1853	18737
108	1875	18772
109	1897	18806
110	1902	18660
111	1905	18511
112	1908	18353
113	1929	18377
114	1956	18459
115	1984	18546
116	2011	18622
117	2022	18541
118	2045	18581
119	2069	18623
120	2096	18696
121	2101	18565
122	2106	18442
123	2131	18498
124	2156	18544
125	2170	18503
126	2195	18550
127	2226	18646
128	2231	18526
129	2234	18387
130	2256	18411
131	2278	18435
132	2280	18293
133	2302	18313
134	2324	18340
135	2347	18365
136	2370	18393
137	2393	18417
138	2416	18442
139	2421	18337
140	2437	18310
141	2464	18362
142	2489	18398
143	2504	18365
144	2506	18234
145	2528	18256
146	2551	18275
147	2574	18298
148	2597	18319
149	2619	18333
150	2641	18347
151	2663	18364
152	2667	18253
153	2692	18284
154	2715	18307
155	2740	18343
156	2765	18369
157	2766	18245
158	2790	18268
159	2813	18290
160	2816	18176
161	2840	18202
162	2866	18234
163	2880	18193
164	2903	18213
165	2906	18105
166	2933	18146
167	2957	18165
168	2958	18050
169	2982	18068
170	2984	17958
171	3008	17979
172	3015	17901
173	3018	17799
174	3043	17823
175	3066	17842
176	3091	17866
177	3114	17879
178	3136	17890
179	3138	17784
180	3141	17684
181	3164	17697
182	3187	17714
183	3211	17730
184	3234	17743
185	3257	17760
186	3281	17777
187	3307	17804
188	3337	17852
189	3371	17923
190	3402	17974
191	3439	18056
192	3477	18143
193	3485	18071
194	3518	18134
195	3549	18183
196	3576	18211
197	3605	18245
198	3632	18272
199	3658	18292
200	3682	18300
201	3685	18210
202	3710	18222
203	3714	18135
204	3739	18149
205	3767	18176
206	3792	18192
207	3795	18100
208	3819	18112
209	3846	18133
210	3871	18144
211	3895	18155
212	3923	18181
213	3947	18185
214	3949	18094
215	3952	18004
216	3979	18027
217	3986	17957
218	3989	17869
219	4015	17887
220	4018	17801
221	4043	17812
222	4066	17817
223	4091	17828
224	4116	17838
225	4141	17850
226	4164	17852
227	4188	17854
228	4212	17860
229	4234	17860
230	4259	17866
231	4282	17867
232	4307	17878
233	4332	17885
234	4335	17803
235	4360	17812
236	4385	17820
237	4415	17847
238	4482	18023
239	4519	18079
240	4556	18131
241	4581	18137
242	4583	18051
243	4607	18053
244	4631	18055
245	4655	18053
246	4679	18054
247	4703	18054
248	4726	18052
249	4750	18052
250	4774	18051
251	4797	18046
252	4809	18001
253	4834	18006
254	4857	18000
255	4881	18000
256	4905	17998
257	4928	17996
258	4955	18004
259	4979	18004
260	5004	18004
261	5028	18002
262	5051	17998
263	5076	17999
264	5102	18002
265	5126	17999
266	5152	18004
267	5155	17929
268	5179	17927
269	5204	17925
270	5227	17921
271	5230	17844
272	5254	17842
273	5278	17837
274	5301	17833
275	5326	17831
276	5351	17831
277	5375	17827
278	5403	17836
279	5433	17853
280	5458	17851
281	5482	17848
282	5506	17843
283	5531	17840
284	5555	17835
285	5578	17828
286	5601	17819
287	5624	17811
288	5648	17804
289	5671	17796
290	5695	17790
291	5718	17781
292	5742	17775
293	5768	17775
294	5793	17772
295	5821	17780
296	5846	17775
297	5869	17767
298	5894	17761
299	5917	17751
300	5944	17755
301	5972	17758
302	5997	17753
303	6021	17746
304	6044	17738
305	6069	17731
306	6093	17724
307	6116	17715
308	6140	17705
309	6165	17700
310	6168	17632
311	6190	17620
312	6214	17610
313	6237	17599
314	6261	17590
315	6284	17581
316	6307	17570
317	6312	17507
318	6335	17498
319	6337	17429
320	6361	17420
321	6386	17413
322	6414	17415
323	6443	17420
324	6467	17412
325	6492	17405
326	6516	17397
327	6540	17389
328	6565	17380
329	6588	17370
330	6592	17308
331	6616	17297
332	6628	17259
333	6651	17246
334	6674	17234
335	6697	17223
336	6701	17161
337	6724	17149
338	6747	17137
339	6769	17123
340	6794	17116
341	6819	17108
342	6820	17042
343	6844	17031
344	6868	17021
345	6892	17011
346	6915	17000
347	6938	16987
348	6962	16977
349	6986	16967
350	7010	16956
351	7034	16946
352	7057	16934
353	7081	16923
354	7104	16910
355	7128	16901
356	7152	16889
357	7177	16880
358	7200	16867
359	7224	16857
360	7226	16795
361	7228	16734
362	7252	16722
363	7275	16709
364	7298	16696
365	7323	16686
366	7347	16678
367	7372	16668
368	7400	16665
369	7425	16657
370	7449	16645
371	7471	16631
372	7494	16616
373	7497	16559
374	7522	16548
375	7545	16535
376	7568	16522
377	7592	16511
378	7615	16495
379	7639	16486
380	7652	16448
381	7676	16438
382	7700	16426
383	7724	16413
384	7727	16358
385	7751	16346
386	7775	16333
387	7801	16326
388	7824	16311
389	7847	16298
390	7871	16287
391	7895	16274
392	7919	16261
393	7942	16247
394	7965	16233
395	7988	16219
396	8012	16207
397	8036	16194
398	8060	16180
399	8061	16123
400	8085	16110
401	8109	16097
402	8133	16085
403	8157	16073
404	8181	16059
405	8205	16047
406	8228	16032
407	8251	16017
408	8275	16004
409	8298	15989
410	8321	15974
411	8344	15959
412	8372	15953
413	8403	15954
414	8429	15944
415	8454	15933
416	8478	15920
417	8503	15908
418	8527	15894
419	8552	15882
420	8576	15868
421	8600	15856
422	8623	15840
423	8646	15825
424	8670	15811
425	8694	15797
426	8717	15782
427	8741	15767
428	8766	15754
429	8790	15740
430	8812	15724
431	8836	15708
432	8859	15694
433	8883	15679
434	8908	15666
435	8931	15650
436	8955	15636
437	8986	15633
438	9011	15620
439	9037	15610
440	9068	15607
441	9097	15601
442	9125	15593
443	9151	15582
444	9176	15569
445	9202	15557
446	9227	15544
447	9252	15530
448	9276	15515
449	9299	15499
450	9323	15483
451	9346	15468
452	9373	15456
453	9399	15445
454	9423	15430
455	9446	15413
456	9469	15395
457	9492	15379
458	9515	15362
459	9539	15346
460	9563	15329
461	9586	15312
462	9610	15297
463	9633	15280
464	9657	15265
465	9682	15250
466	9709	15239
467	9733	15224
468	9759	15211
469	9784	15197
470	9806	15178
471	9830	15161
472	9854	15145
473	9877	15128
474	9900	15111
475	9924	15094
476	9948	15079
477	9971	15062
478	9996	15046
479	10020	15030
480	10043	15013
481	10067	14996
482	10090	14979
483	10114	14962
484	10139	14948
485	10163	14931
486	10186	14913
487	10209	14895
488	10233	14878
489	10255	14859
490	10278	14841
491	10301	14824
492	10324	14806
493	10349	14790
494	10376	14778
495	10403	14766
496	10427	14749
497	10451	14733
498	10475	14716
499	10500	14701
500	10525	14685
501	10548	14667
502	10571	14648
503	10595	14632
504	10619	14614
505	10644	14599
506	10669	14584
507	10693	14567
508	10716	14548
509	10740	14530
510	10763	14512
511	10787	14495
512	10810	14477
513	10834	14459
514	10858	14443
515	10882	14425
516	10906	14408
517	10930	14391
518	10953	14372
519	10976	14353
520	11000	14336
521	11023	14317
522	11046	14299
523	11069	14280
524	11092	14261
525	11115	14243
526	11139	14225
527	11163	14207
528	11187	14191
529	11212	14173
530	11235	14154
531	11258	14136
532	11281	14118
533	11306	14101
534	11331	14085
535	11357	14069
536	11383	14054
537	11408	14037
538	11432	14019
539	11455	14001
540	11479	13983
541	11501	13963
542	11524	13944
543	11548	13926
544	11572	13908
545	11595	13889
546	11619	13871
547	11643	13853
548	11667	13835
549	11691	13817
550	11715	13799
551	11739	13781
552	11764	13764
553	11785	13743
554	11807	13722
555	11830	13702
556	11856	13686
557	11880	13669
558	11904	13650
559	11927	13631
560	11951	13612
561	11974	13593
562	11998	13575
563	12022	13556
564	12044	13537
565	12068	13518
566	12090	13498
567	12114	13479
568	12137	13459
569	12160	13440
570	12184	13421
571	12207	13402
572	12231	13383
573	12255	13365
574	12279	13346
575	12304	13330
576	12329	13312
577	12356	13296
578	12380	13278
579	12405	13260
580	12428	13241
581	12452	13223
582	12475	13203
583	12499	13184
584	12522	13164
585	12545	13145
586	12568	13124
587	12591	13105
588	12615	13086
589	12637	13065
590	12661	13047
591	12685	13028
592	12708	13008
593	12731	12989
594	12754	12968
595	12775	12946
596	12798	12927
597	12821	12907
598	12846	12889
599	12871	12871
600	12874	12831
601	12899	12813
602	12903	12774
603	12926	12755
604	12950	12736
605	12974	12717
606	12998	12698
