player,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,partita,player_norm,voto_gds,fantavoto,gol,rig_segnati,rig_sbagliati,ammonizioni,espulsioni,autogol,player_team,opponent_team,finishing_form,shot_quality_index,league,home_away,fanta_role,opponent_team_strength,player_team_strength
Aarón Martín,0,0,0.0,90,DL,laspalmas,espanyol,0,0,2016-10-14,1849,2016,152865,0.0,0,0,0,0.0,0.0,0.0,laspalmas - espanyol,aaron martin,,,,,,,,,,,,,Serie A,,D,weak,weak
Aarón Martín,0,0,0.0,90,DL,laspalmas,espanyol,2,2,2017-12-17,8033,2017,204379,0.0524554997682571,0,1,0,0.0,0.6568289995193481,0.6568289995193481,laspalmas - espanyol,aaron martin,,,,,,,,,,,,,Serie A,,D,weak,weak
Aarón Martín,0,0,0.0,61,DML,genoa,fiorentina,1,4,2023-08-19,22308,2023,605529,0.0,0,0,0,0.0,0.0,0.0,genoa - fiorentina,aaron martin,,,,,,,,,genoa,Fiorentina,0.3403105121047092,0.4471514445955762,Serie A,h,D,mid,weak
Aarón Martín,0,0,0.0,1,Sub,lazio,genoa,0,1,2023-08-27,22321,2023,607931,0.0,0,0,0,0.0,0.0,0.0,lazio - genoa,aaron martin,,,,,,,,,genoa,Lazio,0.3403105121047092,0.4471514445955762,Serie A,a,D,mid,weak
Aarón Martín,0,0,0.0,1,Sub,torino,genoa,1,0,2023-09-03,22331,2023,609704,0.0,0,0,0,0.0,0.0,0.0,torino - genoa,aaron martin,,,,,,,,,genoa,Torino,0.3403105121047092,0.4471514445955762,Serie A,a,D,weak,weak
Aarón Martín,0,0,0.0,90,DL,genoa,napoli,2,2,2023-09-16,22337,2023,610742,0.0,0,0,0,0.0,0.0629673227667808,0.0629673227667808,genoa - napoli,aaron martin,,,,,,,,,genoa,Napoli,0.1908379479200036,0.4471514445955762,Serie A,h,D,top,weak
Aarón Martín,0,0,0.0,35,DL,lecce,genoa,1,0,2023-09-22,22351,2023,611760,0.0,0,0,0,0.0,0.0,0.0,lecce - genoa,aaron martin,,,,,,,,,genoa,Lecce,0.1908379479200036,0.4471514445955762,Serie A,a,D,weak,weak
Aarón Martín,0,0,0.0,90,DML,genoa,salernitana,1,0,2023-10-27,22396,2023,619436,0.1612205952405929,0,3,0,0.0,0.0766107067465782,0.0,genoa - salernitana,aaron martin,,,,,,,,,genoa,Salernitana,0.1908379479200036,0.4471514445955762,Serie A,h,D,weak,weak
Aarón Martín,0,0,0.0,67,DML,cagliari,genoa,2,1,2023-11-05,22407,2023,622119,0.0703941509127616,0,1,0,0.0,0.0703941509127616,0.0703941509127616,cagliari - genoa,aaron martin,,,,,,,,,genoa,Cagliari,0.1908379479200036,0.4471514445955762,Serie A,a,D,weak,weak
Aarón Martín,0,0,0.0,30,Sub,sassuolo,genoa,1,2,2023-12-22,22472,2023,632393,0.0962213203310966,0,1,0,0.0,0.1714374870061874,0.1714374870061874,sassuolo - genoa,aaron martin,,,,,,,,,genoa,Sassuolo,0.1908379479200036,0.4471514445955762,Serie A,a,D,mid,weak
Aarón Martín,0,0,0.0,88,DML,genoa,inter,1,1,2023-12-29,22478,2023,633307,0.0748255848884582,0,2,0,0.0,0.0391351468861103,0.0391351468861103,genoa - inter,aaron martin,,,,,,,,,genoa,Inter,0.1908379479200036,0.4471514445955762,Serie A,h,D,top,weak
Aarón Martín,0,0,0.0,84,DML,genoa,torino,0,0,2024-01-13,22497,2023,634623,0.0570751391351223,0,1,0,0.0,0.0311690289527177,0.0311690289527177,genoa - torino,aaron martin,,,,,,,,,genoa,Torino,0.1908379479200036,0.4471514445955762,Serie A,h,D,weak,weak
