Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
Donyell Malen,94.2,Genoa,Trasf.,🔥,5.5
Domenico Berardi,94.1,Lazio,Trasf.,🔥,6.0
Keinan Davis,90.3,Atalanta,Trasf.,🔥,10.0
Kenan Yildiz,88.1,Pisa,Casa,🔥,12.0
Rasmus Hojlund,85.8,Torino,Casa,🔥,6.0
Tasos Douvikas,85.3,Cagliari,Trasf.,🔥,5.0
Armand Lauriente,84.6,Lazio,Trasf.,🔥,9.0
Santiago Castro,83.6,Verona,Casa,🔥,5.0
Duvan Zapata,82.8,Napoli,Trasf.,🔥,5.5
Dusan Vlahovic,82.1,Pisa,Casa,🔥,6.0
Nikola Krstovic,80.6,Udinese,Casa,,6.5
Romelu Lukaku,80.4,Torino,Casa,,s.v.
Jesus Rodriguez,79.4,Cagliari,Trasf.,,4.5
Stefano Moreo,79.1,Juventus,Trasf.,,6.0
Lorenzo Colombo,77.9,Roma,Casa,,6.0
Che Adams,77.9,Napoli,Trasf.,,7.0
Vitinha,77.8,Roma,Casa,,10.0
Federico Bonazzoli,77.7,Lecce,Trasf.,,9.5
Rafael Leao,77.7,Inter,Casa,,5.5
Giovanni Simeone,77.4,Napoli,Trasf.,,6.0
Jonathan David,76.2,Pisa,Casa,,4.0
Gianluca Scamacca,74.7,Udinese,Casa,,13.5
Sebastiano Esposito,74.2,Como,Casa,,8.5
Caleb Ekuban,73.5,Roma,Casa,,6.0
Semih Kilicsoy,73.4,Como,Casa,,5.5
Pio Esposito,72.4,Milan,Trasf.,,5.5
Marcus Thuram,71.0,Milan,Trasf.,,5.0
Christopher Nkunku,71.0,Inter,Casa,,s.v.
Nicolo Cambiaghi,70.9,Verona,Casa,,5.0
Henrik Meister,70.6,Juventus,Trasf.,,6.0
Mateo Pellegrino,70.6,Fiorentina,Trasf.,,4.5
Gennaro Borrelli,70.6,Como,Casa,,6.0
Christian Kouame,70.5,Parma,Casa,,6.0
Tijjani Noslin,69.6,Sassuolo,Casa,,6.0
Nikola Moro,69.2,Verona,Casa,,5.5
Patrick Cutrone,69.1,Fiorentina,Trasf.,,6.0
Lameck Banda,69.1,Cremonese,Casa,,6.5
Pedro,68.7,Sassuolo,Casa,,6.0
Adrian Benedyczak,68.4,Fiorentina,Trasf.,,5.5
Gift Orban,68.3,Bologna,Trasf.,,8.5
Nikola Stulic,68.2,Cremonese,Casa,,9.5
Jamie Vardy,67.4,Lecce,Trasf.,,5.0
David Okereke,67.3,Lecce,Trasf.,,6.0
Alieu Njie,67.2,Napoli,Trasf.,,6.0
Niclas Fullkrug,66.8,Inter,Casa,,6.0
Matteo Cancellieri,65.7,Sassuolo,Casa,,7.5
Andrias Edmundsson,65.6,Bologna,Trasf.,,6.5
Adam Buksa,65.5,Atalanta,Trasf.,,6.0
Kamaldeen Sulemana,65.1,Udinese,Casa,,6.0
Nicolas Kuhn,65.1,Cagliari,Trasf.,,5.0
Leonardo Pavoletti,64.9,Como,Casa,,s.v.
Giuseppe Ambrosino,64.9,Torino,Casa,,s.v.
Angeyoan Bonny,64.7,Milan,Trasf.,,5.0
Ze Pedro,64.6,Como,Casa,,6.5
Isaac,64.6,Bologna,Trasf.,,6.0
Rafiu Durosinmi,64.5,Juventus,Trasf.,,5.5
Antonio Caracciolo,64.4,Juventus,Trasf.,,5.0
Zakaria Aboukhlal,63.9,Napoli,Trasf.,,5.5
Luca Moro,63.7,Lazio,Trasf.,,5.5
Roberto Piccoli,63.5,Parma,Casa,,4.0
Yael Trepy,63.3,Como,Casa,,6.0
Amin Sarr,63.1,Bologna,Trasf.,,6.0
Vakoun Bayo,63.0,Atalanta,Trasf.,,4.5
Assane Diao,62.7,Cagliari,Trasf.,,s.v.
Konan Ndri,62.7,Cremonese,Casa,,s.v.
Benjamin Dominguez,62.6,Verona,Casa,,5.5
Robinio Vaz,62.5,Genoa,Trasf.,,s.v.
Antonio Sanabria,62.4,Lecce,Trasf.,,6.0
Ali Dembele,62.1,Napoli,Trasf.,,6.0
Jeff Ekhator,62.1,Roma,Casa,,6.0
Milan Djuric,62.1,,Trasf.,,7.0
Giovane,62.1,,Trasf.,,7.0
Mbala Nzola,62.0,,Trasf.,,6.0
Daniel Mosquera,61.5,Bologna,Trasf.,,5.5
Petar Ratkov,61.5,Sassuolo,Casa,,4.5
Sulemana,61.4,,Trasf.,,6.0
Nicholas Pierini,61.2,Lazio,Trasf.,,6.0
Lois Openda,60.3,Pisa,Casa,,s.v.
Iker Bravo,60.2,Atalanta,Trasf.,,5.5
Walid Cheddira,59.7,,Trasf.,,5.5
Alvaro Morata,59.3,Cagliari,Trasf.,,5.5
Idrissa Gueye,58.2,Atalanta,Trasf.,,6.0
Faris Moumbagna,58.0,Lecce,Trasf.,,5.0
