Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
Martin Baturina,89.9,Cagliari,Trasf.,🔥,9.5
Alisson Santos,87.6,Torino,Casa,🔥,10.5
Francisco Conceicao,87.4,Pisa,Casa,🔥,8.5
Kristian Thorstvedt,86.3,Lazio,Trasf.,🔥,7.5
Weston Mckennie,85.0,Pisa,Casa,🔥,6.0
Kouadio Kone,84.9,Genoa,Trasf.,🔥,5.5
Zambo Anguissa,84.3,Torino,Casa,🔥,6.0
Michael Folorunsho,84.0,Como,Casa,🔥,5.0
Bryan Cristante,83.3,Genoa,Trasf.,🔥,5.0
Ismael Kone,82.8,Lazio,Trasf.,🔥,6.5
Hakan Calhanoglu,81.5,Milan,Trasf.,,9.0
Piotr Zielinski,81.3,Milan,Trasf.,,6.0
Nico Paz,81.2,Cagliari,Trasf.,,4.5
Cristian Volpato,80.8,Lazio,Trasf.,,s.v.
Nicolo Fagioli,79.7,Parma,Casa,,5.0
Gustav Isaksen,79.3,Sassuolo,Casa,,5.5
Mario Pasalic,79.1,Udinese,Casa,,6.0
Nicolo Zaniolo,78.9,Atalanta,Trasf.,,8.0
Jens Odgaard,78.8,Verona,Casa,,6.0
Maximo Perrone,78.5,Cagliari,Trasf.,,6.0
Lorenzo Pellegrini,78.4,Genoa,Trasf.,,5.0
Adrian Bernabe,77.5,Fiorentina,Trasf.,,6.0
Omri Gandelman,77.4,Cremonese,Casa,,6.0
Nikola Vlasic,77.4,Napoli,Trasf.,,6.0
Kevin De Bruyne,77.3,Torino,Casa,,6.0
Jonathan Rowe,77.2,Verona,Casa,,9.5
Antonio Vergara,77.2,Torino,Casa,,5.5
Gaetano Oristanio,76.6,Fiorentina,Trasf.,,6.0
Marten De Roon,76.6,Udinese,Casa,,5.5
Niccolo Pisilli,76.5,Genoa,Trasf.,,5.5
Nicola Zalewski,76.5,Udinese,Casa,,7.5
Kephren Thuram,76.2,Pisa,Casa,,9.5
Luka Modric,75.5,Inter,Casa,,7.0
Federico Bernardeschi,74.5,Verona,Casa,,6.0
Matteo Tramoni,74.4,Juventus,Trasf.,,5.0
Jesper Karlstrom,74.2,Atalanta,Trasf.,,6.5
Manuel Locatelli,74.2,Pisa,Casa,,7.5
Samuele Ricci,74.1,Inter,Casa,,6.0
Maxence Caqueret,74.1,Cagliari,Trasf.,,7.0
Riccardo Sottil,73.8,Cremonese,Casa,,6.0
Jurgen Ekkelenkamp,73.5,Atalanta,Trasf.,,6.0
Kristjan Asllani,73.4,Napoli,Trasf.,,5.5
Eljif Elmas,72.6,Torino,Casa,,10.0
Henrikh Mkhitaryan,72.3,Milan,Trasf.,,5.5
Junior Messias,72.0,Roma,Casa,,9.5
Lassana Coulibaly,71.4,Cremonese,Casa,,7.0
Riccardo Orsolini,70.9,Verona,Casa,,5.0
Mandela Keita,70.4,Fiorentina,Trasf.,,6.5
Danilo Cataldi,70.4,Sassuolo,Casa,,6.0
Ruslan Malinovskiy,70.2,Roma,Casa,,s.v.
Lucas Da Cunha,70.1,Cagliari,Trasf.,,10.5
Nemanja Matic,70.0,Lazio,Trasf.,,6.0
Adrien Rabiot,69.1,Inter,Casa,,6.5
Edon Zhegrova,69.0,Pisa,Casa,,6.5
Kenneth Taylor,68.9,Sassuolo,Casa,,5.5
Lazar Samardzic,68.8,Udinese,Casa,,5.0
Luca Lipani,68.7,Lazio,Trasf.,,4.5
Ylber Ramadani,68.3,Cremonese,Casa,,6.5
Jakub Piotrowski,68.3,Atalanta,Trasf.,,6.0
Michel Aebischer,67.2,Juventus,Trasf.,,6.0
Alexis Saelemaekers,66.8,Inter,Casa,,6.5
Tommaso Pobega,66.7,Verona,Casa,,s.v.
Jari Vandeputte,66.2,Lecce,Trasf.,,5.0
Fabio Miretti,65.9,Pisa,Casa,,6.0
Gabriele Piccinini,65.9,Juventus,Trasf.,,5.5
Stephan El Shaarawy,65.7,Genoa,Trasf.,,7.5
Filip Kostic,65.5,Pisa,Casa,,s.v.
Ndary Adopo,65.4,Como,Casa,,6.0
Andy Diouf,65.3,Milan,Trasf.,,6.0
Mikael Ellertsson,65.2,Roma,Casa,,6.5
Franco Vazquez,65.0,Lecce,Trasf.,,5.0
Cesare Casadei,64.8,Napoli,Trasf.,,9.5
Matteo Politano,64.7,Torino,Casa,,7.5
Lennon Miller,64.7,Atalanta,Trasf.,,6.0
Morten Frendrup,64.7,Roma,Casa,,6.5
Ebenezer Akinsanmiro,64.6,Juventus,Trasf.,,6.0
Marius Marin,64.4,Juventus,Trasf.,,5.0
Nahuel Estevez,64.4,Fiorentina,Trasf.,,s.v.
Christian Kabasele,64.2,Atalanta,Trasf.,,6.0
Santiago Pierotti,64.2,Cremonese,Casa,,10.0
Mattia Zaccagni,64.1,Sassuolo,Casa,,5.5
Alessio Zerbin,64.1,Lecce,Trasf.,,6.0
Ivan Ilic,64.1,Napoli,Trasf.,,6.0
Alberto Grassi,64.0,Lecce,Trasf.,,s.v.
Luis Henrique,63.8,Milan,Trasf.,,5.0
Davide Frattesi,63.8,Milan,Trasf.,,5.5
Yunus Musah,63.8,,Trasf.,,5.0
