Giocatore,Index,Avversario,Campo,Top
kenan yildiz,93.9,genoa,casa,🔥
tasos douvikas,85.1,udinese,trasf.,🔥
che adams,84.5,pisa,trasf.,🔥
andrea pinamonti,83.2,cagliari,casa,🔥
gift orban,82.0,fiorentina,casa,🔥
santiago castro,81.7,cremonese,trasf.,🔥
david okereke,81.4,bologna,casa,🔥
giovanni simeone,81.3,pisa,trasf.,🔥
keinan davis,81.0,como,casa,🔥
domenico berardi,80.9,cagliari,casa,🔥
nikola krstovic,80.5,lecce,trasf.,
charles de ketelaere,78.6,lecce,trasf.,
armand lauriente,78.2,cagliari,casa,
duvan zapata,77.8,pisa,trasf.,
jonathan david,77.6,genoa,casa,
roberto piccoli,77.3,verona,trasf.,
sebastiano esposito,77.0,sassuolo,trasf.,
walid cheddira,75.4,cagliari,casa,
antonio sanabria,74.6,bologna,casa,
assane diao,74.2,udinese,trasf.,
stefano moreo,73.8,torino,casa,
angeyoan bonny,73.8,roma,casa,
lorenzo colombo,73.2,juventus,trasf.,
rasmus hojlund,72.9,milan,casa,
federico bonazzoli,72.3,bologna,casa,
christopher nkunku,71.8,napoli,trasf.,
nicolo cambiaghi,71.5,cremonese,trasf.,
tijjani noslin,70.8,parma,casa,
thijs dallinga,70.6,cremonese,trasf.,
donyell malen,69.9,inter,trasf.,
leonardo pavoletti,69.8,sassuolo,trasf.,
kieron bowie,69.3,fiorentina,casa,
robinio vaz,68.3,inter,trasf.,
nikola stulic,67.9,atalanta,casa,
semih kilicsoy,67.9,sassuolo,trasf.,
milan djuric,67.8,lazio,trasf.,
luca moro,67.7,cagliari,casa,
vitinha,67.4,juventus,trasf.,
mateo pellegrino,67.3,lazio,trasf.,
nikola moro,67.2,cremonese,trasf.,
matteo cancellieri,66.9,parma,casa,
moise kean,66.6,verona,trasf.,
antonio caracciolo,66.4,torino,casa,
benjamin dominguez,66.3,cremonese,trasf.,
jeff ekhator,66.3,juventus,trasf.,
petar ratkov,66.3,parma,casa,
alvaro morata,66.2,udinese,trasf.,
niclas fullkrug,65.8,napoli,trasf.,
amin sarr,65.7,fiorentina,casa,
sulemana,65.3,sassuolo,trasf.,
dusan vlahovic,65.2,genoa,casa,
pio esposito,64.6,roma,casa,
caleb ekuban,64.5,juventus,trasf.,
kamaldeen sulemana,64.4,lecce,trasf.,
nicolas kuhn,64.3,udinese,trasf.,
giovane,64.2,fiorentina,casa,
henrik meister,64.0,torino,casa,
lois openda,63.9,genoa,casa,
pedro,63.8,parma,casa,
christian kouame,63.5,verona,trasf.,
giacomo raspadori,63.0,lecce,trasf.,
andrias edmundsson,62.4,fiorentina,casa,
yael trepy,61.8,sassuolo,trasf.,
romelu lukaku,61.8,milan,casa,
adrian benedyczak,61.4,lazio,trasf.,
mbala nzola,61.0,,trasf.,
vakoun bayo,60.1,como,casa,
patrick cutrone,59.7,lazio,trasf.,
santiago gimenez,58.3,napoli,trasf.,
ze pedro,58.0,sassuolo,trasf.,
idrissa gueye,57.8,como,casa,
daniel mosquera,57.2,fiorentina,casa,
ali dembele,56.3,pisa,trasf.,
iker bravo,56.3,como,casa,
isaac,56.2,fiorentina,casa,
konan ndri,56.1,atalanta,casa,
giuseppe ambrosino,56.0,milan,casa,
nicholas pierini,54.2,cagliari,casa,
