Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
marcus thuram,90.6,cagliari,casa,🔥,10.0
donyell malen,84.9,atalanta,casa,🔥,6.5
kenan yildiz,81.6,bologna,casa,🔥,6.0
che adams,81.3,cremonese,trasf.,🔥,5.5
tasos douvikas,81.1,sassuolo,trasf.,🔥,5.0
giovanni simeone,80.2,cremonese,trasf.,🔥,5.5
angeyoan bonny,79.3,cagliari,casa,🔥,6.0
rasmus hojlund,79.1,lazio,casa,🔥,4.5
kieron bowie,78.8,milan,casa,🔥,9.0
lorenzo colombo,77.3,pisa,trasf.,🔥,10.0
armand lauriente,77.3,como,casa,,8.0
gift orban,76.6,milan,casa,,5.0
stefano moreo,76.2,genoa,casa,,5.0
david okereke,76.1,torino,casa,,6.0
vitinha,75.9,pisa,trasf.,,6.0
sebastiano esposito,75.9,inter,trasf.,,4.5
niclas fullkrug,75.4,verona,trasf.,,5.0
caleb ekuban,74.5,pisa,trasf.,,6.0
roberto piccoli,74.4,lecce,trasf.,,5.5
antonio sanabria,74.3,torino,casa,,4.5
rafael leao,74.3,verona,trasf.,,7.0
giacomo raspadori,73.8,roma,trasf.,,6.5
jesus rodriguez,73.6,sassuolo,trasf.,,5.5
christopher nkunku,72.5,verona,trasf.,,6.0
arkadiusz milik,72.2,bologna,casa,,6.0
gianluca scamacca,71.5,roma,trasf.,,6.0
federico bonazzoli,71.5,torino,casa,,7.0
antonio caracciolo,70.6,genoa,casa,,5.0
walid cheddira,70.5,como,casa,,5.0
jonathan david,70.2,bologna,casa,,10.0
charles de ketelaere,70.2,roma,trasf.,,5.5
milan djuric,69.3,udinese,trasf.,,s.v.
andrea pinamonti,68.9,como,casa,,6.0
tijjani noslin,68.7,napoli,trasf.,,6.5
jeff ekhator,68.6,pisa,trasf.,,9.5
assane diao,68.4,sassuolo,trasf.,,5.5
nikola krstovic,67.8,roma,trasf.,,9.5
amin sarr,67.6,milan,casa,,s.v.
rafiu durosinmi,67.6,genoa,casa,,5.0
domenico berardi,67.0,como,casa,,4.0
santiago castro,66.9,juventus,trasf.,,5.0
pio esposito,66.7,cagliari,casa,,6.5
manor solomon,66.6,lecce,trasf.,,5.0
gennaro borrelli,66.0,inter,trasf.,,4.5
petar ratkov,65.7,napoli,trasf.,,6.0
soule,65.6,atalanta,casa,,6.5
semih kilicsoy,65.6,inter,trasf.,,6.0
matteo cancellieri,65.6,napoli,trasf.,,11.0
nikola stulic,65.5,fiorentina,casa,,5.5
santiago gimenez,65.3,verona,trasf.,,5.0
henrik meister,64.9,genoa,casa,,5.0
giovane,64.5,milan,casa,,5.0
nicolas kuhn,64.4,sassuolo,trasf.,,5.5
sulemana,64.0,inter,trasf.,,5.5
idrissa gueye,63.9,parma,casa,,6.0
alvaro morata,63.8,sassuolo,trasf.,,4.0
nicolo cambiaghi,63.7,juventus,trasf.,,5.0
lameck banda,63.7,fiorentina,casa,,6.0
nikola moro,63.2,juventus,trasf.,,6.0
christian kouame,63.1,lecce,trasf.,,6.0
adam buksa,63.1,parma,casa,,5.5
robinio vaz,63.1,atalanta,casa,,6.0
adrian benedyczak,62.9,udinese,trasf.,,5.5
alieu njie,62.1,cremonese,trasf.,,5.5
lois openda,61.7,bologna,casa,,s.v.
pedro,61.3,napoli,trasf.,,5.5
vakoun bayo,61.0,parma,casa,,4.5
patrick cutrone,60.8,udinese,trasf.,,6.0
konan ndri,60.6,fiorentina,casa,,5.5
ze pedro,60.2,inter,trasf.,,5.0
luca moro,59.8,como,casa,,s.v.
andrias edmundsson,59.6,milan,casa,,5.5
mbala nzola,59.6,,trasf.,,11.5
andrea belotti,59.3,inter,trasf.,,s.v.
yael trepy,59.1,inter,trasf.,,s.v.
kamaldeen sulemana,58.2,roma,trasf.,,s.v.
iker bravo,58.0,parma,casa,,5.5
pontus almqvist,57.8,udinese,trasf.,,5.5
daniel mosquera,57.6,milan,casa,,6.0
ali dembele,56.4,cremonese,trasf.,,6.0
isaac,56.2,milan,casa,,s.v.
giuseppe ambrosino,56.1,lazio,casa,,s.v.
nicholas pierini,53.9,como,casa,,6.0
