Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
nico paz,94.1,sassuolo,trasf.,🔥,9.5
martin baturina,89.8,sassuolo,trasf.,🔥,5.0
christian pulisic,86.9,verona,trasf.,🔥,5.0
gustav isaksen,83.1,napoli,trasf.,🔥,5.0
adrien rabiot,82.9,verona,trasf.,🔥,10.5
matteo politano,82.8,lazio,casa,🔥,5.0
cristian volpato,82.5,como,casa,🔥,9.5
youssouf fofana,81.5,verona,trasf.,🔥,6.0
lucas da cunha,81.2,sassuolo,trasf.,🔥,5.5
alexis saelemaekers,79.9,verona,trasf.,🔥,6.5
francisco conceicao,79.7,bologna,casa,,7.0
kephren thuram,79.6,bologna,casa,,10.0
arthur atta,79.6,parma,casa,,6.0
eljif elmas,79.4,lazio,casa,,5.0
scott mctominay,79.3,lazio,casa,,5.0
santiago pierotti,79.0,fiorentina,casa,,5.0
piotr zielinski,77.7,cagliari,casa,,10.0
nicolo barella,77.1,cagliari,casa,,10.5
cesare casadei,76.5,cremonese,trasf.,,6.0
jari vandeputte,76.4,torino,casa,,6.5
matteo tramoni,76.4,genoa,casa,,5.5
abdou harroui,76.3,milan,casa,,5.0
ruben loftuscheek,75.9,verona,trasf.,,5.5
riccardo orsolini,75.8,juventus,trasf.,,5.5
adrian bernabe,75.8,udinese,trasf.,,6.5
alessandro deiola,75.3,inter,trasf.,,6.0
lazar samardzic,75.2,roma,trasf.,,s.v.
jacopo fazzini,74.9,lecce,trasf.,,5.5
tommaso baldanzi,74.8,atalanta,casa,,8.0
kristian thorstvedt,74.8,como,casa,,6.5
ismael kone,74.4,como,casa,,6.0
malthe hojholt,73.6,genoa,casa,,5.5
luka modric,73.5,verona,trasf.,,6.5
antoine bernede,72.7,milan,casa,,5.5
jurgen ekkelenkamp,72.7,parma,casa,,5.0
toma basic,72.7,napoli,trasf.,,10.0
nikola vlasic,72.0,cremonese,trasf.,,6.0
michael folorunsho,71.9,inter,trasf.,,6.0
hakan calhanoglu,71.3,cagliari,casa,,6.5
bryan cristante,71.1,atalanta,casa,,6.0
samuele ricci,70.7,verona,trasf.,,6.0
romano floriani,70.7,torino,casa,,6.0
maximo perrone,70.7,sassuolo,trasf.,,5.5
henrikh mkhitaryan,70.6,cagliari,casa,,6.5
alisson santos,70.5,lazio,casa,,5.5
mario pasalic,70.3,roma,trasf.,,s.v.
ardon jashari,69.6,verona,trasf.,,5.0
lassana coulibaly,69.6,fiorentina,casa,,6.0
nicola zalewski,69.5,roma,trasf.,,6.0
ylber ramadani,69.3,fiorentina,casa,,6.5
mehdi leris,69.1,genoa,casa,,5.5
alessio zerbin,69.1,torino,casa,,6.0
junior messias,68.8,pisa,trasf.,,6.0
youssef maleh,68.6,fiorentina,casa,,3.0
nicolo zaniolo,68.4,parma,casa,,4.0
petar sucic,67.8,cagliari,casa,,5.5
ebenezer akinsanmiro,67.7,genoa,casa,,5.5
cher ndour,67.5,lecce,trasf.,,5.0
stephan el shaarawy,67.2,atalanta,casa,,6.0
christian kabasele,67.1,parma,casa,,5.0
rolando mandragora,66.8,lecce,trasf.,,7.5
mikael ellertsson,66.6,pisa,trasf.,,4.0
jonathan rowe,66.2,juventus,trasf.,,6.0
michel aebischer,66.2,genoa,casa,,5.0
marten de roon,66.2,roma,trasf.,,7.0
luis henrique,65.9,cagliari,casa,,6.0
stanislav lobotka,65.8,lazio,casa,,4.5
federico bernardeschi,65.7,juventus,trasf.,,s.v.
maxence caqueret,65.7,sassuolo,trasf.,,4.5
gvidas gineitis,65.7,cremonese,trasf.,,6.0
remo freuler,65.6,juventus,trasf.,,5.5
emirhan ilkhan,65.6,cremonese,trasf.,,6.0
omri gandelman,65.4,fiorentina,casa,,6.5
nemanja matic,65.4,como,casa,,6.5
idrissa toure,65.2,genoa,casa,,5.5
zambo anguissa,65.1,lazio,casa,,4.5
gianluca gaetano,65.1,inter,trasf.,,5.5
ederson,65.1,roma,trasf.,,5.0
ndary adopo,65.0,inter,trasf.,,6.0
kouadio kone,65.0,atalanta,casa,,5.0
mattia zaccagni,64.9,napoli,trasf.,,3.5
alberto grassi,64.7,torino,casa,,5.0
manuel locatelli,64.7,bologna,casa,,6.5
gaetano oristanio,64.6,udinese,trasf.,,6.0
morten frendrup,64.6,pisa,trasf.,,5.5
jakub piotrowski,64.3,parma,casa,,5.5
alieu fadera,64.0,como,casa,,6.0
jack harrison,63.8,lecce,trasf.,,9.5
simon sohm,63.6,lecce,trasf.,,5.0
jesper karlstrom,63.5,parma,casa,,5.5
niccolo pisilli,63.2,atalanta,casa,,5.0
kenneth taylor,63.2,napoli,trasf.,,8.0
faustino anjorin,63.2,cremonese,trasf.,,6.0
gabriele piccinini,63.1,genoa,casa,,6.0
fisayo delebashiru,63.1,napoli,trasf.,,6.0
kevin de bruyne,63.0,lazio,casa,,4.5
danilo cataldi,62.6,napoli,trasf.,,6.0
giovanni fabbian,62.5,lecce,trasf.,,6.0
hans caviglia,62.5,udinese,trasf.,,7.0
billy gilmour,62.2,lazio,casa,,5.5
nahuel estevez,61.8,udinese,trasf.,,6.0
matteo prati,61.6,cremonese,trasf.,,5.5
sergi roberto,61.5,sassuolo,trasf.,,6.5
jens odgaard,61.3,juventus,trasf.,,s.v.
