Giocatore,Index,Avversario,Campo,Top
nico paz,86.8,genoa,trasf.,🔥
hakan calhanoglu,86.0,torino,trasf.,🔥
cristian volpato,84.1,fiorentina,trasf.,🔥
piotr zielinski,83.5,torino,trasf.,🔥
nikola vlasic,82.8,inter,casa,🔥
arthur atta,82.3,lazio,trasf.,🔥
nicolo barella,81.5,torino,trasf.,🔥
martin baturina,80.9,genoa,trasf.,🔥
toma basic,80.3,udinese,casa,🔥
adrien rabiot,79.7,juventus,casa,🔥
tommaso baldanzi,79.7,bologna,trasf.,
francisco conceicao,79.7,milan,trasf.,
lucas da cunha,79.1,genoa,trasf.,
jonathan rowe,78.5,roma,casa,
mattia zaccagni,78.3,udinese,casa,
maximo perrone,77.4,genoa,trasf.,
lassana coulibaly,75.2,verona,trasf.,
daniel maldini,75.2,udinese,casa,
matteo tramoni,75.0,parma,trasf.,
riccardo orsolini,74.4,roma,casa,
adrian bernabe,73.7,pisa,casa,
kristian thorstvedt,73.7,fiorentina,trasf.,
luka modric,73.6,juventus,casa,
jurgen ekkelenkamp,73.4,lazio,trasf.,
alieu fadera,73.4,fiorentina,trasf.,
weston mckennie,73.2,milan,trasf.,
mario pasalic,72.3,cagliari,trasf.,
manuel locatelli,72.1,milan,trasf.,
jack harrison,71.9,sassuolo,casa,
marten de roon,71.8,cagliari,trasf.,
ismael kone,71.8,fiorentina,trasf.,
alisson santos,71.3,cremonese,casa,
kephren thuram,71.3,milan,trasf.,
matteo politano,71.2,cremonese,casa,
gianluca gaetano,71.1,atalanta,casa,
junior messias,71.0,como,casa,
jacopo fazzini,70.8,sassuolo,casa,
nicola zalewski,70.5,cagliari,trasf.,
bryan cristante,69.7,bologna,trasf.,
cher ndour,69.7,sassuolo,casa,
henrikh mkhitaryan,69.7,torino,trasf.,
ederson,69.5,cagliari,trasf.,
santiago pierotti,69.5,verona,trasf.,
remo freuler,69.0,roma,casa,
fisayo delebashiru,68.2,udinese,casa,
cesare casadei,68.2,inter,casa,
scott mctominay,68.1,cremonese,casa,
abdou harroui,67.9,lecce,casa,
jesper karlstrom,67.6,lazio,trasf.,
nicolo fagioli,67.1,sassuolo,casa,
ylber ramadani,66.8,verona,trasf.,
danilo cataldi,66.6,udinese,casa,
nicolo zaniolo,66.4,lazio,trasf.,
maxence caqueret,65.9,genoa,trasf.,
gvidas gineitis,65.9,inter,casa,
christian pulisic,65.6,juventus,casa,
omri gandelman,65.4,verona,trasf.,
gustav isaksen,65.4,udinese,casa,
alessandro deiola,65.2,atalanta,casa,
eljif elmas,65.2,cremonese,casa,
samuele ricci,65.1,juventus,casa,
alexis saelemaekers,65.0,juventus,casa,
hans caviglia,64.8,pisa,casa,
antoine bernede,64.7,lecce,casa,
kevin de bruyne,64.7,cremonese,casa,
ruben loftuscheek,64.7,juventus,casa,
emirhan ilkhan,64.6,inter,casa,
patrizio masini,64.4,como,casa,
stephan el shaarawy,64.3,bologna,trasf.,
rolando mandragora,64.2,sassuolo,casa,
kenneth taylor,64.2,udinese,casa,
gabriele piccinini,64.2,parma,trasf.,
alessio zerbin,64.1,napoli,trasf.,
lazar samardzic,64.0,cagliari,trasf.,
roberto gagliardini,63.7,lecce,casa,
nemanja matic,63.6,fiorentina,trasf.,
albert gudmundsson,63.6,sassuolo,casa,
zambo anguissa,63.4,cremonese,casa,
