Giocatore,Index,Avversario,Campo,Top
federico dimarco,86.0,roma,casa,🔥
adam marusic,84.1,parma,casa,🔥
davide zappacosta,83.4,lecce,trasf.,🔥
alessandro bastoni,82.5,roma,casa,🔥
giorgio scalvini,80.7,lecce,trasf.,🔥
bremer,80.5,genoa,casa,🔥
manuel akanji,79.6,roma,casa,🔥
dodo,79.4,verona,trasf.,🔥
fabiano parisi,78.9,verona,trasf.,🔥
yann bisseck,78.2,roma,casa,🔥
oliver provstgaard,78.1,parma,casa,
brooke nortoncuffy,77.7,juventus,trasf.,
lloyd kelly,77.7,genoa,casa,
leonardo spinazzola,77.1,milan,casa,
mergim vojvoda,76.7,udinese,trasf.,
strahinja pavlovic,76.4,napoli,trasf.,
andrea cambiaso,75.9,genoa,casa,
denzel dumfries,75.7,roma,casa,
robin gosens,75.7,verona,trasf.,
marcoliver kempf,75.6,udinese,trasf.,
alberto moreno,75.5,udinese,trasf.,
alessandro buongiorno,75.0,milan,casa,
evan ndicka,74.5,inter,trasf.,
diego carlos,74.5,udinese,trasf.,
carlos augusto,73.7,roma,casa,
mario gila,72.9,parma,casa,
koni de winter,72.3,napoli,trasf.,
miguel gutierrez,72.1,milan,casa,
rafik belghali,72.0,fiorentina,casa,
fikayo tomori,71.8,napoli,trasf.,
samuele angori,71.2,torino,casa,
juan miranda,71.0,cremonese,trasf.,
yerry mina,70.5,sassuolo,trasf.,
nuno tavares,70.4,parma,casa,
patric,70.4,parma,casa,
zachary athekame,70.3,napoli,trasf.,
johan vasquez,70.0,juventus,trasf.,
guillermo maripan,69.6,pisa,trasf.,
leo ostigard,69.4,juventus,trasf.,
odilon kossounou,69.3,lecce,trasf.,
antonino gallo,69.2,atalanta,casa,
sam beukema,69.0,milan,casa,
marcus pedersen,68.9,pisa,trasf.,
rafael obrador,68.6,pisa,trasf.,
charalampos lykogiannis,68.4,cremonese,trasf.,
filippo terracciano,68.4,bologna,casa,
alex valle,68.4,udinese,trasf.,
victor nelsson,67.6,fiorentina,casa,
simone canestrelli,67.3,torino,casa,
raul albiol,67.2,torino,casa,
davide bartesaghi,67.0,napoli,trasf.,
jeandaniel akpaakpro,66.9,fiorentina,casa,
jay idzes,66.9,cagliari,casa,
ignace van der brempt,66.6,udinese,trasf.,
sebastiano luperto,66.5,bologna,casa,
enzo ebosse,66.2,fiorentina,casa,
martin frese,65.8,fiorentina,casa,
emanuele valeri,65.8,lazio,trasf.,
joao mario,65.7,genoa,casa,
raoul bellanova,65.7,lecce,trasf.,
isak hien,65.7,lecce,trasf.,
devyne rensch,65.5,inter,trasf.,
nicolas valentini,65.2,fiorentina,casa,
daniele rugani,65.0,genoa,casa,
jhon lucumi,64.7,cremonese,trasf.,
marco palestra,64.7,sassuolo,trasf.,
thomas kristensen,64.4,como,casa,
berat gjimshiti,64.3,lecce,trasf.,
gabriele zappa,64.2,sassuolo,trasf.,
luca pellegrini,63.5,parma,casa,
federico gatti,63.4,genoa,casa,
martin vitik,63.3,cremonese,trasf.,
valentino lazaro,63.3,pisa,trasf.,
konstantinos tsimikas,63.3,inter,trasf.,
pasquale mazzocchi,63.1,milan,casa,
aaron martin,63.1,juventus,trasf.,
estupinan,63.1,napoli,trasf.,
nadir zortea,63.0,cremonese,trasf.,
arturo calabresi,63.0,torino,casa,
mario hermoso,63.0,inter,trasf.,
stefan de vrij,62.9,roma,casa,
francesco folino,62.8,bologna,casa,
stefano sabelli,62.6,juventus,trasf.,
tommaso barbieri,62.4,bologna,casa,
tarik muharemovic,62.3,cagliari,casa,
luca ranieri,62.1,verona,trasf.,
pietro comuzzo,62.0,verona,trasf.,
lorenzo bernasconi,62.0,lecce,trasf.,
federico ceccherini,61.9,bologna,casa,
ardian ismajli,61.9,pisa,trasf.,
sebastian walukiewicz,61.9,cagliari,casa,
matteo bianchetti,61.9,bologna,casa,
nicolo casale,61.9,cremonese,trasf.,
marin pongracic,61.9,verona,trasf.,
mariano troilo,61.7,lazio,trasf.,
enrico del prato,61.5,lazio,trasf.,
alessandro circati,61.4,lazio,trasf.,
danilo veiga,61.4,atalanta,casa,
saul coco,61.2,pisa,trasf.,
juan cuadrado,61.2,torino,casa,
luca marianucci,61.1,pisa,trasf.,
josh doig,60.5,cagliari,casa,
daniel oyegoke,60.3,fiorentina,casa,
oumar solet,60.3,como,casa,
kingsley ehizibue,60.3,como,casa,
ivan smolcic,60.3,udinese,trasf.,
giuseppe pezzella,60.1,bologna,casa,
mathias olivera,60.1,milan,casa,
tiago gabriel,60.1,atalanta,casa,
hassane kamara,60.0,como,casa,
francesco coppola,60.0,torino,casa,
juan jesus,60.0,milan,casa,
jan ziolkowski,59.8,inter,trasf.,
juan cabal,59.8,genoa,casa,
torbjorn heggem,59.8,cremonese,trasf.,
juan arizala,59.1,como,casa,
gaby jean,59.1,atalanta,casa,
matteo darmian,58.9,roma,casa,
alessandro marcandalli,58.7,juventus,trasf.,
alberto dossena,58.4,sassuolo,trasf.,
daniele ghilardi,58.3,inter,trasf.,
francesco acerbi,58.2,roma,casa,
honest ahanor,58.0,lecce,trasf.,
jamil siebert,57.9,atalanta,casa,
sead kolasinac,57.8,lecce,trasf.,
corrie ndaba,57.3,atalanta,casa,
filippo romagna,56.9,cagliari,casa,
tobias slotsager,56.5,fiorentina,casa,
manuel lazzari,56.4,parma,casa,
lautaro valenti,56.4,lazio,trasf.,
niels nkounkou,56.2,pisa,trasf.,
angelino,56.0,inter,trasf.,
mikayil faye,55.9,bologna,casa,
rosen bozhinov,55.8,torino,casa,
adam masina,55.4,pisa,trasf.,
rui modesto,55.1,como,casa,
eddy kouadio,54.9,verona,trasf.,
fallou cham,54.7,fiorentina,casa,
niccolo fortini,54.5,verona,trasf.,
elseid hysaj,54.3,parma,casa,
pol lirola,53.4,fiorentina,casa,
sebastian otoa,53.2,juventus,trasf.,
mattia viti,52.7,verona,trasf.,
saba goglichidze,52.5,como,casa,
mathias lovik,52.2,lazio,trasf.,
cristiano biraghi,52.2,pisa,trasf.,
owen kouassi,52.0,atalanta,casa,
mateus lusuardi,51.9,torino,casa,
pablo mari,51.4,verona,trasf.,
alessandro di pardo,51.0,sassuolo,trasf.,
matteo palma,51.0,como,casa,
matias perez,51.0,atalanta,casa,
giovanni bonfanti,50.9,torino,casa,
valentin carboni,50.4,juventus,trasf.,
