Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
federico dimarco,85.9,cagliari,casa,🔥,8.0
leonardo spinazzola,84.6,lazio,casa,🔥,4.5
alex valle,84.4,sassuolo,trasf.,🔥,8.5
denzel dumfries,84.1,cagliari,casa,🔥,7.0
robin gosens,84.0,lecce,trasf.,🔥,s.v.
alessandro buongiorno,81.0,lazio,casa,🔥,4.0
alessandro bastoni,80.9,cagliari,casa,🔥,5.0
hassane kamara,80.3,parma,casa,🔥,6.0
giorgio scalvini,80.3,roma,trasf.,🔥,6.0
mergim vojvoda,80.2,sassuolo,trasf.,🔥,5.0
leo ostigard,80.0,pisa,trasf.,,5.5
manuel akanji,79.1,cagliari,casa,,6.5
davide bartesaghi,78.2,verona,trasf.,,5.5
marcoliver kempf,78.0,sassuolo,trasf.,,5.0
davide zappacosta,77.7,roma,trasf.,,6.0
marcus pedersen,76.0,cremonese,trasf.,,6.5
miguel gutierrez,75.9,lazio,casa,,5.0
strahinja pavlovic,75.5,verona,trasf.,,6.0
martin frese,75.3,milan,casa,,3.5
alberto moreno,74.9,sassuolo,trasf.,,4.5
jacobo ramon,74.8,sassuolo,trasf.,,4.5
zachary athekame,74.5,verona,trasf.,,5.5
patric,74.4,napoli,trasf.,,6.0
adam obert,74.2,inter,trasf.,,6.0
dodo,74.2,lecce,trasf.,,6.0
rafael obrador,74.1,cremonese,trasf.,,6.0
diego carlos,73.2,sassuolo,trasf.,,6.5
oumar solet,72.8,parma,casa,,5.5
victor nelsson,72.8,milan,casa,,6.0
thomas kristensen,72.5,parma,casa,,6.0
aaron martin,72.4,pisa,trasf.,,6.0
evan ndicka,72.0,atalanta,casa,,6.0
simone canestrelli,71.6,genoa,casa,,9.0
emil holm,71.3,bologna,casa,,6.5
francesco acerbi,71.3,cagliari,casa,,5.0
sebastiano luperto,71.2,torino,casa,,6.5
lorenzo bernasconi,71.0,roma,trasf.,,6.0
koni de winter,71.0,verona,trasf.,,4.0
filippo terracciano,71.0,torino,casa,,6.0
johan vasquez,70.8,pisa,trasf.,,5.5
mehmet celik,70.6,atalanta,casa,,5.5
rafik belghali,70.6,milan,casa,,5.5
joao mario,70.5,bologna,casa,,6.0
luca marianucci,70.1,cremonese,trasf.,,6.5
devyne rensch,69.6,atalanta,casa,,7.0
juan jesus,68.9,lazio,casa,,5.0
antonino gallo,68.3,fiorentina,casa,,7.0
