,Giocatore,Index,Avversario,Campo,Top
1,Kenan Yildiz,93.6,Udinese,Trasf.,🔥
2,Donyell Malen,91.2,Como,Trasf.,🔥
3,Keinan Davis,89.6,Juventus,Casa,🔥
4,Gianluca Scamacca,84.3,Inter,Trasf.,🔥
5,Santiago Castro,84,Sassuolo,Trasf.,🔥
6,Armand Lauriente,83.5,Bologna,Casa,🔥
7,Rasmus Hojlund,83.2,Lecce,Casa,🔥
8,Tasos Douvikas,83.2,Roma,Casa,🔥
9,Domenico Berardi,83,Bologna,Casa,🔥
10,Che Adams,80.7,Parma,Casa,🔥
11,Lorenzo Colombo,79.4,Verona,Trasf.,
12,Gift Orban,79.2,Genoa,Casa,
13,Jesus Rodriguez,79,Roma,Casa,
14,Giovanni Simeone,78.9,Parma,Casa,
15,Marcus Thuram,78.6,Atalanta,Casa,
16,Rafael Leao,78.3,Lazio,Trasf.,
17,Vitinha,77.9,Verona,Trasf.,
18,Federico Bonazzoli,77.8,Fiorentina,Casa,
19,Duvan Zapata,77.3,Parma,Casa,
20,Andrea Pinamonti,76,Bologna,Casa,
21,Nikola Krstovic,75.5,Inter,Trasf.,
22,Christopher Nkunku,74.5,Lazio,Trasf.,
23,Romelu Lukaku,73.6,Lecce,Casa,
24,Semih Kilicsoy,72.4,Pisa,Trasf.,
25,Caleb Ekuban,72.3,Verona,Trasf.,
26,Lameck Banda,72.2,Napoli,Trasf.,
27,Sebastiano Esposito,71,Pisa,Trasf.,
28,Matteo Cancellieri,70.6,Milan,Casa,
29,Tijjani Noslin,70.2,Milan,Casa,
30,Pedro,69.8,Milan,Casa,
31,Mateo Pellegrino,69.4,Torino,Trasf.,
32,David Okereke,68.8,Fiorentina,Casa,
33,Stefano Moreo,68.6,Cagliari,Casa,
34,Dusan Vlahovic,67.9,Udinese,Trasf.,
35,Giovane,66.9,Genoa,Casa,
36,Pio Esposito,66.7,Atalanta,Casa,
37,Milan Djuric,66.6,Torino,Trasf.,
38,Nikola Stulic,66.4,Napoli,Trasf.,
39,Andrias Edmundsson,66.3,Genoa,Casa,
40,Walid Cheddira,66.3,Bologna,Casa,
41,Angeyoan Bonny,66.3,Atalanta,Casa,
42,Niclas Fullkrug,66.3,Lazio,Trasf.,
43,Benjamin Dominguez,65.7,Sassuolo,Trasf.,
44,Nicolo Cambiaghi,65.5,Sassuolo,Trasf.,
45,Sulemana,65.4,Pisa,Trasf.,
46,Luca Moro,65.4,Bologna,Casa,
47,Adam Buksa,65.3,Juventus,Casa,
48,Alieu Njie,65.3,Parma,Casa,
49,Antonio Sanabria,65.3,Fiorentina,Casa,
50,Nikola Moro,64.9,Sassuolo,Trasf.,
51,Yael Trepy,64.5,Pisa,Trasf.,
52,Gennaro Borrelli,64.4,Pisa,Trasf.,
53,Jeff Ekhator,64.2,Verona,Trasf.,
54,Mbala Nzola,63.9,,Trasf.,
55,Jamie Vardy,63.9,Fiorentina,Casa,
56,Adrian Benedyczak,63.9,Torino,Trasf.,
57,Rafiu Durosinmi,63.9,Cagliari,Casa,
58,Amin Sarr,63.9,Genoa,Casa,
59,Henrik Meister,63.8,Cagliari,Casa,
60,Nicolas Kuhn,63.6,Roma,Casa,
61,Alvaro Morata,63.3,Roma,Casa,
62,Daniel Mosquera,63,Genoa,Casa,
63,Leonardo Pavoletti,62.9,Pisa,Trasf.,
64,Ze Pedro,62.8,Pisa,Trasf.,
65,Patrick Cutrone,62.8,Torino,Trasf.,
66,Roberto Piccoli,62.7,Cremonese,Trasf.,
67,Christian Kouame,62.5,Cremonese,Trasf.,
68,Jonathan David,62.4,Udinese,Trasf.,
69,Kamaldeen Sulemana,62.3,Inter,Trasf.,
70,Konan Ndri,62.3,Napoli,Trasf.,
71,Antonio Caracciolo,62.1,Cagliari,Casa,
72,Vakoun Bayo,62,Juventus,Casa,
73,Petar Ratkov,60.8,Milan,Casa,
74,Robinio Vaz,60.1,Como,Trasf.,
75,Zakaria Aboukhlal,60,Parma,Casa,
76,Isaac,59.4,Genoa,Casa,
77,Idrissa Gueye,58.4,Juventus,Casa,
78,Thijs Dallinga,58,Sassuolo,Trasf.,
79,Giuseppe Ambrosino,57.8,Lecce,Casa,
80,Lois Openda,57.6,Udinese,Trasf.,
81,Assane Diao,56.5,Roma,Casa,
82,Nicholas Pierini,56.3,Bologna,Casa,
83,Ali Dembele,55.4,Parma,Casa,
84,Iker Bravo,54.7,Juventus,Casa,
85,Faris Moumbagna,53.1,Fiorentina,Casa,
