Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
Kenan Yildiz,91.4,Sassuolo,Casa,🔥,9.0
Tasos Douvikas,90.3,Pisa,Casa,🔥,10.0
Rasmus Hojlund,89.9,Cagliari,Trasf.,🔥,6.0
Donyell Malen,88.6,Lecce,Casa,🔥,6.0
Gianluca Scamacca,88.4,Verona,Casa,🔥,5.5
Keinan Davis,88.3,Genoa,Trasf.,🔥,9.0
Nikola Krstovic,88.2,Verona,Casa,🔥,6.0
Stefano Moreo,82.5,Como,Trasf.,🔥,4.0
Vitinha,81.5,Udinese,Casa,🔥,5.0
Charles De Ketelaere,81.4,Verona,Casa,🔥,5.5
Mateo Pellegrino,80.8,Cremonese,Casa,,5.0
Armand Lauriente,80.2,Juventus,Trasf.,,6.0
Federico Bonazzoli,80.2,Parma,Trasf.,,7.0
Christopher Nkunku,79.8,Torino,Casa,,6.0
Jesus Rodriguez,79.7,Pisa,Casa,,6.0
David Okereke,78.8,Parma,Trasf.,,9.0
Che Adams,77.5,Milan,Trasf.,,6.5
Domenico Berardi,77.4,Juventus,Trasf.,,8.0
Giovanni Simeone,76.7,Milan,Trasf.,,10.5
Lorenzo Colombo,76.3,Udinese,Casa,,5.0
Nicolo Cambiaghi,76.2,Lazio,Casa,,5.5
Roberto Piccoli,74.9,Inter,Casa,,s.v.
Rafael Leao,74.5,Torino,Casa,,4.0
Santiago Castro,73.7,Lazio,Casa,,6.0
Pio Esposito,73.6,Fiorentina,Trasf.,,10.0
Andrea Pinamonti,73.0,Juventus,Trasf.,,10.0
Duvan Zapata,72.8,Milan,Trasf.,,6.0
Moise Kean,72.7,Inter,Casa,,6.0
Lameck Banda,71.7,Roma,Trasf.,,5.5
Assane Diao,70.8,Pisa,Casa,,11.5
Sebastiano Esposito,70.0,Napoli,Casa,,6.0
Leonardo Pavoletti,70.0,Napoli,Casa,,9.0
Milan Djuric,69.3,Cremonese,Casa,,6.0
Romelu Lukaku,68.5,Cagliari,Trasf.,,s.v.
Kamaldeen Sulemana,68.2,Verona,Casa,,7.0
Kieron Bowie,67.8,Atalanta,Trasf.,,5.0
Nikola Moro,67.4,Lazio,Casa,,6.0
Semih Kilicsoy,67.0,Napoli,Casa,,5.0
Antonio Caracciolo,66.8,Como,Trasf.,,4.5
Niclas Fullkrug,66.3,Torino,Casa,,5.0
Thijs Dallinga,66.2,Lazio,Casa,,5.5
Alvaro Morata,66.1,Pisa,Casa,,6.0
Jonathan David,65.8,Sassuolo,Casa,,s.v.
Giacomo Raspadori,65.8,Verona,Casa,,5.5
Gift Orban,65.7,Atalanta,Trasf.,,6.0
Caleb Ekuban,65.7,Udinese,Casa,,5.0
Luca Moro,64.9,Juventus,Trasf.,,5.5
Andrias Edmundsson,64.8,Atalanta,Trasf.,,6.0
Nicolas Kuhn,64.4,Pisa,Casa,,7.0
Nikola Stulic,64.4,Roma,Trasf.,,5.0
Henrik Meister,64.3,Como,Trasf.,,6.0
Antonio Sanabria,63.9,Parma,Trasf.,,6.0
Walid Cheddira,63.8,Juventus,Trasf.,,5.5
Alieu Njie,63.3,Milan,Trasf.,,6.0
Jeff Ekhator,63.2,Udinese,Casa,,5.0
Robinio Vaz,63.2,Lecce,Casa,,10.0
Ze Pedro,63.0,Napoli,Casa,,5.5
Angeyoan Bonny,62.8,Fiorentina,Trasf.,,4.5
Giovane,62.7,Atalanta,Trasf.,,s.v.
Dusan Vlahovic,62.7,Sassuolo,Casa,,6.0
Sulemana,62.2,Napoli,Casa,,5.5
Tijjani Noslin,62.2,Bologna,Trasf.,,6.5
Benjamin Dominguez,61.5,Lazio,Casa,,5.5
Patrick Cutrone,61.4,Cremonese,Casa,,6.0
Yael Trepy,61.3,Napoli,Casa,,s.v.
Mbala Nzola,61.3,,Trasf.,,6.0
Konan Ndri,60.9,Roma,Trasf.,,6.5
Pedro,60.8,Bologna,Trasf.,,6.0
Adrian Benedyczak,60.7,Cremonese,Casa,,5.5
Christian Kouame,60.6,Inter,Casa,,6.0
Matteo Cancellieri,60.1,Bologna,Trasf.,,6.5
Daniel Mosquera,60.0,Atalanta,Trasf.,,s.v.
Petar Ratkov,59.8,Bologna,Trasf.,,4.5
Lois Openda,59.7,Sassuolo,Casa,,s.v.
Vakoun Bayo,58.8,Genoa,Trasf.,,4.5
Giuseppe Ambrosino,58.3,Cagliari,Trasf.,,s.v.
Amin Sarr,58.3,Atalanta,Trasf.,,6.0
Isaac,57.6,Atalanta,Trasf.,,6.0
Idrissa Gueye,55.9,Genoa,Trasf.,,s.v.
Ali Dembele,55.6,Milan,Trasf.,,6.0
Iker Bravo,55.1,Genoa,Trasf.,,5.5
Santiago Gimenez,55.1,Torino,Casa,,5.5
Nicholas Pierini,54.9,Juventus,Trasf.,,6.0
