,Giocatore,Index,Avversario,Campo,Top
1,Alisson Santos,94.2,Lecce,Casa,🔥
2,Luka Modric,89.1,Lazio,Trasf.,🔥
3,Martin Baturina,87.8,Roma,Casa,🔥
4,Nikola Vlasic,87.6,Parma,Casa,🔥
5,Kristian Thorstvedt,87,Bologna,Casa,🔥
6,Francisco Conceicao,85.3,Udinese,Trasf.,🔥
7,Lucas Da Cunha,83.1,Roma,Casa,🔥
8,Alexis Saelemaekers,82.7,Lazio,Trasf.,🔥
9,Nico Paz,82.7,Roma,Casa,🔥
10,Mario Pasalic,81.4,Inter,Trasf.,🔥
11,Daniel Maldini,81.3,Milan,Casa,
12,Eljif Elmas,80.9,Lecce,Casa,
13,Zambo Anguissa,80.3,Lecce,Casa,
14,Maxence Caqueret,79.7,Roma,Casa,
15,Niccolo Pisilli,79.5,Como,Trasf.,
16,Nicolo Zaniolo,79.1,Juventus,Casa,
17,Cesare Casadei,79.1,Parma,Casa,
18,Kephren Thuram,78.7,Udinese,Trasf.,
19,Gaetano Oristanio,78.7,Torino,Trasf.,
20,Omri Gandelman,78,Napoli,Trasf.,
21,Bryan Cristante,77.9,Como,Trasf.,
22,Michael Folorunsho,77.7,Pisa,Trasf.,
23,Youssouf Fofana,77.5,Lazio,Trasf.,
24,Piotr Zielinski,77.2,Atalanta,Casa,
25,Nicola Zalewski,76.5,Inter,Trasf.,
26,Jens Odgaard,76.1,Sassuolo,Trasf.,
27,Federico Bernardeschi,76.1,Sassuolo,Trasf.,
28,Nemanja Matic,75.5,Bologna,Casa,
29,Weston Mckennie,75.2,Udinese,Trasf.,
30,Christian Pulisic,75.2,Lazio,Trasf.,
31,Jonathan Rowe,74.7,Sassuolo,Trasf.,
32,Nicolo Fagioli,74.5,Cremonese,Trasf.,
33,Kouadio Kone,74.2,Como,Trasf.,
34,Gustav Isaksen,74.1,Milan,Casa,
35,Ismael Kone,73.4,Bologna,Casa,
36,Jesper Karlstrom,72.9,Juventus,Casa,
37,Matteo Tramoni,72.3,Cagliari,Casa,
38,Riccardo Sottil,71.3,Napoli,Trasf.,
39,Junior Messias,70.2,Verona,Trasf.,
40,Manuel Locatelli,70.1,Udinese,Trasf.,
41,Morten Thorsby,69.7,Verona,Trasf.,
42,Samuele Ricci,68.8,Lazio,Trasf.,
43,Matteo Politano,68.8,Lecce,Casa,
44,Lassana Coulibaly,68.6,Napoli,Trasf.,
45,Lorenzo Pellegrini,68.4,Como,Trasf.,
46,Ndary Adopo,68.3,Pisa,Trasf.,
47,Edon Zhegrova,68.2,Udinese,Trasf.,
48,Santiago Pierotti,67.9,Napoli,Trasf.,
49,Jakub Piotrowski,67.4,Juventus,Casa,
50,Sergi Roberto,67.3,Roma,Casa,
51,Alessio Zerbin,67.2,Fiorentina,Casa,
52,Jari Vandeputte,67.1,Fiorentina,Casa,
53,Riyad Idrissi,66.6,Pisa,Trasf.,
54,Michel Aebischer,66.2,Cagliari,Casa,
55,Riccardo Orsolini,66.1,Sassuolo,Trasf.,
56,Morten Frendrup,65.8,Verona,Trasf.,
57,Lennon Miller,65.8,Juventus,Casa,
58,Fabio Miretti,65.6,Udinese,Trasf.,
59,Ylber Ramadani,65.5,Napoli,Trasf.,
60,Christian Kabasele,65.4,Juventus,Casa,
61,Luis Henrique,65.4,Atalanta,Casa,
62,Marco Brescianini,65.3,Cremonese,Trasf.,
63,Lazar Samardzic,65.3,Inter,Trasf.,
64,Ebenezer Akinsanmiro,65.2,Cagliari,Casa,
65,Andy Diouf,65.1,Atalanta,Casa,
66,Mattia Zaccagni,65.1,Milan,Casa,
67,Henrikh Mkhitaryan,65.1,Atalanta,Casa,
68,Kevin De Bruyne,65,Lecce,Casa,
69,Mikael Ellertsson,65,Verona,Trasf.,
70,Mehdi Leris,64.9,Cagliari,Casa,
71,Petar Sucic,64.9,Atalanta,Casa,
72,Joseph Liteta,64.7,Pisa,Trasf.,
73,Nicolo Barella,64.3,Atalanta,Casa,
74,Mandela Keita,64.3,Torino,Trasf.,
75,Al Musrati,64.1,Genoa,Casa,
76,Ardon Jashari,64.1,Lazio,Trasf.,
77,Oier Zarraga,64.1,Juventus,Casa,
78,Billy Gilmour,64.1,Lecce,Casa,
79,Jurgen Ekkelenkamp,63.6,Juventus,Casa,
80,Gvidas Gineitis,63.4,Parma,Casa,
81,Fisayo Delebashiru,63.3,Milan,Casa,
82,Marten De Roon,63.3,Inter,Trasf.,
83,Remo Freuler,63.2,Sassuolo,Trasf.,
84,Edoardo Iannoni,63.1,Bologna,Casa,
85,Oliver Sorensen,63.1,Torino,Trasf.,
86,Gabriele Piccinini,63.1,Cagliari,Casa,
87,Martin Payero,63,Fiorentina,Casa,
88,Nahuel Estevez,62.9,Torino,Trasf.,
89,Cristian Volpato,62.9,Bologna,Casa,
90,Abdou Harroui,62.8,Genoa,Casa,
91,Roberto Gagliardini,62.8,Genoa,Casa,
92,Yunus Musah,62.8,Inter,Trasf.,
93,Davide Frattesi,62.6,Atalanta,Casa,
94,Oumar Ngom,62.6,Napoli,Trasf.,
95,Teun Koopmeiners,62.5,Udinese,Trasf.,
96,Emirhan Ilkhan,62.5,Parma,Casa,
97,Jacob Ondrejka,62.3,Torino,Trasf.,
98,Albert Gudmundsson,62.3,Cremonese,Trasf.,
99,Christian Ordonez,62.2,Torino,Trasf.,
100,Ivan Ilic,62.2,Parma,Casa,
101,Idrissa Toure,62,Cagliari,Casa,
102,Hans Caviglia,62,Torino,Trasf.,
103,Youssef Maleh,61.8,Napoli,Trasf.,
104,Matteo Prati,61.8,Parma,Casa,
105,Benjamin Cremaschi,61.7,Torino,Trasf.,
106,Luca Lipani,61.5,Bologna,Casa,
107,Reda Belahyane,61.4,Milan,Casa,
108,Malthe Hojholt,61,Cagliari,Casa,
109,Kenneth Taylor,60.5,Milan,Casa,
110,Giovanni Fabbian,60.5,Cremonese,Trasf.,
111,Jacopo Fazzini,59.8,Cremonese,Trasf.,
112,Filip Kostic,59.7,Udinese,Trasf.,
113,Lorenzo Venturino,59.5,Como,Trasf.,
114,Tomas Suslov,59.4,Genoa,Casa,
115,Cheikh Niasse,59.3,Genoa,Casa,
116,Rolando Mandragora,59.1,Cremonese,Trasf.,
117,Romano Floriani,59,Fiorentina,Casa,
118,Warren Bondo,58.9,Fiorentina,Casa,
119,Tommaso Pobega,58.7,Sassuolo,Trasf.,
