Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
Matteo Politano,89.1,Cagliari,Trasf.,🔥,s.v.
Alisson Santos,87.3,Cagliari,Trasf.,🔥,s.v.
Francisco Conceicao,86.9,Sassuolo,Casa,🔥,s.v.
Lucas Da Cunha,84.3,Pisa,Casa,🔥,s.v.
Gustav Isaksen,83.5,Bologna,Trasf.,🔥,s.v.
Nico Paz,82.4,Pisa,Casa,🔥,s.v.
Scott Mctominay,81.8,Cagliari,Trasf.,🔥,s.v.
Gianluca Gaetano,80.9,Napoli,Casa,🔥,s.v.
Nicola Zalewski,80.5,Verona,Casa,🔥,s.v.
Arthur Atta,79.8,Genoa,Trasf.,🔥,s.v.
Bryan Cristante,79.1,Lecce,Casa,,s.v.
Luka Modric,79.0,Torino,Casa,,s.v.
Martin Baturina,78.9,Pisa,Casa,,s.v.
Maximo Perrone,78.7,Pisa,Casa,,s.v.
Jonathan Rowe,78.4,Lazio,Casa,,s.v.
Hakan Calhanoglu,77.9,Fiorentina,Trasf.,,s.v.
Nikola Vlasic,77.7,Milan,Trasf.,,s.v.
Kristian Thorstvedt,77.7,Juventus,Trasf.,,5.5
Adrien Rabiot,77.4,Torino,Casa,,s.v.
Junior Messias,77.3,Udinese,Casa,,s.v.
Maxence Caqueret,76.1,Pisa,Casa,,s.v.
Lorenzo Pellegrini,76.0,Lecce,Casa,,s.v.
Daniel Maldini,75.9,Bologna,Trasf.,,s.v.
Cristian Volpato,75.9,Juventus,Trasf.,,s.v.
Piotr Zielinski,75.2,Fiorentina,Trasf.,,s.v.
Kevin De Bruyne,74.9,Cagliari,Trasf.,,s.v.
Michael Folorunsho,74.8,Napoli,Casa,,s.v.
Ederson,74.5,Verona,Casa,,s.v.
Mario Pasalic,74.2,Verona,Casa,,s.v.
Stephan El Shaarawy,73.5,Lecce,Casa,,6.0
Samuele Ricci,73.1,Torino,Casa,,s.v.
Ylber Ramadani,73.1,Roma,Trasf.,,s.v.
Zambo Anguissa,73.1,Cagliari,Trasf.,,s.v.
Marco Brescianini,72.7,Inter,Casa,,s.v.
Kouadio Kone,72.3,Lecce,Casa,,5.0
Albert Gudmundsson,70.8,Inter,Casa,,s.v.
Riccardo Orsolini,70.8,Lazio,Casa,,s.v.
Marten De Roon,70.7,Verona,Casa,,s.v.
Nicolo Fagioli,70.7,Inter,Casa,,s.v.
Christian Pulisic,70.6,Torino,Casa,,s.v.
Santiago Pierotti,70.4,Roma,Trasf.,,s.v.
Emirhan Ilkhan,70.2,Milan,Trasf.,,s.v.
Alexis Saelemaekers,69.7,Torino,Casa,,s.v.
Ismael Kone,69.7,Juventus,Trasf.,,s.v.
Lazar Samardzic,69.5,Verona,Casa,,s.v.
Matteo Tramoni,69.4,Como,Trasf.,,s.v.
Manuel Locatelli,69.3,Sassuolo,Casa,,s.v.
Eljif Elmas,69.0,Cagliari,Trasf.,,4.5
Morten Frendrup,68.8,Udinese,Casa,,s.v.
Gaetano Oristanio,67.8,Cremonese,Casa,,s.v.
Weston Mckennie,67.2,Sassuolo,Casa,,s.v.
Tommaso Baldanzi,67.0,Lecce,Casa,,s.v.
Nicolo Zaniolo,67.0,Genoa,Trasf.,,s.v.
Mikael Ellertsson,66.9,Udinese,Casa,,s.v.
Billy Gilmour,66.6,Cagliari,Trasf.,,s.v.
Niccolo Pisilli,66.5,Lecce,Casa,,s.v.
Jens Odgaard,65.9,Lazio,Casa,,6.5
Riccardo Sottil,65.8,Roma,Trasf.,,6.0
Ardon Jashari,65.7,Torino,Casa,,5.0
Omri Gandelman,65.5,Roma,Trasf.,,s.v.
Ebenezer Akinsanmiro,65.4,Como,Trasf.,,s.v.
Alessio Zerbin,65.4,Parma,Trasf.,,s.v.
Remo Freuler,65.3,Lazio,Casa,,6.0
Luca Mazzitelli,65.3,Napoli,Casa,,5.5
Federico Bernardeschi,65.2,Lazio,Casa,,s.v.
Jakub Piotrowski,65.0,Genoa,Trasf.,,s.v.
Roberto Gagliardini,64.9,Atalanta,Trasf.,,s.v.
Jesper Karlstrom,64.9,Genoa,Trasf.,,s.v.
Nicolo Barella,64.7,Fiorentina,Trasf.,,s.v.
Gabriele Piccinini,64.6,Como,Trasf.,,s.v.
Joseph Liteta,64.6,Napoli,Casa,,7.0
Mehdi Leris,64.4,Como,Trasf.,,s.v.
Kenneth Taylor,64.3,Bologna,Trasf.,,s.v.
Jurgen Ekkelenkamp,64.2,Genoa,Trasf.,,s.v.
Cesare Casadei,64.2,Milan,Trasf.,,s.v.
Nahuel Estevez,64.1,Cremonese,Casa,,s.v.
Patrizio Masini,64.0,Udinese,Casa,,7.5
Sergi Roberto,64.0,Pisa,Casa,,5.0
Yunus Musah,63.8,Verona,Casa,,s.v.
Cher Ndour,63.5,Inter,Casa,,s.v.
Edon Zhegrova,63.5,Sassuolo,Casa,,s.v.
Alberto Grassi,63.4,Parma,Trasf.,,s.v.
Martin Payero,63.4,Parma,Trasf.,,s.v.
Jack Harrison,63.1,Inter,Casa,,s.v.
Fabio Miretti,63.1,Sassuolo,Casa,,s.v.
Davide Frattesi,62.8,Fiorentina,Trasf.,,s.v.
Rolando Mandragora,62.8,Inter,Casa,,8.0
Morten Thorsby,62.4,Udinese,Casa,,s.v.
Andy Diouf,62.2,Fiorentina,Trasf.,,6.0
Jari Vandeputte,62.2,Parma,Trasf.,,s.v.
Nemanja Matic,61.9,Juventus,Trasf.,,5.5
Teun Koopmeiners,61.8,Sassuolo,Casa,,s.v.
Lennon Miller,61.8,Genoa,Trasf.,,s.v.
Christian Kabasele,61.8,Genoa,Trasf.,,s.v.
Jacob Ondrejka,61.7,Cremonese,Casa,,s.v.
