Giocatore,Index,Avversario,Campo,Top,Fantavoto preso,Fantavoto Preso_x,Fantavoto Preso_y
Federico Dimarco,88.7,Milan,Trasf.,🔥,5.0,5.0,5.0
Bremer,87.3,Pisa,Casa,🔥,5.0,5.0,5.0
Davide Zappacosta,84.5,Udinese,Casa,🔥,6.0,6.0,6.0
Evan Ndicka,84.5,Genoa,Trasf.,🔥,9.0,9.0,9.0
Mergim Vojvoda,82.6,Cagliari,Trasf.,🔥,5.0,5.0,5.0
Leonardo Spinazzola,82.0,Torino,Casa,🔥,7.0,7.0,7.0
Marco Palestra,81.9,Como,Casa,🔥,6.5,6.5,6.5
Yann Bisseck,81.8,Milan,Trasf.,🔥,6.0,6.0,6.0
Marcoliver Kempf,81.3,Cagliari,Trasf.,🔥,7.0,7.0,7.0
Mehmet Celik,80.6,Genoa,Trasf.,🔥,5.0,5.0,5.0
Lloyd Kelly,78.7,Pisa,Casa,,6.0,6.0,6.0
Strahinja Pavlovic,78.2,Inter,Casa,,7.0,7.0,7.0
Gianluca Mancini,78.1,Genoa,Trasf.,,5.5,5.5,5.5
Brooke Nortoncuffy,77.4,Roma,Casa,,10.0,10.0,10.0
Robin Gosens,77.2,Parma,Casa,,6.0,6.0,6.0
Diego Carlos,75.7,Cagliari,Trasf.,,6.0,6.0,6.0
Thomas Kristensen,75.5,Atalanta,Trasf.,,10.0,10.0,10.0
Miguel Gutierrez,74.9,Torino,Casa,,6.0,6.0,6.0
Alberto Moreno,74.9,Cagliari,Trasf.,,5.0,5.0,5.0
Rafael Obrador,74.2,Napoli,Trasf.,,6.0,6.0,6.0
Martin Vitik,74.1,Verona,Casa,,4.5,4.5,4.5
Jordan Zemura,74.0,Atalanta,Trasf.,,7.0,7.0,7.0
Manuel Akanji,73.8,Milan,Trasf.,,6.0,6.0,6.0
Alex Valle,73.6,Cagliari,Trasf.,,6.0,6.0,6.0
Ignace Van Der Brempt,72.9,Cagliari,Trasf.,,7.0,7.0,7.0
Tarik Muharemovic,72.4,Lazio,Trasf.,,5.0,5.0,5.0
Andrea Cambiaso,72.2,Pisa,Casa,,9.5,9.5,9.5
Jacobo Ramon,72.0,Cagliari,Trasf.,,5.5,5.5,5.5
Jhon Lucumi,71.4,Verona,Casa,,6.0,6.0,6.0
Carlos Augusto,71.1,Milan,Trasf.,,6.0,6.0,6.0
Samuele Angori,70.6,Juventus,Trasf.,,6.0,6.0,6.0
Nadir Zortea,70.2,Verona,Casa,,6.5,6.5,6.5
Stefan De Vrij,70.1,Milan,Trasf.,,6.0,6.0,6.0
Sebastiano Luperto,70.1,,Trasf.,,6.0,6.0,6.0
Devyne Rensch,70.0,Genoa,Trasf.,,5.5,5.5,5.5
Ardian Ismajli,69.7,Napoli,Trasf.,,5.5,5.5,5.5
Gabriele Zappa,69.2,Como,Casa,,6.0,6.0,6.0
Koni De Winter,69.2,Inter,Casa,,7.0,7.0,7.0
Lorenzo Bernasconi,69.1,Udinese,Casa,,6.0,6.0,6.0
Guillermo Maripan,68.6,Napoli,Trasf.,,5.5,5.5,5.5
Matteo Darmian,68.5,Milan,Trasf.,,6.0,6.0,6.0
Leo Ostigard,67.8,Roma,Casa,,7.0,7.0,7.0
Rui Modesto,67.5,Atalanta,Trasf.,,7.0,7.0,7.0
Francesco Acerbi,67.4,Milan,Trasf.,,6.0,6.0,6.0
Zachary Athekame,67.4,Inter,Casa,,6.0,6.0,6.0
Angelino,67.1,Genoa,Trasf.,,5.5,5.5,5.5
Federico Gatti,66.9,Pisa,Casa,,5.5,5.5,5.5
Pasquale Mazzocchi,66.5,Torino,Casa,,s.v.,s.v.,s.v.
Dodo,65.9,Parma,Casa,,5.5,5.5,5.5
Odilon Kossounou,65.7,Udinese,Casa,,4.5,4.5,4.5
Ivan Smolcic,65.7,Cagliari,Trasf.,,7.0,7.0,7.0
Kingsley Ehizibue,65.6,Atalanta,Trasf.,,5.5,5.5,5.5
Konstantinos Tsimikas,65.5,Genoa,Trasf.,,5.5,5.5,5.5
Alessandro Di Pardo,65.5,Como,Casa,,s.v.,s.v.,s.v.
Jay Idzes,65.4,Lazio,Trasf.,,6.0,6.0,6.0
Aaron Martin,65.3,Roma,Casa,,6.0,6.0,6.0
Eddy Kouadio,65.1,Parma,Casa,,s.v.,s.v.,s.v.
Hassane Kamara,65.0,Atalanta,Trasf.,,6.5,6.5,6.5
Jan Ziolkowski,64.9,Genoa,Trasf.,,s.v.,s.v.,s.v.
Emanuele Valeri,64.4,Fiorentina,Trasf.,,6.0,6.0,6.0
Juan Cuadrado,64.4,Juventus,Trasf.,,5.5,5.5,5.5
Berat Gjimshiti,63.7,Udinese,Casa,,s.v.,s.v.,s.v.
Juan Cabal,63.6,Pisa,Casa,,6.0,6.0,6.0
Patric,63.6,Sassuolo,Casa,,6.0,6.0,6.0
Juan Jesus,63.5,Torino,Casa,,6.5,6.5,6.5
Jeandaniel Akpaakpro,63.5,Bologna,Trasf.,,6.0,6.0,6.0
Alessandro Marcandalli,63.4,Roma,Casa,,6.5,6.5,6.5
Filippo Romagna,63.2,Lazio,Trasf.,,6.0,6.0,6.0
Denzel Dumfries,63.1,Milan,Trasf.,,5.0,5.0,5.0
Alessandro Bastoni,63.0,Milan,Trasf.,,5.5,5.5,5.5
Isak Hien,63.0,Udinese,Casa,,5.5,5.5,5.5
Johan Vasquez,63.0,Roma,Casa,,6.5,6.5,6.5
Yerry Mina,62.9,Como,Casa,,4.0,4.0,4.0
Domagoj Bradaric,62.6,Bologna,Trasf.,,6.5,6.5,6.5
Alberto Dossena,62.5,Como,Casa,,4.5,4.5,4.5
Josh Doig,62.4,Lazio,Trasf.,,5.5,5.5,5.5
Oliver Provstgaard,62.4,Sassuolo,Casa,,6.0,6.0,6.0
Niccolo Fortini,62.4,Parma,Casa,,6.0,6.0,6.0
Daniele Ghilardi,62.3,Genoa,Trasf.,,5.5,5.5,5.5
Alessandro Buongiorno,62.3,Torino,Casa,,6.5,6.5,6.5
Martin Frese,62.2,Bologna,Trasf.,,9.5,9.5,9.5
Sam Beukema,62.0,Torino,Casa,,5.5,5.5,5.5
Enrico Del Prato,61.9,Fiorentina,Trasf.,,7.0,7.0,7.0
Stefano Sabelli,61.9,Roma,Casa,,6.5,6.5,6.5
Fikayo Tomori,61.8,Inter,Casa,,6.5,6.5,6.5
Giuseppe Pezzella,61.7,Lecce,Trasf.,,5.0,5.0,5.0
Antonino Gallo,61.7,Cremonese,Casa,,7.0,7.0,7.0
Matteo Bianchetti,61.6,Lecce,Trasf.,,4.5,4.5,4.5
Simone Canestrelli,61.5,Juventus,Trasf.,,6.0,6.0,6.0
Mariano Troilo,61.4,Fiorentina,Trasf.,,7.0,7.0,7.0
Niels Nkounkou,61.4,Napoli,Trasf.,,6.0,6.0,6.0
Raul Albiol,61.2,Juventus,Trasf.,,6.0,6.0,6.0
Sead Kolasinac,61.0,Udinese,Casa,,6.0,6.0,6.0
Sascha Britschgi,61.0,Fiorentina,Trasf.,,5.5,5.5,5.5
Pietro Comuzzo,60.8,Parma,Casa,,s.v.,s.v.,s.v.
Estupinan,60.7,Inter,Casa,,10.5,10.5,10.5
Marcus Pedersen,60.7,Napoli,Trasf.,,5.5,5.5,5.5
Adam Obert,60.7,Como,Casa,,7.5,7.5,7.5
Saul Coco,60.5,Napoli,Trasf.,,6.0,6.0,6.0
Sebastian Walukiewicz,60.3,Lazio,Trasf.,,5.0,5.0,5.0
Mario Gila,60.2,Sassuolo,Casa,,6.5,6.5,6.5
Mikayil Faye,60.1,Lecce,Trasf.,,5.5,5.5,5.5
Matteo Palma,60.0,Atalanta,Trasf.,,6.0,6.0,6.0
Tommaso Barbieri,59.9,Lecce,Trasf.,,5.0,5.0,5.0
Woyo Coulibaly,59.8,Lazio,Trasf.,,5.5,5.5,5.5
Raoul Bellanova,59.8,Udinese,Casa,,5.0,5.0,5.0
Arturo Calabresi,59.7,Juventus,Trasf.,,5.5,5.5,5.5
Adam Marusic,59.6,Sassuolo,Casa,,9.5,9.5,9.5
Tiago Gabriel,59.4,Cremonese,Casa,,7.0,7.0,7.0
Honest Ahanor,59.4,Udinese,Casa,,s.v.,s.v.,s.v.
Luca Ranieri,59.1,Parma,Casa,,6.0,6.0,6.0
Manuel Lazzari,59.1,Sassuolo,Casa,,6.0,6.0,6.0
Victor Nelsson,59.1,Bologna,Trasf.,,6.0,6.0,6.0
Corrie Ndaba,58.9,Cremonese,Casa,,5.0,5.0,5.0
Nuno Tavares,58.8,Sassuolo,Casa,,6.5,6.5,6.5
Cristiano Biraghi,58.8,Napoli,Trasf.,,5.0,5.0,5.0
Francesco Folino,58.6,Lecce,Trasf.,,5.5,5.5,5.5
Lorenzo De Silvestri,58.6,Verona,Casa,,6.0,6.0,6.0
Mathias Lovik,58.4,Fiorentina,Trasf.,,s.v.,s.v.,s.v.
Nicolo Casale,58.2,Verona,Casa,,6.0,6.0,6.0
Elseid Hysaj,58.2,Sassuolo,Casa,,5.5,5.5,5.5
Danilo Veiga,58.0,Cremonese,Casa,,6.0,6.0,6.0
Juan Rodriguez,57.6,Como,Casa,,6.5,6.5,6.5
Marin Pongracic,57.6,Parma,Casa,,6.5,6.5,6.5
Alessio Romagnoli,57.5,Sassuolo,Casa,,5.5,5.5,5.5
Fallou Cham,57.3,Bologna,Trasf.,,6.0,6.0,6.0
Francesco Coppola,57.3,Juventus,Trasf.,,4.5,4.5,4.5
Mathias Olivera,57.2,Torino,Casa,,6.0,6.0,6.0
Giovanni Bonfanti,57.0,Juventus,Trasf.,,6.0,6.0,6.0
Nicolas Valentini,57.0,Bologna,Trasf.,,6.0,6.0,6.0
Pablo Mari,56.4,Parma,Casa,,6.0,6.0,6.0
Enzo Ebosse,56.2,,Trasf.,,5.0,5.0,5.0
Valentin Carboni,56.1,Roma,Casa,,s.v.,s.v.,s.v.
Valentino Lazaro,56.0,Napoli,Trasf.,,4.5,4.5,4.5
Adam Masina,55.6,Napoli,Trasf.,,5.5,5.5,5.5
Jamil Siebert,55.4,Cremonese,Casa,,5.5,5.5,5.5
Alessandro Circati,55.1,Fiorentina,Trasf.,,6.5,6.5,6.5
Mattia Viti,54.8,Parma,Casa,,5.0,5.0,5.0
Luca Marianucci,54.5,,Trasf.,,5.0,5.0,5.0
Saba Goglichidze,54.4,Atalanta,Trasf.,,s.v.,s.v.,s.v.
Daniele Rugani,53.7,,Trasf.,,3.5,3.5,3.5
Owen Kouassi,53.7,Cremonese,Casa,,4.0,4.0,4.0
Jean Onana,53.6,Roma,Casa,,s.v.,s.v.,s.v.
Federico Ceccherini,53.2,Lecce,Trasf.,,5.0,5.0,5.0
Daniel Oyegoke,52.8,Bologna,Trasf.,,6.5,6.5,6.5
Luca Pellegrini,52.3,Sassuolo,Casa,,4.0,4.0,4.0
Rosen Bozhinov,51.7,Juventus,Trasf.,,5.0,5.0,5.0
Mateus Lusuardi,51.0,Juventus,Trasf.,,5.0,5.0,5.0
