,Giocatore,Index,Avversario,Campo,Top
1,Wesley,89.7,Como,Trasf.,🔥
2,Federico Dimarco,85.3,Atalanta,Casa,🔥
3,Leonardo Spinazzola,84.3,Lecce,Casa,🔥
4,Mergim Vojvoda,83.3,Roma,Casa,🔥
5,Bremer,83.2,Udinese,Trasf.,🔥
6,Marcoliver Kempf,82.6,Roma,Casa,🔥
7,Alex Valle,82.2,Roma,Casa,🔥
8,Jacobo Ramon,80,Roma,Casa,🔥
9,Thomas Kristensen,79.7,Juventus,Casa,🔥
10,Strahinja Pavlovic,78.7,Lazio,Trasf.,🔥
11,Koni De Winter,77.4,Lazio,Trasf.,
12,Yann Bisseck,76.7,Atalanta,Casa,
13,Lloyd Kelly,75.9,Udinese,Trasf.,
14,Davide Zappacosta,75.9,Inter,Trasf.,
15,Hassane Kamara,74.9,Juventus,Casa,
16,Gianluca Mancini,74.6,Como,Trasf.,
17,Ignace Van Der Brempt,74.6,Roma,Casa,
18,Davide Bartesaghi,73.4,Lazio,Trasf.,
19,Carlos Augusto,73.1,Atalanta,Casa,
20,Johan Vasquez,72.9,Verona,Trasf.,
21,Manuel Akanji,72.7,Atalanta,Casa,
22,Guillermo Maripan,72.3,Parma,Casa,
23,Andrea Cambiaso,72.2,Udinese,Trasf.,
24,Leo Ostigard,72,Verona,Trasf.,
25,Alberto Moreno,71.9,Roma,Casa,
26,Miguel Gutierrez,71.2,Lecce,Casa,
27,Mario Gila,71.1,Milan,Casa,
28,Fikayo Tomori,70.7,Lazio,Trasf.,
29,Isak Hien,70.5,Inter,Trasf.,
30,Federico Gatti,70.4,Udinese,Trasf.,
31,Ivan Smolcic,69.7,Roma,Casa,
32,Stefan De Vrij,69.6,Atalanta,Casa,
33,Juan Jesus,69.4,Lecce,Casa,
34,Saul Coco,69.2,Parma,Casa,
35,Rafael Obrador,68.9,Parma,Casa,
36,Oliver Provstgaard,68.8,Milan,Casa,
37,Aaron Martin,68.4,Verona,Trasf.,
38,Mehmet Celik,68.3,Como,Trasf.,
39,Devyne Rensch,68.2,Como,Trasf.,
40,Alessandro Marcandalli,68.1,Verona,Trasf.,
41,Martin Frese,67.9,Genoa,Casa,
42,Emanuele Valeri,67.8,Torino,Trasf.,
43,Fabiano Parisi,67.8,Cremonese,Trasf.,
44,Adam Marusic,67.8,Milan,Casa,
45,Adam Obert,67.1,Pisa,Trasf.,
46,Jordan Zemura,67.1,Juventus,Casa,
47,Dodo,66.9,Cremonese,Trasf.,
48,Stefano Sabelli,66.5,Verona,Trasf.,
49,Robin Gosens,66.5,Cremonese,Trasf.,
50,Pasquale Mazzocchi,66.2,Lecce,Casa,
51,Konstantinos Tsimikas,66.2,Como,Trasf.,
52,Estupinan,65.2,Lazio,Trasf.,
53,Diego Carlos,65.1,Roma,Casa,
54,Sebastiano Luperto,65.1,Fiorentina,Casa,
55,Juan Miranda,65,Sassuolo,Trasf.,
56,Lorenzo Bernasconi,64.9,Inter,Trasf.,
57,Marcus Pedersen,64.8,Parma,Casa,
58,Mariano Troilo,64.7,Torino,Trasf.,
59,Patric,64.7,Milan,Casa,
60,Marco Palestra,64.1,Pisa,Trasf.,
61,Filippo Terracciano,63.9,Fiorentina,Casa,
62,Gabriele Zappa,63.7,Pisa,Trasf.,
63,Martin Vitik,63.3,Sassuolo,Trasf.,
64,Josh Doig,63.3,Bologna,Casa,
65,Nadir Zortea,63.3,Sassuolo,Trasf.,
66,Denzel Dumfries,63.3,Atalanta,Casa,
67,Samuele Angori,63.2,Cagliari,Casa,
68,Pietro Comuzzo,63.2,Cremonese,Trasf.,
69,Nuno Tavares,63.2,Milan,Casa,
70,Juan Cabal,63.1,Udinese,Trasf.,
71,Alessandro Buongiorno,63,Lecce,Casa,
72,Juan Cuadrado,63,Cagliari,Casa,
73,Daniele Ghilardi,62.9,Como,Trasf.,
74,Domagoj Bradaric,62.6,Genoa,Casa,
75,Victor Nelsson,62.5,Genoa,Casa,
76,Enrico Del Prato,62.5,Torino,Trasf.,
77,Zachary Athekame,62.5,Lazio,Trasf.,
78,Berat Gjimshiti,62.5,Inter,Trasf.,
79,Arturo Calabresi,62.3,Cagliari,Casa,
80,Tiago Gabriel,62.3,Napoli,Trasf.,
81,Marin Pongracic,62.2,Cremonese,Trasf.,
82,Sam Beukema,61.9,Lecce,Casa,
83,Jeandaniel Akpaakpro,61.5,Genoa,Casa,
84,Sascha Britschgi,61.5,Torino,Trasf.,
85,Tarik Muharemovic,61.4,Bologna,Casa,
86,Jay Idzes,61.3,Bologna,Casa,
87,Filippo Romagna,61.2,Bologna,Casa,
88,Jhon Lucumi,61.2,Sassuolo,Trasf.,
89,Matteo Darmian,61.2,Atalanta,Casa,
90,Joao Mario,61,Udinese,Trasf.,
91,Antonino Gallo,60.7,Napoli,Trasf.,
92,Simone Canestrelli,60.7,Cagliari,Casa,
93,Niels Nkounkou,60.6,Parma,Casa,
94,Francesco Acerbi,60.5,Atalanta,Casa,
95,Lorenzo De Silvestri,60.3,Sassuolo,Trasf.,
96,Lautaro Valenti,60.2,Torino,Trasf.,
97,Mikayil Faye,60.1,Fiorentina,Casa,
98,Gaby Jean,60,Napoli,Trasf.,
99,Valentino Lazaro,59.9,Parma,Casa,
100,Sead Kolasinac,59.8,Inter,Trasf.,
101,Nicolo Casale,59.7,Sassuolo,Trasf.,
102,Mathias Olivera,59.7,Lecce,Casa,
103,Woyo Coulibaly,59.6,Bologna,Casa,
104,Charalampos Lykogiannis,59.6,Sassuolo,Trasf.,
105,Corrie Ndaba,59.4,Napoli,Trasf.,
106,Tommaso Barbieri,59.4,Fiorentina,Casa,
107,Francesco Folino,59.4,Fiorentina,Casa,
108,Luca Ranieri,58.9,Cremonese,Trasf.,
109,Kingsley Ehizibue,58.8,Juventus,Casa,
110,Daniel Oyegoke,58.7,Genoa,Casa,
111,Danilo Veiga,58.6,Napoli,Trasf.,
112,Torbjorn Heggem,58.6,Sassuolo,Trasf.,
113,Raoul Bellanova,58.1,Inter,Trasf.,
114,Alessandro Circati,57.8,Torino,Trasf.,
115,Ardian Ismajli,57.8,Parma,Casa,
116,Daniele Rugani,57.6,Udinese,Trasf.,
117,Juan Rodriguez,56.8,Pisa,Trasf.,
118,Rui Modesto,56.6,Juventus,Casa,
119,Matteo Bianchetti,56.6,Fiorentina,Casa,
120,Odilon Kossounou,56,Inter,Trasf.,
121,Enzo Ebosse,55.9,Genoa,Casa,
122,Eddy Kouadio,54.5,Cremonese,Trasf.,
123,Angelino,54.3,Como,Trasf.,
124,Alessandro Di Pardo,54.2,Pisa,Trasf.,
125,Alberto Dossena,54.1,Pisa,Trasf.,
126,Luca Marianucci,54.1,Parma,Casa,
127,Jan Ziolkowski,53.8,Como,Trasf.,
128,Jamil Siebert,53.6,Napoli,Trasf.,
129,Sebastian Walukiewicz,53.5,Bologna,Casa,
130,Luca Pellegrini,53.4,Milan,Casa,
131,Manuel Lazzari,53.4,Milan,Casa,
132,Honest Ahanor,53.2,Inter,Trasf.,
133,Niccolo Fortini,53.1,Cremonese,Trasf.,
134,Nicolas Valentini,52.9,Genoa,Casa,
135,Francesco Coppola,52.8,Cagliari,Casa,
136,Raul Albiol,52.2,Cagliari,Casa,
137,Rosen Bozhinov,51.8,Cagliari,Casa,
138,Matteo Palma,51.4,Juventus,Casa,
139,Fallou Cham,51.3,Genoa,Casa,
140,Mathias Lovik,50.9,Torino,Trasf.,
141,Giovanni Bonfanti,50.6,Cagliari,Casa,
142,Elseid Hysaj,50.1,Milan,Casa,
143,Cristiano Biraghi,49.9,Parma,Casa,
144,Federico Ceccherini,49.7,Fiorentina,Casa,
145,Matias Perez,48.8,Napoli,Trasf.,
146,Valentin Carboni,48.5,Verona,Trasf.,
147,Adam Masina,48.4,Parma,Casa,
148,Pablo Mari,48.1,Cremonese,Trasf.,
149,Mattia Viti,47.6,Cremonese,Trasf.,
150,Saba Goglichidze,47.6,Juventus,Casa,
151,Jean Onana,47,Verona,Trasf.,
152,Owen Kouassi,46.7,Napoli,Trasf.,
153,Mateus Lusuardi,44.9,Cagliari,Casa,
