Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
Federico Dimarco,86.5,Fiorentina,Trasf.,🔥,4.5
Leo Ostigard,84.5,Udinese,Casa,🔥,6.0
Fabiano Parisi,84.0,Inter,Casa,🔥,6.5
Evan Ndicka,83.4,Lecce,Casa,🔥,6.5
Mergim Vojvoda,82.4,Pisa,Casa,🔥,5.0
Marcoliver Kempf,82.4,Pisa,Casa,🔥,6.0
Jacobo Ramon,82.4,Pisa,Casa,🔥,7.0
Davide Zappacosta,82.2,Verona,Casa,🔥,10.0
Alex Valle,81.9,Pisa,Casa,🔥,7.5
Brooke Nortoncuffy,81.3,Udinese,Casa,🔥,5.5
Davide Bartesaghi,79.8,Torino,Casa,,6.5
Yann Bisseck,79.5,Fiorentina,Trasf.,,6.5
Strahinja Pavlovic,79.3,Torino,Casa,,9.0
Giorgio Scalvini,78.9,Verona,Casa,,6.0
Leonardo Spinazzola,78.2,Cagliari,Trasf.,,6.0
Diego Carlos,77.7,Pisa,Casa,,7.0
Aaron Martin,77.2,Udinese,Casa,,s.v.
Manuel Akanji,77.0,Fiorentina,Trasf.,,5.0
Thomas Kristensen,76.8,Genoa,Trasf.,,6.0
Ignace Van Der Brempt,76.4,Pisa,Casa,,6.0
Alberto Moreno,76.1,Pisa,Casa,,7.5
Dodo,76.0,Inter,Casa,,7.0
Alessandro Marcandalli,76.0,Udinese,Casa,,5.5
Alessandro Bastoni,75.4,Fiorentina,Trasf.,,5.5
Marco Palestra,74.9,Napoli,Casa,,5.5
Johan Vasquez,73.5,Udinese,Casa,,6.0
Lorenzo Bernasconi,73.2,Verona,Casa,,6.0
Jhon Lucumi,72.2,Lazio,Casa,,6.0
Andrea Cambiaso,72.0,Sassuolo,Casa,,5.0
Carlos Augusto,72.0,Fiorentina,Trasf.,,5.0
Mario Hermoso,71.2,Lecce,Casa,,8.0
Emanuele Valeri,71.2,Cremonese,Casa,,5.0
Bremer,71.1,Sassuolo,Casa,,4.5
Sebastiano Luperto,70.9,Parma,Trasf.,,7.0
Rafael Obrador,70.7,Milan,Trasf.,,7.0
Oliver Provstgaard,70.4,Bologna,Trasf.,,6.5
Martin Vitik,70.4,Lazio,Casa,,5.0
Gianluca Mancini,70.4,Lecce,Casa,,6.0
Berat Gjimshiti,69.6,Verona,Casa,,6.5
Koni De Winter,69.2,Torino,Casa,,6.0
Alessandro Buongiorno,68.8,Cagliari,Trasf.,,6.0
Ivan Smolcic,68.4,Pisa,Casa,,6.5
Luca Ranieri,67.8,Inter,Casa,,5.5
Robin Gosens,67.8,Inter,Casa,,6.5
Miguel Gutierrez,66.9,Cagliari,Trasf.,,6.0
Patric,66.6,Bologna,Trasf.,,6.5
Rafik Belghali,66.5,Atalanta,Trasf.,,6.0
Lloyd Kelly,66.5,Sassuolo,Casa,,5.0
Martin Frese,66.5,Atalanta,Trasf.,,6.0
Stefano Sabelli,66.0,Udinese,Casa,,6.0
Hassane Kamara,65.8,Genoa,Trasf.,,5.0
Zachary Athekame,65.7,Torino,Casa,,8.0
Victor Nelsson,65.3,Atalanta,Trasf.,,6.0
Nadir Zortea,65.2,Lazio,Casa,,5.5
Isak Hien,64.8,Verona,Casa,,5.5
Pasquale Mazzocchi,64.7,Cagliari,Trasf.,,6.0
Estupinan,64.7,Torino,Casa,,3.5
Sam Beukema,64.6,Cagliari,Trasf.,,6.5
Gabriele Zappa,64.2,Napoli,Casa,,5.0
Odilon Kossounou,64.1,Verona,Casa,,4.5
Filippo Terracciano,64.1,Parma,Trasf.,,6.5
Stefan De Vrij,63.9,Fiorentina,Trasf.,,6.0
Mariano Troilo,63.9,Cremonese,Casa,,5.5
Daniele Ghilardi,63.5,Lecce,Casa,,5.5
Federico Gatti,63.3,Sassuolo,Casa,,6.0
Marin Pongracic,63.3,Inter,Casa,,6.5
Samuele Angori,63.3,Como,Trasf.,,4.5
Juan Miranda,63.1,Lazio,Casa,,5.5
Juan Cuadrado,63.0,Como,Trasf.,,5.5
Raul Albiol,63.0,Como,Trasf.,,5.0
Tarik Muharemovic,62.9,Juventus,Trasf.,,6.5
Enrico Del Prato,62.5,Cremonese,Casa,,4.5
Alessandro Circati,62.4,Cremonese,Casa,,5.5
Antonino Gallo,62.3,Roma,Trasf.,,5.5
Konstantinos Tsimikas,62.1,Lecce,Casa,,5.5
Yerry Mina,62.0,Napoli,Casa,,6.0
Jay Idzes,62.0,Juventus,Trasf.,,5.5
Tiago Gabriel,61.9,Roma,Trasf.,,6.5
Sead Kolasinac,61.8,Verona,Casa,,6.0
Marcus Pedersen,61.6,Milan,Trasf.,,6.5
Joao Mario,61.6,Sassuolo,Casa,,5.0
Mario Gila,61.5,Bologna,Trasf.,,6.0
Denzel Dumfries,61.4,Fiorentina,Trasf.,,5.0
Mathias Olivera,61.4,Cagliari,Trasf.,,5.0
Jeandaniel Akpaakpro,61.2,Atalanta,Trasf.,,6.5
Devyne Rensch,60.7,Lecce,Casa,,5.5
Raoul Bellanova,60.7,Verona,Casa,,5.0
Adam Marusic,60.6,Bologna,Trasf.,,7.0
Juan Rodriguez,60.6,Napoli,Casa,,5.0
Josh Doig,60.5,Juventus,Trasf.,,s.v.
Ardian Ismajli,60.5,Milan,Trasf.,,6.5
Fikayo Tomori,60.4,Torino,Casa,,5.0
Jan Ziolkowski,60.1,Lecce,Casa,,5.0
Danilo Veiga,60.1,Roma,Trasf.,,5.0
Jamil Siebert,60.0,Roma,Trasf.,,6.0
Giuseppe Pezzella,59.9,Parma,Trasf.,,6.5
Simone Canestrelli,59.9,Como,Trasf.,,3.5
Matteo Darmian,59.8,Fiorentina,Trasf.,,6.0
Juan Cabal,59.8,Sassuolo,Casa,,6.0
Nicolas Valentini,59.7,Atalanta,Trasf.,,5.5
Daniele Rugani,59.7,Sassuolo,Casa,,6.0
Charalampos Lykogiannis,59.6,Lazio,Casa,,5.5
Enzo Ebosse,59.1,Atalanta,Trasf.,,6.0
Kingsley Ehizibue,59.1,Genoa,Trasf.,,5.5
Gaby Jean,58.8,Roma,Trasf.,,5.5
Filippo Romagna,58.7,Juventus,Trasf.,,6.0
Lautaro Valenti,58.5,Cremonese,Casa,,4.5
Arturo Calabresi,58.2,Como,Trasf.,,7.0
Torbjorn Heggem,58.0,Lazio,Casa,,6.0
Matteo Bianchetti,57.9,Parma,Trasf.,,6.5
Sebastian Walukiewicz,57.7,Juventus,Trasf.,,6.0
Angelino,57.6,Lecce,Casa,,5.5
Honest Ahanor,57.3,Verona,Casa,,s.v.
Tommaso Barbieri,57.0,Parma,Trasf.,,5.5
Corrie Ndaba,57.0,Roma,Trasf.,,6.0
Niels Nkounkou,56.8,Milan,Trasf.,,s.v.
Saul Coco,56.8,Milan,Trasf.,,6.5
Federico Ceccherini,56.5,Parma,Trasf.,,6.5
Nuno Tavares,56.4,Bologna,Trasf.,,6.0
Eddy Kouadio,56.1,Inter,Casa,,s.v.
Francesco Acerbi,56.1,Fiorentina,Trasf.,,6.0
Mikayil Faye,56.0,Parma,Trasf.,,5.5
