Giocatore
Aboukhlal Z.
Adams C.
Addai J.
Anjorin T.
Bakola D.
Baldanzi T.
Bastoni A.
Berisha M.
Bernasconi L.
Bertola N.
Boloca D.
Borrelli G.
Cabal J.
Calhanoglu H.
Cambiaghi N.
Cande F.
Cremaschi B.
Dallinga T.
Davis K.
Denoon D.
Di Lorenzo G.
Dovbyk A.
Ekkelenkamp J.
Felici M.
Ferguson E.
Fofana S.
Fortini N.
Frigan M.
Furlanetto A.
Gaspar K.
Gigot S.
Gila M.
Idrissi R.
Ismajli A.
Kean M.
Lamptey T.
Luis Henrique
Lukaku R.
Marin M.
Mario J.
Mazzitelli L.
Milik A.
Modric L.
Mosquera D.
Moumbagna F.
Neres D.
Niasse C.
Oyegoke D.
Pavoletti L.
Pellegrini Lo.
Piccoli R.
Pieragnolo E.
Piotrowski J.
Provedel I.
Rovella N.
Rowe J.
Serdar S.
Siegrist B.
Skorupski L.
Sottil R.
Taylor K.
Tramoni M.
Vardy J.
Vergara A.
Zanoli A.
Zapata D.
Zemura J.
