Id,R,RM,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M
4312,P,Por,Maignan,Milan,20,16,4,20,16,4,85,85
2170,P,Por,Milinkovic-Savic V.,Napoli,19,4,15,19,4,15,54,54
5841,P,Por,Svilar,Roma,19,15,4,19,15,4,104,104
4431,P,Por,Carnesecchi,Atalanta,17,14,3,17,14,3,57,57
6966,P,Por,Butez,Como,17,10,7,17,10,7,58,58
2814,P,Por,Provedel,Lazio,17,12,5,17,12,5,70,70
5876,P,Por,Di Gregorio,Juventus,16,16,0,16,16,0,65,65
761,P,Por,Audero,Cremonese,15,5,10,15,5,10,15,15
2134,P,Por,Falcone,Lecce,15,6,9,15,6,9,34,34
2428,P,Por,Sommer,Inter,14,16,-2,14,16,-2,65,65
2722,P,Por,Ravaglia F.,Bologna,12,3,9,12,3,9,13,13
4360,P,Por,Caprile,Cagliari,12,7,5,12,7,5,23,23
6662,P,Por,Corvi,Parma,12,1,11,12,1,11,15,15
2521,P,Por,De Gea,Fiorentina,11,14,-3,11,14,-3,20,20
188,P,Por,Leali,Genoa,11,8,3,11,8,3,14,14
5320,P,Por,Paleari,Torino,11,1,10,11,1,10,10,10
4236,P,Por,Muric,Sassuolo,11,3,8,11,3,8,12,12
133,P,Por,Skorupski,Bologna,10,10,0,10,10,0,13,13
6462,P,Por,Okoye,Udinese,10,6,4,10,6,4,9,9
6641,P,Por,Suzuki,Parma,9,7,2,9,7,2,10,10
2861,P,Por,Semper,Pisa,9,3,6,9,3,6,5,5
4957,P,Por,Montipò,Verona,9,5,4,9,5,4,5,5
572,P,Por,Meret,Napoli,8,16,-8,8,16,-8,10,10
574,P,Por,Scuffet,Pisa,4,3,1,4,3,1,5,5
543,P,Por,Padelli,Udinese,4,1,3,4,1,3,1,1
218,P,Por,Perin,Juventus,3,1,2,3,1,2,1,1
5338,P,Por,Rinaldi,Parma,3,1,2,3,1,2,1,1
511,P,Por,Perilli,Verona,3,1,2,3,1,2,3,3
5135,P,Por,Guaita,Parma,3,5,-2,3,5,-2,1,1
7179,P,Por,Israel,Torino,2,9,-7,2,9,-7,1,1
2297,P,Por,Rossi F.,Atalanta,1,1,0,1,1,0,1,1
4,P,Por,Sportiello,Atalanta,1,1,0,1,1,0,1,1
7172,P,Por,Pessina Mas.,Bologna,1,1,0,1,1,0,1,1
4929,P,Por,Ciocci,Cagliari,1,1,0,1,1,0,1,1
2809,P,Por,Vigorito,Como,1,1,0,1,1,0,1,1
6505,P,Por,Nava,Cremonese,1,1,0,1,1,0,1,1
6403,P,Por,Christensen O.,Fiorentina,1,1,0,1,1,0,1,1
6991,P,Por,Siegrist,Genoa,1,1,0,1,1,0,1,1
219,P,Por,Sommariva,Genoa,1,1,0,1,1,0,1,1
1926,P,Por,Di Gennaro,Inter,1,1,0,1,1,0,1,1
5116,P,Por,Martinez Jo.,Inter,1,2,-1,1,2,-1,1,1
1930,P,Por,Pinsoglio,Juventus,1,1,0,1,1,0,1,1
6417,P,Por,Furlanetto,Lazio,1,1,0,1,1,0,1,1
6482,P,Por,Mandas,Lazio,1,3,-2,1,3,-2,1,1
2401,P,Por,Fruchtl,Lecce,1,1,0,1,1,0,1,1
6523,P,Por,Samooja,Lecce,1,1,0,1,1,0,1,1
2815,P,Por,Terracciano,Milan,1,1,0,1,1,0,1,1
6813,P,Por,Torriani,Milan,1,1,0,1,1,0,1,1
