Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS,season,diff_XG_GOL,diff_xGA_GOLAG,XGA_90min,XG_90min
Juventus,38,26,9,3,72,24,87,59.08,52.23,29.13,25.22,27.01,7.94,11.25,334,152,74.79,2014,-12.92,5.13,0.77,1.5547368421052632
Roma,38,19,13,6,54,31,70,50.85,45.52,36.79,32.98,12.54,7.55,12.82,266,175,62.16,2014,-3.15,5.79,0.97,1.3381578947368422
Lazio,38,21,6,11,71,38,69,62.0,58.19,35.87,31.3,26.89,6.77,9.93,214,173,67.79,2014,-9.0,-2.13,0.94,1.631578947368421
Fiorentina,38,18,10,10,61,46,64,60.67,55.31,48.5,46.22,9.09,7.4,11.28,309,170,61.11,2014,-0.33,2.5,1.28,1.596578947368421
Napoli,38,18,9,11,70,54,63,64.5,57.54,34.37,32.85,24.69,8.46,12.16,281,137,70.72,2014,-5.5,-19.63,0.9,1.6973684210526316
Genoa,38,16,11,11,62,47,59,57.32,51.99,60.37,54.16,-2.16,7.68,7.03,250,199,50.55,2014,-4.68,13.37,1.59,1.5084210526315789
Sampdoria,38,13,17,8,48,42,56,47.59,46.06,48.37,43.04,3.02,8.1,7.89,209,246,52.85,2014,-0.41,6.37,1.27,1.2523684210526316
Inter,38,14,13,11,59,48,55,57.17,51.84,44.32,39.73,12.11,6.18,12.18,297,171,60.8,2014,-1.83,-3.68,1.17,1.5044736842105264
Torino,38,14,12,12,48,45,54,51.78,47.08,42.69,36.57,10.51,12.83,9.13,223,217,56.95,2014,3.78,-2.31,1.12,1.3626315789473684
AC Milan,38,13,13,12,56,50,52,47.07,38.7,53.99,49.42,-10.72,9.47,9.35,164,263,48.33,2014,-8.93,3.99,1.42,1.2386842105263158
Palermo,38,12,13,13,53,55,49,54.97,49.62,44.01,40.21,9.41,9.42,8.08,172,216,58.68,2014,1.97,-10.99,1.16,1.446578947368421
Sassuolo,38,12,13,13,49,57,49,42.91,36.06,55.19,51.38,-15.32,8.55,7.62,190,237,44.1,2014,-6.09,-1.81,1.45,1.1292105263157894
Verona,38,11,13,14,49,65,46,46.88,42.29,63.41,57.18,-14.9,11.63,7.54,190,314,41.97,2014,-2.12,-1.59,1.67,1.233684210526316
Chievo,38,10,13,15,28,41,43,33.01,31.49,48.99,45.94,-14.45,9.19,6.23,173,247,41.41,2014,5.01,7.99,1.29,0.8686842105263157
Empoli,38,8,18,12,46,52,42,49.66,47.38,43.42,41.9,5.48,8.82,9.09,236,233,56.94,2014,3.66,-8.58,1.14,1.3068421052631578
Udinese,38,10,11,17,43,56,41,34.86,34.1,54.75,47.9,-13.8,11.36,7.71,171,304,37.46,2014,-8.14,-1.25,1.44,0.9173684210526316
Atalanta,38,7,16,15,38,57,37,40.94,37.13,59.4,52.52,-15.39,9.4,7.49,189,277,39.26,2014,2.94,2.4,1.56,1.0773684210526315
Cagliari,38,8,10,20,48,68,34,53.92,48.32,54.17,51.12,-2.8,9.9,7.89,259,240,53.05,2014,5.92,-13.83,1.43,1.4189473684210527
