stagione,giornata,squadra,player,player_norm,voto_gds,fantavoto,gol,assist,ammonizioni,espulsioni,autogol,rig_segnati,rig_sbagliati,avversario,partita
2025-2026,1.0,Atalanta,CARNESECCHI Marco,carnesecchi marco,6.5,5.5,-1,0,0,0,0,0.0,0.0,Pisa,Atalanta - Pisa
2025-2026,1.0,Atalanta,DAJCAR Matevz,dajcar matevz,,,0,0,0,0,0,0.0,0.0,Pisa,Atalanta - Pisa
2025-2026,1.0,Atalanta,ROSSI Francesco,rossi francesco,,,0,0,0,0,0,0.0,0.0,Pisa,Atalanta - Pisa
2025-2026,1.0,Atalanta,SPORTIELLO Marco,sportiello marco,,,0,0,0,0,0,0.0,0.0,Pisa,Atalanta - Pisa
2025-2026,1.0,Atalanta,AHANOR Honest,ahanor honest,,,0,0,0,0,0,0.0,0.0,Pisa,Atalanta - Pisa
2025-2026,1.0,Atalanta,BAKKER Mitchel,bakker mitchel,,,0,0,0,0,0,0.0,0.0,Pisa,Atalanta - Pisa
2025-2026,1.0,Atalanta,BELLANOVA Raoul,bellanova raoul,5.5,5.5,0,0,0,0,0,0.0,0.0,Pisa,Atalanta - Pisa
2025-2026,1.0,Atalanta,BERNASCONI Lorenzo,bernasconi lorenzo,,,0,0,0,0,0,0.0,0.0,Pisa,Atalanta - Pisa
2025-2026,1.0,Atalanta,BONFANTI Giovanni,bonfanti giovanni,,,0,0,0,0,0,0.0,0.0,Pisa,Atalanta - Pisa
2025-2026,1.0,Atalanta,COMI Pietro,comi pietro,,,0,0,0,0,0,0.0,0.0,Pisa,Atalanta - Pisa
2025-2026,1.0,Atalanta,DJIMSITI Berat,djimsiti berat,5.5,5.5,0,0,0,0,0,0.0,0.0,Pisa,Atalanta - Pisa
2025-2026,1.0,Atalanta,HIEN Isak,hien isak,5.0,3.0,0,0,0,0,1,0.0,0.0,Pisa,Atalanta - Pisa
2025-2026,1.0,Atalanta,KOLASINAC Sead,kolasinac sead,,,0,0,0,0,0,0.0,0.0,Pisa,Atalanta - Pisa
2025-2026,1.0,Atalanta,KOSSOUNOU Odilon,kossounou odilon,,,0,0,0,0,0,0.0,0.0,Pisa,Atalanta - Pisa
2025-2026,1.0,Atalanta,PALESTRA Marco,palestra marco,,,0,0,0,0,0,0.0,0.0,Pisa,Atalanta - Pisa
2025-2026,1.0,Atalanta,SCALVINI Giorgio,scalvini giorgio,6.0,6.0,0,0,0,0,0,0.0,0.0,Pisa,Atalanta - Pisa
2025-2026,1.0,Atalanta,ZAPPACOSTA Davide,zappacosta davide,,,0,0,0,0,0,0.0,0.0,Pisa,Atalanta - Pisa
2025-2026,1.0,Atalanta,BRESCIANINI Marco,brescianini marco,,,0,0,0,0,0,0.0,0.0,Pisa,Atalanta - Pisa
2025-2026,1.0,Atalanta,CASSA Federico,cassa federico,,,0,0,0,0,0,0.0,0.0,Pisa,Atalanta - Pisa
2025-2026,1.0,Atalanta,DE ROON Marten,de roon marten,6.0,6.0,0,0,0,0,0,0.0,0.0,Pisa,Atalanta - Pisa
2025-2026,1.0,Atalanta,EDERSON,ederson,6.0,6.0,0,0,0,0,0,0.0,0.0,Pisa,Atalanta - Pisa
2025-2026,1.0,Atalanta,MALDINI Daniel,maldini daniel,5.5,5.0,0,0,1,0,0,0.0,0.0,Pisa,Atalanta - Pisa
2025-2026,1.0,Atalanta,MANZONI Alberto,manzoni alberto,,,0,0,0,0,0,0.0,0.0,Pisa,Atalanta - Pisa
2025-2026,1.0,Atalanta,PASALIC Mario,pasalic mario,5.5,6.5,0,1,0,0,0,0.0,0.0,Pisa,Atalanta - Pisa
2025-2026,1.0,Atalanta,SAMARDZIC Lazar,samardzic lazar,,,0,0,0,0,0,0.0,0.0,Pisa,Atalanta - Pisa
2025-2026,1.0,Atalanta,SULEMANA,sulemana,,,0,0,0,0,0,0.0,0.0,Pisa,Atalanta - Pisa
2025-2026,1.0,Atalanta,ZALEWSKI Nicola,zalewski nicola,6.0,6.0,0,0,0,0,0,0.0,0.0,Pisa,Atalanta - Pisa
2025-2026,1.0,Atalanta,DE KETELAERE Charles,de ketelaere charles,5.0,5.0,0,0,0,0,0,0.0,0.0,Pisa,Atalanta - Pisa
2025-2026,1.0,Atalanta,KRSTOVIC Nikola,krstovic nikola,6.0,6.0,0,0,0,0,0,0.0,0.0,Pisa,Atalanta - Pisa
2025-2026,1.0,Atalanta,LOOKMAN Ademola,lookman ademola,,,0,0,0,0,0,0.0,0.0,Pisa,Atalanta - Pisa
2025-2026,1.0,Atalanta,SCAMACCA Gianluca,scamacca gianluca,6.5,9.5,1,0,0,0,0,0.0,0.0,Pisa,Atalanta - Pisa
2025-2026,1.0,Atalanta,SULEMANA Kamaldeen,sulemana kamaldeen,6.0,5.5,0,0,1,0,0,0.0,0.0,Pisa,Atalanta - Pisa
2025-2026,1.0,Atalanta,TOURE El Bilal,toure el bilal,,,0,0,0,0,0,0.0,0.0,Pisa,Atalanta - Pisa
2025-2026,1.0,Bologna,PESSINA Massimo,pessina massimo,,,0,0,0,0,0,0.0,0.0,Roma,Roma - Bologna
2025-2026,1.0,Bologna,RAVAGLIA Federico,ravaglia federico,,,0,0,0,0,0,0.0,0.0,Roma,Roma - Bologna
2025-2026,1.0,Bologna,SKORUPSKI Lukasz,skorupski lukasz,6.5,5.5,-1,0,0,0,0,0.0,0.0,Roma,Roma - Bologna
2025-2026,1.0,Bologna,BONIFAZI Kevin,bonifazi kevin,,,0,0,0,0,0,0.0,0.0,Roma,Roma - Bologna
2025-2026,1.0,Bologna,CASALE Nicolo',casale nicolo',5.0,5.0,0,0,0,0,0,0.0,0.0,Roma,Roma - Bologna
2025-2026,1.0,Bologna,CORAZZA Tommaso,corazza tommaso,,,0,0,0,0,0,0.0,0.0,Roma,Roma - Bologna
2025-2026,1.0,Bologna,DE SILVESTRI Lorenzo,de silvestri lorenzo,5.0,5.0,0,0,0,0,0,0.0,0.0,Roma,Roma - Bologna
2025-2026,1.0,Bologna,HEGGEM Torbjorn,heggem torbjorn,,,0,0,0,0,0,0.0,0.0,Roma,Roma - Bologna
2025-2026,1.0,Bologna,HOLM Emil,holm emil,,,0,0,0,0,0,0.0,0.0,Roma,Roma - Bologna
2025-2026,1.0,Bologna,ILIC Mihajlo,ilic mihajlo,,,0,0,0,0,0,0.0,0.0,Roma,Roma - Bologna
2025-2026,1.0,Bologna,LUCUMI Jhon,lucumi jhon,4.0,4.0,0,0,0,0,0,0.0,0.0,Roma,Roma - Bologna
2025-2026,1.0,Bologna,LYKOGIANNIS Charala.,lykogiannis charala.,5.0,5.0,0,0,0,0,0,0.0,0.0,Roma,Roma - Bologna
2025-2026,1.0,Bologna,MIRANDA Juan,miranda juan,,,0,0,0,0,0,0.0,0.0,Roma,Roma - Bologna
2025-2026,1.0,Bologna,POSCH Stefan,posch stefan,,,0,0,0,0,0,0.0,0.0,Roma,Roma - Bologna
2025-2026,1.0,Bologna,VITIK Martin,vitik martin,5.5,5.5,0,0,0,0,0,0.0,0.0,Roma,Roma - Bologna
2025-2026,1.0,Bologna,ZORTEA Nadir,zortea nadir,5.5,5.5,0,0,0,0,0,0.0,0.0,Roma,Roma - Bologna
2025-2026,1.0,Bologna,BERNARDESCHI Federi.,bernardeschi federi.,6.0,6.0,0,0,0,0,0,0.0,0.0,Roma,Roma - Bologna
2025-2026,1.0,Bologna,EL AZZOUZI Oussama,el azzouzi oussama,,,0,0,0,0,0,0.0,0.0,Roma,Roma - Bologna
2025-2026,1.0,Bologna,FABBIAN Giovanni,fabbian giovanni,5.5,5.5,0,0,0,0,0,0.0,0.0,Roma,Roma - Bologna
2025-2026,1.0,Bologna,FERGUSON Lewis,ferguson lewis,,,0,0,0,0,0,0.0,0.0,Roma,Roma - Bologna
2025-2026,1.0,Bologna,FREULER Remo,freuler remo,6.0,5.5,0,0,1,0,0,0.0,0.0,Roma,Roma - Bologna
2025-2026,1.0,Bologna,MORO Nikola,moro nikola,,,0,0,0,0,0,0.0,0.0,Roma,Roma - Bologna
