iter	Passed	Remaining
0	47	56605
1	70	42145
2	122	48729
3	163	48740
4	181	43488
5	221	44106
6	266	45366
7	307	45843
8	329	43603
9	375	44682
10	421	45530
11	461	45671
12	500	45661
13	536	45462
14	575	45498
15	614	45439
16	651	45344
17	655	43076
18	694	43150
19	732	43227
20	770	43241
21	809	43332
22	812	41562
23	822	40321
24	863	40590
25	901	40725
26	939	40808
27	981	41089
28	1023	41342
29	1025	40007
30	1068	40305
31	1114	40670
32	1160	41034
33	1208	41443
34	1253	41737
35	1255	40600
36	1301	40906
37	1307	39972
38	1360	40488
39	1408	40832
40	1413	39968
41	1478	40756
42	1537	41363
43	1586	41692
44	1629	41816
45	1672	41960
46	1716	42103
47	1737	41710
48	1779	41805
49	1822	41906
50	1863	41975
51	1917	42334
52	1967	42582
53	2014	42741
54	2068	43058
55	2116	43245
56	2170	43522
57	2177	42866
58	2180	42165
59	2187	41568
60	2233	41712
61	2236	41043
62	2279	41134
63	2321	41208
64	2362	41258
65	2406	41351
66	2450	41437
67	2494	41532
68	2535	41557
69	2574	41565
70	2611	41525
71	2647	41478
72	2651	40929
73	2686	40884
74	2726	40895
75	2731	40392
76	2780	40557
77	2823	40619
78	2864	40645
79	2908	40721
80	2912	40231
81	2971	40515
82	3040	40922
83	3204	42580
84	3276	42984
85	3350	43402
86	3405	43568
87	3454	43651
88	3499	43686
89	3540	43663
90	3585	43690
91	3626	43672
92	3669	43682
93	3714	43709
94	3767	43820
95	3819	43926
96	3871	44022
97	3898	43833
98	3910	43486
99	3958	43544
100	3962	43122
101	4014	43211
102	4069	43337
103	4082	43018
104	4086	42617
105	4130	42632
106	4172	42619
107	4177	42234
108	4217	42217
109	4269	42309
110	4321	42393
111	4324	42013
112	4372	42061
113	4411	42023
114	4449	41975
115	4490	41961
116	4530	41932
117	4569	41896
118	4607	41852
119	4608	41480
120	4611	41125
121	4650	41091
122	4690	41071
123	4728	41031
124	4766	40994
125	4807	40976
126	4854	41016
127	4901	41053
128	4940	41015
129	4977	40968
130	5015	40927
131	5055	40902
132	5101	40924
133	5144	40923
134	5190	40946
135	5234	40949
136	5280	40974
137	5325	40982
138	5370	40990
139	5411	40969
140	5452	40950
141	5455	40644
142	5493	40608
143	5531	40567
144	5568	40514
145	5610	40500
146	5614	40216
147	5652	40181
148	5691	40143
149	5728	40102
150	5766	40058
151	5804	40017
152	5805	39728
153	5844	39694
154	5884	39672
155	5927	39665
156	5995	39832
157	6069	40030
158	6139	40198
159	6178	40158
160	6215	40112
161	6217	39837
162	6255	39794
163	6293	39756
164	6296	39496
165	6335	39463
166	6373	39426
167	6413	39395
168	6461	39421
169	6520	39508
170	6584	39622
171	6645	39718
172	6716	39870
173	6766	39896
174	6802	39841
175	6840	39800
176	6879	39759
177	6917	39718
178	6958	39692
179	6998	39658
180	7007	39451
181	7049	39431
182	7092	39416
183	7131	39377
184	7169	39334
185	7172	39101
186	7174	38865
187	7211	38820
188	7249	38779
189	7287	38740
190	7325	38700
191	7363	38657
192	7401	38618
193	7405	38403
194	7446	38376
195	7489	38366
196	7491	38142
197	7529	38106
198	7532	37887
199	7534	37670
200	7573	37639
201	7610	37602
202	7649	37569
203	7687	37533
204	7725	37496
205	7763	37461
206	7801	37425
207	7841	37398
208	7916	37538
209	7925	37364
210	7984	37426
211	8051	37522
212	8110	37583
213	8151	37559
214	8186	37507
215	8220	37449
216	8255	37397
217	8290	37344
218	8326	37298
219	8359	37238
220	8397	37198
221	8433	37153
222	8470	37112
223	8506	37062
224	8547	37040
225	8582	36989
226	8584	36796
227	8619	36744
228	8652	36689
229	8689	36646
230	8725	36599
231	8757	36541
232	8762	36368
233	8796	36314
234	8832	36271
235	8867	36220
236	8902	36174
237	8936	36123
238	8971	36075
239	9007	36028
240	9008	35847
241	9051	35833
242	9090	35802
243	9125	35754
244	9160	35706
245	9196	35663
246	9230	35615
247	9265	35567
248	9299	35518
249	9301	35345
250	9335	35297
251	9369	35246
252	9405	35204
253	9423	35095
254	9459	35054
255	9495	35016
256	9535	34988
257	9577	34967
258	9620	34954
259	9662	34932
260	9704	34912
261	9707	34755
262	9748	34731
263	9789	34708
264	9829	34682
265	9872	34666
266	9911	34634
267	9953	34615
268	9994	34590
269	10042	34591
270	10089	34586
271	10134	34578
272	10188	34595
273	10190	34440
274	10203	34320
275	10246	34303
276	10288	34284
277	10332	34269
278	10375	34250
279	10377	34096
280	10420	34080
281	10472	34091
282	10513	34066
283	10556	34049
284	10598	34026
285	10642	34009
286	10685	33993
287	10689	33849
288	10730	33826
289	10770	33798
290	10815	33784
291	10857	33763
292	10904	33754
293	10950	33746
294	10993	33724
295	11039	33714
296	11087	33711
297	11133	33700
298	11182	33698
299	11380	34141
300	11648	34791
301	11695	34775
302	11742	34763
303	11787	34741
304	11836	34732
305	11883	34718
