,player,team,opponent,prob_goal,sum_xG,xG_last5,goals_last5,opponent_xGA_90min,finishing_form_resid
0,orban,verona,cagliari,0.37616453795135996,,,,,
1,yildiz,juventus,cremonese,0.39344185892864597,,,,,
2,yildiz,juventus,ac milan,0.25508807987209603,,,,,
3,di lorenzo,napoli,cagliari,0.023084201651567115,,,,,
4,conceicao,juventus,cagliari,0.24160886127338713,,,,,
5,simeone,torino,sassuolo,0.4331361543309404,,,,,
6,vlahovic,juventus,como,0.2989196358720274,,,,,
7,paz,como,juventus,0.48099042793121877,,,,,
8,paz,como,lecce,0.5595097935348584,,,,,
9,sanabria,cremonese,udinese,0.012388371704175423,,,,,
10,Castellanos,lazio,atalanta,0.3243868415728552,,,,,
11,Lautaro,Inter,Verona,0.46596086637602613,,,,,
12,Leao,AC Milan,Torino,0.44689308986755655,,,,,
13,Pavlovic,ac Milan,Fiorentina,0.12868527370611027,,,,,
14,Orsolini,Bologna,Juventus,0.5179487170593992,,,,,
15,barella,inter,Sassuolo,0.10893974005318188,,,,,
16,acerbi,inter,Fiorentina,0.005644786021632478,,,,,
17,Martin,genoa,como,0.015647305804188064,,,,,
18,Berardi,Sassuolo,Lecce,0.40540202365972655,,,,,
19,Dimarco,inter,Bologna,0.16069449991835488,,,,,
20,guendouzi,lazio,atalanta,0.032134010847270585,,,,,
21,loftus,ac milan,fiorentina,0.18349010307334312,,,,,
22,giovane,verona,pisa,0.1793607457357563,,,,,
23,giovane,verona,ac milan,0.06810338526475342,,,,,
24,soule,roma,lazio,0.4702715817210203,,,,,
25,pinamonti,sassuolo,roma,0.16987216468562735,,,,,
26,gimenez,milan,pisa,0.5330102818316345,,,,,
27,bonny,inter,napoli,0.21416530339927461,,,,,
28,doig,sassuolo,roma,0.007222117078015759,,,,,
29,krstovic,atalanta,cremonese,0.5340617368701186,,,,,
0,,,,,0.4473120863015692,0.842310661423617,0.8,1.89,0.14311962716159599
